Áfríkà	África
Ìṣèlú ilẹ̀ Àlgéríà	Política da Argélia
Ìṣèlú ilẹ̀ Kamẹrúùn	Política dos Camarões
Ìṣèlú ilẹ̀ Gàbọ̀n	Política do Gabão
Ìṣèlú ilẹ̀ Sòmálíà	Política da Somália
Ìṣèlú ilẹ̀ Mauritáníà	Política da Mauritânia
Ìṣèlú ilẹ̀ Kẹ́nyà	Política do Quénia
Ìṣèlú ilẹ̀ Ùgándà	Política do Uganda
Ìṣèlú ilẹ̀ Mọ́rísì	Política da Maurícia
Ìṣèlú ilẹ̀ Ẹ́gíptì	Política do Egito
Ìṣèlú ilẹ̀ Gámbíà	Política da Gâmbia
Ìṣèlú ilẹ̀ Kepu Ferde	Política de Cabo Verde
Ìṣèlú ilẹ̀ Mòsámbìk	Política de Moçambique
Ìṣèlú ilẹ̀ Làìbéríà	Política da Libéria
Ìṣèlú ilẹ̀ Màláwì	Política do Malawi
7801 Goretti	7801 Goretti
Ìṣèlú ilẹ̀ Gúúsù Áfríkà	Política da África do Sul
Ìṣèlú ilẹ̀ Madagáskàr	Política de Madagáscar
Ìṣèlú ilẹ̀ Nìjẹ̀r	Política do Níger
Ìṣèlú ilẹ̀ Nàmíbíà	Política da Namíbia
Ìṣèlú ilẹ̀ Benin	Política do Benim
Ìṣèlú ilẹ̀ Àngólà	Política de Angola
Ìṣèlú ilẹ̀ Sámbíà	Política da Zâmbia
Ìṣèlú ilẹ̀ Rùwándà	Política de Ruanda
Ìṣèlú ilẹ̀ Ẹritrẹ́à	Política da Eritreia
Ìṣèlú ilẹ̀ Sudan	Política do Sudão
Ìṣèlú ilẹ̀ Ṣèíhẹ́lẹ́sì	Política das Seychelles
Ìṣèlú ilẹ̀ Bùrkínà Fasò	Política de Burkina Faso
ISO 3166-2:AS	ISO 3166-2:AS
ISO 3166-2:AQ	ISO 3166-2:AQ
ISO 3166-2:AI	ISO 3166-2:AI
7802 Takiguchi	7802 Takiguchi
7826 Kinugasa	7826 Kinugasa
7829 Jaroff	7829 Jaroff
ISO 12207	ISO/IEC 12207
Dale Robertson	Dale Robertson
Mossi	Povo mossi
STS-104	STS-104
Yunifásítì ìlú Ìbàdàn	Universidade de Ibadan
ISO 5218	ISO/IEC 5218
De âlde Friezen	De âlde Friezen
7831 François-Xavier	7831 Francois-Xavier
7838 Feliceierman	7838 Feliceierman
7898 Ohkuma	7898 Ohkuma
7840 Hendrika	7840 Hendrika
7842 Ishitsuka	7842 Ishitsuka
7845 Mckim	7845 Mckim
7846 Setvák	7846 Setvak
7847 Mattiaorsi	7847 Mattiaorsi
7850 Buenos Aires	7850 Buenos Aires
7852 Itsukushima	7852 Itsukushima
7855 Tagore	7855 Tagore
10770 Belo Horizonte	10770 Belo Horizonte
Ogun Abẹ́lé ilẹ̀ Lìbéríà	Guerra Civil da Libéria
5794 Irmina	5794 Irmina
14961 d'Auteroche	14961 d'Auteroche
21395 Albertofilho	21395 Albertofilho
12075 Legg	12075 Legg
21462 Karenedbal	21462 Karenedbal
20070 Koichiyuko	20070 Koichiyuko
10024 Marthahazen	10024 Marthahazen
10170 Petrjakeš	10170 Petrjakes
10380 Berwald	10380 Berwald
12270 Bozar	12270 Bozar
10376 Chiarini	10376 Chiarini
15092 Beegees	15092 Beegees
8161 Newman	8161 Newman
8151 Andranada	8151 Andranada
8156 Tsukada	8156 Tsukada
8199 Takagitakeo	8199 Takagitakeo
8112 Cesi	8112 Cesi
8206 Masayuki	8206 Masayuki
8192 Tonucci	8192 Tonucci
8114 Lafcadio	8114 Lafcadio
8137 Kvíz	8137 Kviz
8193 Ciaurro	8193 Ciaurro
8048 Andrle	8048 Andrle
8040 Utsumikazuhiko	8040 Utsumikazuhiko
8051 Pistoria	8051 Pistoria
8006 Tacchini	8006 Tacchini
8986 Kineyayasuyo	8986 Kineyayasuyo
8113 Matsue	8113 Matsue
8115 Sakabe	8115 Sakabe
8041 Masumoto	8041 Masumoto
8947 Mizutani	8947 Mizutani
8111 Hoepli	8111 Hoepli
8044 Tsuchiyama	8044 Tsuchiyama
8088 Australia	8088 Australia
8869 Olausgutho	8869 Olausgutho
8827 Kollwitz	8827 Kollwitz
23457 Beiderbecke	23457 Beiderbecke
8098 Miyamotoatsushi	8098 Miyamotoatsushi
8036 Maehara	8036 Maehara
8912 Ohshimatake	8912 Ohshimatake
8847 Huch	8847 Huch
8929 Haginoshinji	8929 Haginoshinji
8100 Nobeyama	8100 Nobeyama
8914 Nickjames	8914 Nickjames
8083 Mayeda	8083 Mayeda
8782 Bakhrakh	8782 Bakhrakh
8922 Kumanodake	8922 Kumanodake
8945 Cavaradossi	8945 Cavaradossi
8853 Gerdlehmann	8853 Gerdlehmann
8883 Miyazakihayao	8883 Miyazakihayao
8786 Belskaya	8786 Belskaya
8915 Sawaishujiro	8915 Sawaishujiro
8926 Abemasanao	8926 Abemasanao
8897 Defelice	8897 Defelice
8890 Montaigne	8890 Montaigne
8882 Sakaetamura	8882 Sakaetamura
8855 Miwa	8855 Miwa
26858 Misterrogers	26858 Misterrogers
8723 Azumayama	8723 Azumayama
8907 Takaji	8907 Takaji
8577 Choseikomori	8577 Choseikomori
8573 Ivanka	8573 Ivanka
8571 Taniguchi	8571 Taniguchi
8575 Seishitakeuchi	8575 Seishitakeuchi
8616 Fogelquist	8616 Fogelquist
8530 Korbokkur	8530 Korbokkur
8704 Sadakane	8704 Sadakane
8710 Hawley	8710 Hawley
8679 Tingstäde	8679 Tingstade
8719 Vesmír	8719 Vesmir
10105 Holmhällar	10105 Holmhallar
10103 Jungfrun	10103 Jungfrun
10106 Lergrav	10106 Lergrav
9716 Severina	9716 Severina
9518 Robbynaish	9518 Robbynaish
8583 Froberger	8583 Froberger
8572 Nijo	8572 Nijo
8560 Tsubaki	8560 Tsubaki
9848 Yugra	9848 Yugra
9967 Awanoyumi	9967 Awanoyumi
9540 Mikhalkov	9540 Mikhalkov
8728 Mimatsu	8728 Mimatsu
8636 Malvina	8636 Malvina
9553 Colas	9553 Colas
9144 Hollisjohnson	9144 Hollisjohnson
9265 Ekman	9265 Ekman
9438 Satie	9438 Satie
9566 Rykhlova	9566 Rykhlova
9274 Amylovell	9274 Amylovell
9165 Raup	9165 Raup
9514 Deineka	9514 Deineka
9197 Endo	9197 Endo
9648 Gotouhideo	9648 Gotouhideo
9785 Senjikan	9785 Senjikan
9449 Petrbondy	9449 Petrbondy
9756 Ezaki	9756 Ezaki
9206 Yanaikeizo	9206 Yanaikeizo
9851 Sakamoto	9851 Sakamoto
9783 Tensho-kan	9783 Tensho-kan
9122 Hunten	9122 Hunten
9180 Samsagan	9180 Samsagan
9916 Kibirev	9916 Kibirev
9814 Ivobenko	9814 Ivobenko
9984 Gregbryant	9984 Gregbryant
9991 Anežka	9991 Anezka
9720 Ulfbirgitta	9720 Ulfbirgitta
9870 Maehata	9870 Maehata
9429 Poreč	9429 Porec
10008 Raisanyo	10008 Raisanyo
10061 Ndolaprata	10061 Ndolaprata
10226 Seishika	10226 Seishika
10154 Tanuki	10154 Tanuki
10162 Issunboushi	10162 Issunboushi
10147 Mizugatsuka	10147 Mizugatsuka
10142 Sakka	10142 Sakka
10178 Iriki	10178 Iriki
10166 Takarajima	10166 Takarajima
10209 Izanaki	10209 Izanaki
10179 Ishigaki	10179 Ishigaki
10161 Nakanoshima	10161 Nakanoshima
10152 Ukichiro	10152 Ukichiro
9632 Sudo	9632 Sudo
9845 Okamuraosamu	9845 Okamuraosamu
9407 Kimuranaoto	9407 Kimuranaoto
9609 Ponomarevalya	9609 Ponomarevalya
9746 Kazukoichikawa	9746 Kazukoichikawa
9642 Takatahiro	9642 Takatahiro
9275 Persson	9275 Persson
9397 Lombardi	9397 Lombardi
9146 Tulikov	9146 Tulikov
9842 Funakoshi	9842 Funakoshi
9427 Righini	9427 Righini
9577 Gropius	9577 Gropius
9229 Matsuda	9229 Matsuda
9460 McGlynn	9460 McGlynn
21464 Chinaroonchai	21464 Chinaroonchai
9148 Boriszaitsev	9148 Boriszaitsev
9657 Učka	9657 Ucka
9179 Satchmo	9179 Satchmo
9241 Rosfranklin	9241 Rosfranklin
9211 Neese	9211 Neese
9737 Dudarova	9737 Dudarova
9903 Leonhardt	9903 Leonhardt
9645 Grünewald	9645 Grunewald
9521 Martinhoffmann	9521 Martinhoffmann
10223 Zashikiwarashi	10223 Zashikiwarashi
9619 Terrygilliam	9619 Terrygilliam
9854 Karlheinz	9854 Karlheinz
9387 Tweedledee	9387 Tweedledee
9902 Kirkpatrick	9902 Kirkpatrick
9744 Nielsen	9744 Nielsen
9273 Schloerb	9273 Schloerb
9155 Verkhodanov	9155 Verkhodanov
9103 Komatsubara	9103 Komatsubara
9545 Petrovedomosti	9545 Petrovedomosti
9811 Cavadore	9811 Cavadore
9637 Perryrose	9637 Perryrose
9426 Aliante	9426 Aliante
9719 Yakage	9719 Yakage
9834 Kirsanov	9834 Kirsanov
9190 Masako	9190 Masako
9116 Billhamilton	9116 Billhamilton
9150 Zavolokin	9150 Zavolokin
9914 Obukhova	9914 Obukhova
9223 Leifandersson	9223 Leifandersson
10078 Stanthorpe	10078 Stanthorpe
10091 Bandaisan	10091 Bandaisan
9661 Hohmann	9661 Hohmann
9658 Imabari	9658 Imabari
9336 Altenburg	9336 Altenburg
10201 Korado	10201 Korado
9428 Angelalouise	9428 Angelalouise
9623 Karlsson	9623 Karlsson
9111 Matarazzo	9111 Matarazzo
9956 Castellaz	9956 Castellaz
9761 Krautter	9761 Krautter
9070 Ensab	9070 Ensab
9307 Regiomontanus	9307 Regiomontanus
9052 Uhland	9052 Uhland
9038 Helensteel	9038 Helensteel
9073 Yoshinori	9073 Yoshinori
9028 Konrádbeneš	9028 Konradbenes
9096 Tamotsu	9096 Tamotsu
9087 Neff	9087 Neff
9121 Stefanovalentini	9121 Stefanovalentini
9064 Johndavies	9064 Johndavies
9100 Tomohisa	9100 Tomohisa
9063 Washi	9063 Washi
9074 Yosukeyoshida	9074 Yosukeyoshida
5505 Rundetaarn	5505 Rundetaarn
9044 Kaoru	9044 Kaoru
8021 Walter	8021 Walter
9076 Shinsaku	9076 Shinsaku
9094 Butsuen	9094 Butsuen
18235 Lynden-Bell	18235 Lynden-Bell
10146 Mukaitadashi	10146 Mukaitadashi
10159 Tokara	10159 Tokara
5342 Le Poole	5342 Le Poole
18238 Frankshu	18238 Frankshu
20440 McClintock	20440 McClintock
20539 Gadberry	20539 Gadberry
10213 Koukolík	10213 Koukolik
9022 Drake	9022 Drake
8142 Zolotov	8142 Zolotov
8131 Scanlon	8131 Scanlon
8527 Katayama	8527 Katayama
8529 Sinzi	8529 Sinzi
8817 Roytraver	8817 Roytraver
8204 Takabatake	8204 Takabatake
8806 Fetisov	8806 Fetisov
8712 Suzuko	8712 Suzuko
8545 McGee	8545 McGee
8451 Gaidai	8451 Gaidai
8246 Kotov	8246 Kotov
8262 Carcich	8262 Carcich
8322 Kononovich	8322 Kononovich
8202 Gooley	8202 Gooley
8501 Wachholz	8501 Wachholz
8804 Eliason	8804 Eliason
8449 Maslovets	8449 Maslovets
8249 Gershwin	8249 Gershwin
10005 Chernega	10005 Chernega
21708 Mulhall	21708 Mulhall
20289 Nettimi	20289 Nettimi
10029 Hiramperkins	10029 Hiramperkins
10934 Pauldelvaux	10934 Pauldelvaux
9930 Billburrows	9930 Billburrows
10070 Liuzongli	10070 Liuzongli
9687 Uhlenbeck	9687 Uhlenbeck
9677 Gowlandhopkins	9677 Gowlandhopkins
9693 Bleeker	9693 Bleeker
10947 Kaiserstuhl	10947 Kaiserstuhl
8640 Ritaschulz	8640 Ritaschulz
9560 Anguita	9560 Anguita
9912 Donizetti	9912 Donizetti
11056 Volland	11056 Volland
11870 Sverige	11870 Sverige
12984 Lowry	12984 Lowry
10027 Perozzi	10027 Perozzi
10049 Vorovich	10049 Vorovich
10012 Tmutarakania	10012 Tmutarakania
8079 Bernardlovell	8079 Bernardlovell
10010 Rudruna	10010 Rudruna
10022 Zubov	10022 Zubov
10023 Vladifedorov	10023 Vladifedorov
10021 Henja	10021 Henja
9695 Johnheise	9695 Johnheise
9544 Scottbirney	9544 Scottbirney
9826 Ehrenfreund	9826 Ehrenfreund
8474 Rettig	8474 Rettig
9295 Donaldyoung	9295 Donaldyoung
8872 Ebenum	8872 Ebenum
8526 Takeuchiyukou	8526 Takeuchiyukou
8535 Pellesvanslös	8535 Pellesvanslos
7456 Doressoundiram	7456 Doressoundiram
9819 Sangerhausen	9819 Sangerhausen
9913 Humperdinck	9913 Humperdinck
9696 Jaffe	9696 Jaffe
9685 Korteweg	9685 Korteweg
8248 Gurzuf	8248 Gurzuf
8074 Slade	8074 Slade
8826 Corneville	8826 Corneville
9698 Idzerda	9698 Idzerda
8326 Paulkling	8326 Paulkling
9689 Freudenthal	9689 Freudenthal
7137 Ageo	7137 Ageo
9308 Randyrose	9308 Randyrose
9682 Gravesande	9682 Gravesande
9701 Mak	9701 Mak
9159 McDonnell	9159 McDonnell
8250 Cornell	8250 Cornell
9248 Sauer	9248 Sauer
9691 Zwaan	9691 Zwaan
9497 Dwingeloo	9497 Dwingeloo
9473 Ghent	9473 Ghent
8071 Simonelli	8071 Simonelli
9393 Apta	9393 Apta
9480 Inti	9480 Inti
8601 Ciconia	8601 Ciconia
9071 Coudenberghe	9071 Coudenberghe
8169 Mirabeau	8169 Mirabeau
9137 Remo	9137 Remo
9489 Tanemahuta	9489 Tanemahuta
8154 Stahl	8154 Stahl
13070 Seanconnery	13070 Seanconnery
12896 Geoffroy	12896 Geoffroy
10184 Galvani	10184 Galvani
10120 Ypres	10120 Ypres
Ìtàn ilẹ̀ Guinea	História da Guiné
12895 Balbastre	12895 Balbastre
20991 Jánkollár	20991 Jankollar
8010 Böhnhardt	8010 Bohnhardt
9481 Menchú	9481 Menchu
9484 Wanambi	9484 Wanambi
9140 Deni	9140 Deni
9778 Isabelallende	9778 Isabelallende
9255 Inoutadataka	9255 Inoutadataka
8776 Campestris	8776 Campestris
8591 Excubitor	8591 Excubitor
9640 Lippens	9640 Lippens
9757 Felixdejager	9757 Felixdejager
8965 Citrinella	8965 Citrinella
9139 Barrylasker	9139 Barrylasker
8039 Grandprism	8039 Grandprism
9341 Gracekelly	9341 Gracekelly
8443 Svecica	8443 Svecica
ISO 3166-2:CS	ISO 3166-2:CS
8777 Torquata	8777 Torquata
8665 Daun-Eifel	8665 Daun-Eifel
8833 Acer	8833 Acer
9508 Titurel	9508 Titurel
9511 Klingsor	9511 Klingsor
9364 Clusius	9364 Clusius
8755 Querquedula	8755 Querquedula
9589 Deridder	9589 Deridder
9242 Olea	9242 Olea
9452 Rogerpeeters	9452 Rogerpeeters
8489 Boulder	8489 Boulder
8439 Albellus	8439 Albellus
12701 Chénier	12701 Chenier
10030 Philkeenan	10030 Philkeenan
10044 Squyres	10044 Squyres
8756 Mollissima	8756 Mollissima
9383 Montélimar	9383 Montelimar
8643 Quercus	8643 Quercus
9251 Harch	9251 Harch
8648 Salix	8648 Salix
8488 d'Argens	8488 d'Argens
9306 Pittosporum	9306 Pittosporum
9381 Lyon	9381 Lyon
8770 Totanus	8770 Totanus
9327 Duerbeck	9327 Duerbeck
8772 Minutus	8772 Minutus
8763 Pugnax	8763 Pugnax
13122 Drava	13122 Drava
10263 Vadimsimona	10263 Vadimsimona
9795 Deprez	9795 Deprez
9663 Zwin	9663 Zwin
8765 Limosa	8765 Limosa
8599 Riparia	8599 Riparia
9504 Lionel	9504 Lionel
9614 Cuvier	9614 Cuvier
8589 Stellaris	8589 Stellaris
9702 Tomvandijk	9702 Tomvandijk
9141 Kapur	9141 Kapur
9184 Vasilij	9184 Vasilij
8773 Torquilla	8773 Torquilla
9161 Beaufort	9161 Beaufort
9259 Janvanparadijs	9259 Janvanparadijs
9707 Petruskoning	9707 Petruskoning
8754 Leucorodia	8754 Leucorodia
9250 Chamberlin	9250 Chamberlin
8676 Lully	8676 Lully
8441 Lapponica	8441 Lapponica
8587 Ruficollis	8587 Ruficollis
8437 Bernicla	8437 Bernicla
9709 Chrisnell	9709 Chrisnell
9356 Elineke	9356 Elineke
8440 Wigeon	8440 Wigeon
9019 Eucommia	9019 Eucommia
8766 Niger	8766 Niger
9664 Brueghel	9664 Brueghel
8491 Joelle-gilles	8491 Joelle-gilles
9708 Gouka	9708 Gouka
8586 Epops	8586 Epops
9509 Amfortas	9509 Amfortas
ISO/IEC 7810	ISO 7810
21517 Dobi	21517 Dobi
Os Pinos	Os Pinos
ISO 3166-2:PM	ISO 3166-2:PM
ISO 3166-2:JE	ISO 3166-2:JE
Àwọn ará Kúbà	Cubanos
7623 Stamitz	7623 Stamitz
8124 Guardi	8124 Guardi
8058 Zuckmayer	8058 Zuckmayer
8434 Columbianus	8434 Columbianus
8974 Gregaria	8974 Gregaria
8975 Atthis	8975 Atthis
8980 Heliaca	8980 Heliaca
8973 Pratincola	8973 Pratincola
7608 Telegramia	7608 Telegramia
8968 Europaeus	8968 Europaeus
8316 Wolkenstein	8316 Wolkenstein
8979 Clanga	8979 Clanga
8054 Brentano	8054 Brentano
11530 d'Indy	11530 d'Indy
11881 Mirstation	11881 Mirstation
11073 Cavell	11073 Cavell
11753 Geoffburbidge	11753 Geoffburbidge
11969 Gay-Lussac	11969 Gay-Lussac
11895 Dehant	11895 Dehant
11004 Stenmark	11004 Stenmark
Le Chant des Wallons	Li Tchant des Walons
ISO 15504	ISO/IEC 15504
José María Iglesias	José María Iglesias
Wikipedia:Embassy	Wikipédia:Embaixada
José Justo Corro	José Justo Corro
68719 Jangyeongsil	68719 Jangyeongsil
106817 Yubangtaek	106817 Yubangtaek
Miguel Barragán	Miguel Barragán
63156 Yicheon	63156 Yicheon
63145 Choemuseon	63145 Choemuseon
34666 Bohyunsan	34666 Bohyunsan
99503 Leewonchul	99503 Leewonchul
Gabriel Valencia	Gabriel Valencia
ISO 3166-2:AN	ISO 3166-2:AN
Àmì ọ̀pá àṣẹ ilẹ̀ Crimea	Brasão de armas da Crimeia
Hino da Região Autónoma da Madeira	Hino da Região Autónoma da Madeira
Àwọn Ìpínlẹ̀ Jẹ́mánì	Estados da Alemanha
Digidesign	Digidesign
Orin-ìyìn Orílẹ̀-èdè Àjọṣepọ̀ Rọ́sìà	Hino da Federação Russa
Dimitrios Maximos	Dimítrios Máximos
Dimitrios Partsalidis	Dimítrios Partsalídis
Dimitrios Valvis	Dimítrios Válvis
Paul Kagame	Paul Kagame
Tiv	Tiv (povo)
Donald Sangster	Donald Sangster
QuickTime	QuickTime
Gennaios Kolokotronis	Gennéos Kolokotrónis
Georgios Kafantaris	Geórgios Kafantáris
Sotirios Krokidas	Sotírios Krokidás
Sotirios Sotiropoulos	Sotírios Sotirópulos
Marcelo Azcárraga Palmero	Marcelo Azcárraga y Palmero
Nọ́mbà oníìpín	Número racional
Àmì ọ̀pá àṣẹ ilẹ̀ Hawaii	Selo do Havaí
O le Ao o le Malo	O le Ao o le Malo
Petros Voulgaris	Pétros Vúlgaris
ISO 3166-2:ZA	ISO 3166-2:ZA
Christian Frémont	Christian Frémont
Nemesi Marquès Oste	Nemesi Marqués Oste
Michael Ansara	Michael Ansara
33330 Barèges	33330 Bareges
Hugues-Bernard Maret, duc de Bassano	Hugues-Bernard Maret
100019 Gregorianik	100019 Gregorianik
Àmì ọ̀pá àṣẹ ilẹ̀ Guadeloupe	Brasão de armas das Guadalupe
G.726	G.726
Ẹ̀wádún 60	Década de 60
Ẹ̀wádún 50	Década de 50
Ẹ̀wádún 40	Década de 40
Ẹ̀wádún 30	Década de 30
Ọmọ Ẹdó	Edos
Ẹfọ̀n-Alààyè	Effon-Alaiye
100122 Alpes Maritimes	100122 Alpes Maritimes
29457 Marcopolo	29457 Marcopolo
100416 Syang	100416 Syang
7890 Yasuofukui	7890 Yasuofukui
7891 Fuchie	7891 Fuchie
7892 Musamurahigashi	7892 Musamurahigashi
7894 Rogers	7894 Rogers
7896 Švejk	7896 Svejk
7919 Prime	7919 Prime
7928 Bijaoui	7928 Bijaoui
7936 Mikemagee	7936 Mikemagee
7939 Asphaug	7939 Asphaug
7940 Erichmeyer	7940 Erichmeyer
7947 Toland	7947 Toland
Irú ìjọba	Forma de governo
7954 Kitao	7954 Kitao
7955 Ogiwara	7955 Ogiwara
7957 Antonella	7957 Antonella
7958 Leakey	7958 Leakey
7963 Falcinelli	7963 Falcinelli
7976 Pinigin	7976 Pinigin
7991 Kaguyahime	7991 Kaguyahime
7992 Yozan	7992 Yozan
7998 Gonczi	7998 Gonczi
7980 Senkevich	7980 Senkevich
8087 Kazutaka	8087 Kazutaka
(21083) 1991 TH14	(21083) 1991 TH14
(39544) 1991 TN14	39544 1991 TN14
Àmì ọ̀pá àṣẹ ilẹ̀ Saint Pierre àti Mìkẹ́lọ̀n	Brasão de armas de Saint-Pierre e Miquelon
ISO 14000	ISO 14000
ISO 3166-2:AZ	ISO 3166-2:AZ
Àtòjọ àwọn àjọ̀dún	Lista de dias do ano
8212 Naoshigetani	8212 Naoshigetani
8216 Melosh	8216 Melosh
8218 Hosty	8218 Hosty
8225 Emerson	8225 Emerson
8229 Kozelský	8229 Kozelsky
8231 Tetsujiyamada	8231 Tetsujiyamada
8232 Akiramizuno	8232 Akiramizuno
8233 Asada	8233 Asada
8234 Nobeoka	8234 Nobeoka
8224 Fultonwright	8224 Fultonwright
8266 Bertelli	8266 Bertelli
8276 Shigei	8276 Shigei
8284 Cranach	8284 Cranach
8286 Kouji	8286 Kouji
8300 Iga	8300 Iga
8301 Haseyuji	8301 Haseyuji
8304 Ryomichico	8304 Ryomichico
8305 Teika	8305 Teika
8306 Shoko	8306 Shoko
8307 Peltan	8307 Peltan
8320 van Zee	8320 van Zee
8336 Šafařík	8336 Safarik
8339 Kosovichia	8339 Kosovichia
8343 Tugendhat	8343 Tugendhat
8347 Lallaward	8347 Lallaward
8357 O'Connor	8357 O'Connor
8358 Rickblakley	8358 Rickblakley
8371 Goven	8371 Goven
8374 Horohata	8374 Horohata
8375 Kenzokohno	8375 Kenzokohno
8377 Elmerreese	8377 Elmerreese
8379 Straczynski	8379 Straczynski
8397 Chiakitanaka	8397 Chiakitanaka
8398 Rubbia	8398 Rubbia
8399 Wakamatsu	8399 Wakamatsu
8400 Tomizo	8400 Tomizo
Sùúrù	Fonio
Ìtàn ilẹ̀ Bùrkínà Fasò	História de Burkina Faso
STS-76	STS-76
Jẹ́ọ́gráfì ilẹ̀ Sòmálíà	Geografia da Somália
Ìtàn ilẹ̀ Mọ́rísì	História da Maurícia
Slam Dunk Contest	Slam Dunk Contest
STS-86	STS-86
ISO 3166-2:PL	ISO 3166-2:PL
ISO 3166-2:BD	ISO 3166-2:BD
STS-96	STS-96
ISO 3166-1 alpha-3	ISO 3166-1 alfa-3
29552 Chern	29552 Chern
12252 Gwangju	12252 Gwangju
Ìtàn ilẹ̀ Tànsáníà	História da Tanzânia
Fela Sowande	Fela Sowande
Ma Normandie	Ma Normandie
Agnes Monica	Agnes Monica
STS-78	STS-78
Èṣù	Exu (orixá)
ISO 3166-2:BI	ISO 3166-2:BI
ISO 3166-2:PA	ISO 3166-2:PA
72021 Yisunji	72021 Yisunji
Domingo Caycedo	Domingo Caycedo
7484 Dogo Onsen	7484 Dogo Onsen
72059 Heojun	72059 Heojun
Konstantinos Kollias	Konstantínos Kóllias
Georgios Athanasiadis-Novas	Geórgios Athanasiádis-Nóvas
Stephen Keshi	Stephen Keshi
Ilias Tsirimokos	Ilías Tsirimókos
Ioannis Theotokis	Ioánnis Theotókis
Louis, comte Molé	Louis Mathieu, Conde Molé
Ioannis Paraskevopoulos	Ioánnis Paraskevópulos
Panagiotis Pipinelis	Panagiótis Pipinélis
The Song of the Western Men	The Song of the Western Men
Petit-Prince (moon)	Petit-Prince (satélite)
23880 Tongil	23880 Tongil
Sarnia Cherie	Sarnia Cherie
Panagiotis Poulitsas	Panagiótis Pulítsas
Seydou Diarra	Seydou Diarra
15620 Beltrami	15620 Beltrami
Hussein Farrah Aidid	Hussein Farrah Aidid
Néstor Guillén	Néstor Guillén Olmos
Keijo Liinamaa	Keijo Liinamaa
Lopo do Nascimento	Lopo do Nascimento
Linus (òṣùpá)	Linus (satélite)
12225 Yanfernández	12225 Yanfernandez
Mande	Mandês
Ẹ̀ka:Jẹ́mánì	Categoria:Alemanha
Ẹ̀ka:Itálíà	Categoria:Itália
Ẹ̀ka:Orílẹ̀-èdè Amẹ́ríkà	Categoria:Estados Unidos
Ẹ̀ka:Rọ́síà	Categoria:Rússia
Ẹ̀ka:Kánádà	Categoria:Canadá
Ẹ̀ka:Spéìn	Categoria:Espanha
Ẹ̀ka:Ṣáínà	Categoria:China
Ẹ̀ka:Japan	Categoria:Japão
Ẹ̀ka:Austrálíà	Categoria:Austrália
Ẹ̀ka:Mẹ́ksíkò	Categoria:México
Ẹ̀ka:Índíà	Categoria:Índia
Ẹ̀ka:Sáúdí Arábíà	Categoria:Arábia Saudita
ISO/IEC 20000	ISO 20000
Ẹ̀ka:Vatican City	Categoria:Vaticano
Ẹ̀ka:Túrkì	Categoria:Turquia
Ẹ̀ka:Gúúsù Áfríkà	Categoria:África do Sul
Ẹ̀ka:Ẹ́gíptì	Categoria:Egito
Ẹ̀ka:Ìránì	Categoria:Irão
Ẹ̀ka:New Zealand	Categoria:Nova Zelândia
Ẹ̀ka:Argẹntínà	Categoria:Argentina
Ẹ̀wádún 0	Década de 0
Ẹ̀wádún 20	Década de 20
Ìtàn ilẹ̀ Orílẹ̀-èdè Olómìnira ilẹ̀ Kóngò	História do Congo
Torx	Torx
Àmì ọ̀pá àṣẹ ilẹ̀ Réunion	Brasão de armas de Reunião
Sámi soga lávlla	Sámi soga lávlla
STS-87	STS-87
STS-70	STS-70
Ifá	Ifá
Àkójọ àwọn Alákòóso Àgbà ilẹ̀ Tànsáníà	Lista de primeiros-ministros da Tanzânia
STS-85	STS-85
Ìtàn ilẹ̀ Sámbíà	História da Zâmbia
STS-94	STS-94
MPEG-7	MPEG-7
National Basketball League	National Basketball League (Estados Unidos)
Mọ́ṣáláṣí Oníbínibí Àbújá	Mesquita Nacional de Abuja
ISO 3166-2:ER	ISO 3166-2:ER
ISO 3166-2:UG	ISO 3166-2:UG
ISO 3166-2:ET	ISO 3166-2:ET
ISO 3166-2:MA	ISO 3166-2:MA
ISO 3166-2:BF	ISO 3166-2:BF
ISO 3166-2:GW	ISO 3166-2:GW
ISO 3166-2:BH	ISO 3166-2:BH
ISO 3166-2:BN	ISO 3166-2:BN
Ìtàn ilẹ̀ Màláwì	História do Malawi
ISO/IEC 13568	Z notation
Àkójọ àwọn olórí ìjọba ilẹ̀ Bùrkínà Fasò	Lista de primeiros-ministros de Burkina Faso
Ìtàn ilẹ̀ Ẹritrẹ́à	História da Eritreia
Ìtàn ilẹ̀ Nàìjíríà	História da Nigéria
Ẹ̀wádún 1120	Década de 1120
Ẹ̀wádún 680	Década de 680
79271 Bellagio	79271 Bellagio
Jẹ́ọ́gráfì ilẹ̀ Ẹ́gíptì	Geografia do Egito
51824 Mikeanderson	51824 Mikeanderson
Ẹ̀ka:Afghanístàn	Categoria:Afeganistão
Ẹ̀ka:Àlgéríà	Categoria:Argélia
Ẹ̀ka:Austríà	Categoria:Áustria
Ẹ̀ka:Bangladẹ́shì	Categoria:Bangladesh
Ẹ̀ka:Orílẹ̀-èdè Olómìnira Tòṣèlúaráìlú ilẹ̀ Kóngò	Categoria:República Democrática do Congo
Ẹ̀ka:Kúbà	Categoria:Cuba
Ẹ̀ka:Ethiópíà	Categoria:Etiópia
Ẹ̀ka:Indonésíà	Categoria:Indonésia
Ẹ̀ka:Ìrák	Categoria:Iraque
Ẹ̀ka:Nẹ́dálándì	Categoria:Países Baixos
