Aafrika	África
Periood (täpsustus)	Período
Enigma (täpsustus)	Enigma
Königsbergi ülikool	Universidade de Königsberg
San Miguel (El Salvador)	San Miguel de la Frontera
Kinnisturaamat	Registro de imóveis
Molaarne kontsentratsioon	Molaridade
Krüobioloogia	Criobiologia
Haren	Haren
Purúsi provints	Purús (província)
Rysy	Rysy
Kariibi laam	Placa do Caribe
Rohrau	Rohrau (Baixa Áustria)
Laskesuusatamine 1976. aasta taliolümpiamängudel	Biatlo nos Jogos Olímpicos de Inverno de 1976
Franz Josefi liustik	Glaciar Franz Josef
Valamo	Valaam
Hugenotisõjad	Guerras religiosas na França
Rudolph Fentz	Rudolph Fentz
Herzogenburg	Herzogenburg
Jack Root	Jack Root
Star Trek: Ülestõus	Star Trek: Insurrection
2008. aasta Austria parlamendivalimised	Eleições legislativas na Áustria em 2008
Time to live	Time to Live
Alabastron	Alabastro (vaso)
Sifaka	Propithecus
Moorea	Moorea
Suur-Helsingi	Área Metropolitana de Helsínquia
Initsieerimisreaktsioon	Iniciação química
Abstraheerimine	Abstração
S.M.A.R.T.	S.M.A.R.T.
Olümpia kunstikonkursid	Competições artísticas nos Jogos Olímpicos
Arkoos	Arcose
Adiantum	Adiantum
Yamaha Diversion	Yamaha Diversion
Albion	Álbion
PIN	Número de identificação pessoal
2010. aasta Ukraina presidendivalimised	Eleição presidencial da Ucrânia em 2010
Maadlus 1968. aasta suveolümpiamängudel	Lutas nos Jogos Olímpicos de Verão de 1968
Tanami kõrb	Deserto de Tanami
Helen Taylor	Helen Taylor
Kamal	Kamal
Kuraator	Curador (artes)
Cornwallis	Ilha Cornwallis
Arkusfunktsioonid	Funções trigonométricas inversas
Science Museum	Science Museum (Londres)
De Panne	De Panne
Enrico Letta	Enrico Letta
Henry VII	Henrique VII de Inglaterra
Pueblo	Pueblo (Colorado)
Kergejõustik 1900. aasta suveolümpiamängudel	Atletismo nos Jogos Olímpicos de Verão de 1900
Blekinge	Blekinge (província)
Staadionijooks	Estádio (competição)
Maruula-elevandiõunapuu	Marula
Syngnathinae	Syngnathinae
Kolumbaarium	Columbário
Wolbach	Wolbach
In the Dark	In the Dark
Arloni vald	Arlon
Trofallaksis	Trofalaxia
Kurb valentinipäev	Blue Valentine
Tauria palee	Palácio Tauride
Drew Barrymore	Drew Barrymore
Infinite	Infinite (álbum de Eminem)
Sussexi kuningriik	Reino de Sussex
Machu Picchu	Machu Picchu
Motion capture	Captura de movimento
João VI	João VI de Portugal
Pangakonto	Conta bancária
Franciscus Assisist	Francisco de Assis
Lessing	Lessing
Murdmaasuusatamine olümpiamängudel	Esqui cross-country nos Jogos Olímpicos
Altai krai lipp	Bandeira de Altai (Krai)
MODIS	Moderate-Resolution Imaging Spectroradiometer
Holsbeek	Holsbeek
Itaalia jalgpallikoondis	Seleção Italiana de Futebol
Colmar-Berg	Colmar-Berg
Ilves (perekond)	Lince
Telangana	Telangana
Gaasikromatograafia	Cromatografia gasosa
Karjala Vabariigi lipp	Bandeira da Carélia
Este dünastia	Família Este
Güraator	Gyrator
Stormbringer	Stormbringer
Brasiilia hoovus	Corrente do Brasil
Valgelaup-sifaka	Propithecus diadema
InterWiki	Ligações interwiki
Palmett	Palmeta
Cittàslow	Cittaslow
QuarkXPress	QuarkXPress
European Border Breakers Awards	European Border Breakers Awards
Eksiilvalitsus	Governo no exílio
Koit Toome	Koit Toome
Nordisk familjebok	Nordisk familjebok
Lohetätoveeringuga tüdruk	Män som hatar kvinnor
Rahvusparkide loend	Lista de parques nacionais
Final Fantasy XI	Final Fantasy XI
Marillion	Marillion
IEEE aumedal	Medalha de Honra IEEE
Makedoonia president	Presidente da República da Macedónia
Kodanikupalk	Renda básica de cidadania
CompactFlash	CompactFlash
S.W.A.T. – politsei erirühm	S.W.A.T. (filme)
Klaasist loomaaed	The Glass Menagerie (peça)
Big Girl (You Are Beautiful)	Big Girl (You Are Beautiful)
Kübelwagen	Volkswagen Kübelwagen
Berliini Maria kirik	Igreja de Santa Maria de Berlim
Silverton (Colorado)	Silverton (Colorado)
Comayagua	Comayagua (Comayagua)
Rool	Volante
Moodne viievõistlus 2004. aasta suveolümpiamängudel	Pentatlo moderno nos Jogos Olímpicos de Verão de 2004
De Toppers	De Toppers
Kõrg-Tauern	Alpes Tauern
Bobby (film)	Bobby (filme)
Vahakujude maja	A Casa de Cera (2005)
Armavia	Armavia
Vincenzo Consolo	Vincenzo Consolo
Süsteemianalüüs	Análise de sistemas
LightScribe	LightScribe
Rühmoid	Grupoide (estrutura algébrica)
Sojuzmultfilm	Sojusmultfilm
Urziceni	Urziceni
Kompleks (psühholoogia)	Complexo (psicologia)
Rändlusteenus	Roaming
Mikroevolutsioon	Microevolução
Wessexi printsess Louise	Luísa Windsor
2013. aasta ujumise maailmameistrivõistlused	Campeonato Mundial de Esportes Aquáticos de 2013
Evolvent	Evolvente
Spioonid (seriaal)	Spooks
2006. aasta Austria parlamendivalimised	Eleições legislativas na Áustria em 2006
Braives'i vald	Braives
Semjon Tšeljuskin	Semion Chelyuskin
Tall	Estábulo
Tartupaluk	Ilha Hans
B.o.B Presents: The Adventures of Bobby Ray	B.o.B Presents: The Adventures of Bobby Ray
Müller-Thurgau	Müller-Thurgau
Semioos	Semiose
Plekksepp, rätsep, sõdur, nuhk (film)	Tinker Tailor Soldier Spy (filme)
Kindel kõneviis	Modo indicativo
Izalco	Izalco
Esneux' vald	Esneux
Phoebe Buffay	Phoebe Buffay
Šišaldin	Monte Shishaldin
Kõhuõõs	Cavidade abdominal
Mikulov	Mikulov
Delfi oraakel	Oráculo de Delfos
Kano osariik	Kano (estado)
Ülekriitiline fluidum	Fluido supercrítico
Jigawa	Jigawa (estado)
Osuni osariik	Osun (estado)
Yobe	Yobe (estado)
Des-duur	Ré bemol maior
The Rise and Fall of Ziggy Stardust and the Spiders from Mars	The Rise and Fall of Ziggy Stardust and the Spiders from Mars
Doominoefekt	Efeito dominó
Moodne viievõistlus 1952. aasta suveolümpiamängudel	Pentatlo moderno nos Jogos Olímpicos de Verão de 1952
Fiaal	Pináculo
Violator (album)	Violator (álbum)
Saksamaa riigipeade loend	Lista de presidentes da Alemanha
Salanõukogu (Suurbritannia)	Conselho Privado do Reino Unido
Donald Olding Hebb	Donald Olding Hebb
Syrianska FC	Syrianska FC
Kutter	Cúter
Mets-harakputk	Anthriscus sylvestris
Savonlinna linn	Savonlinna
Varkaus	Varkaus
Nanjingi Ülikool	Universidade de Nanquim
Uruhiir	Microtus
BMW R75	BMW R75
Keeristorm (film 1996)	Twister (filme)
Aleksandr Potebnja	Aleksandr Potebnia
Læsø	Læsø
Armeenia Apostlik Kirik	Igreja Apostólica Armênia
Kole Koiott, baaris ainult tüdrukud	Coyote Ugly
Marduk (ansambel)	Marduk (banda)
Phantasmagoria (bänd)	Phantasmagoria (banda)
Luke Pritchard	Luke Pritchard
Julgeolekupolitsei Peaamet	Sicherheitspolizei
Euroopa Liidu tervishoiuportaal	Portal de Saúde da UE
Aacheni piiskopkond	Diocese de Aquisgrano
Viienda koalitsiooni sõda	Quinta Coligação
Armeenia köök	Culinária da Arménia
Magalhãesi provints	Magallanes (província)
Edward England	Edward England
1-eurone münt	Moeda de 1 euro
Kinnisvara	Imóvel
Reuma	Reumatismo
Tom Jager	Tom Jager
Sutomore	Sutomore
Alpisarv	Trompa alpina
Baškortostani Vabariigi lipp	Bandeira do Bascortostão
Vigursuusatamine 2006. aasta taliolümpiamängudel	Esqui estilo livre nos Jogos Olímpicos de Inverno de 2006
Lõõmutamine	Revenido
Badeni valitsejate loend	Lista de governadores de Baden
Ararat (brändi)	Ararat (bebida)
As‘adābād	Asadabad (Afeganistão)
Aššur	Assur (deus)
Vokaalmuusika	Música vocal
Lüüdia helilaad	Modo lídio
Kelaino (plejaad)	Celeno (filha de Atlas)
Lübecki õigus	Lei de Lübeck
Knivskjellodden	Knivskjellodden
DOC	.doc
Kassalā	Kassala
Bentaal	Zona bentônica
Poolväärtusaeg	Meia-vida biológica
Kristlikud voorused	Sete virtudes
Anhalt-Bernburg	Anhalt-Bernburg
Pöörduv reaktsioon	Reação química reversível
Setsessioon	Secessão
Whistleri ema	Arranjo em Cinza e Preto nº1
Final Fantasy III	Final Fantasy III
Beernem	Beernem
Cameron Mitchell	Cameron Mitchell
Surev lõvi	Löwendenkmal
Šveitsi liidupresident	Presidente da Confederação Helvética
São Leopoldo	São Leopoldo
Nuraag	Nurago
Rahvusvaheline Maadlusliit	Federação Internacional de Lutas Associadas
Tehniline abivahend	Tecnologia assistiva
Maailmarekord	Recorde mundial
Mont Pèlerini Ühing	Sociedade Mont Pèlerin
Igaüheõigus	Direito público de acesso à natureza
Regionaalplaneerimine	Planejamento regional
Sajóvámos	Sajóvámos
Møllehøj	Møllehøj
Aucifer	Lucifer (banda do Japão)
SDL Trados	SDL Trados
Shanadoo	Shanadoo
Danevirke	Danevirke
Kaanon D-duuris	Cânone em Ré Maior
Joseph Philippe de Clairville	Joseph Philippe de Clairville
Guglielmo Ferrero	Guglielmo Ferrero
Oiraadid	Oirates
Tark elektrivõrk	Rede elétrica inteligente
Polüüp	Pólipo
Lipoom	Lipoma
Tlaxcala	Tlaxcala de Xicohténcatl
Linnageograafia	Geografia urbana
Ookeanipoolkera	Hemisfério de água
The Everly Brothers	The Everly Brothers
Manas	Épico de Manas
Otsingutabel	LUT
Barentsburg	Barentsburg
Davosi järv	Lago de Davos
Vigursuusatamine 1992. aasta taliolümpiamängudel	Esqui estilo livre nos Jogos Olímpicos de Inverno de 1992
Gavere	Gavere
Aasšampinjon	Agaricus arvensis
Loodusfotograafia	Fotografia de natureza
Badeni vabariik	República de Baden
Lõuna-Sporaadid	Espórades do Sul
Vasektoomia	Vasectomia
Fotomeeter	Fotômetro
Ida-Sepik	East Sepik
PT-91	PT-91
Atterti vald	Attert
Mutsamudu	Mutsamudu
Kontsertmeister	Spalla
ISO 3166-2:EE	ISO 3166-2:EE
Carl Ernst Heinrich Schmidt	Carl Schmidt
Brasília metroo	Metrô de Brasília
Felipe IV	Filipe IV de Espanha
Magnetiline vastuvõtlikkus	Susceptibilidade magnética
Makita	Makita
Gangotri liustik	Glaciar Gangotri
Tõenduspõhine meditsiin	Medicina baseada em evidências
Aktsent	Sotaque
Tuhande laiba maja	House of 1000 Corpses
Napoli ülikool	Universidade de Nápoles Federico II
Tänavakorvpall	Streetball
Tai kuningas	Dinastia Chakri
Ristlaine	Ondas transversais
Belgia Ühendriigid	Estados Belgas Unidos
DSL-pöördusmultiplekser	Multiplexador de Acesso a Linha Digital do Assinante
Zeitgeisti Liikumine	Movimento Zeitgeist
Experian	Experian
Beersel	Beersel
ΛCDM-mudel	Modelo Lambda-CDM
Messancy	Messancy
Riia rajoon	Riga (distrito)
Octobass	Octobaixo
Milano hertsog	Lista de governantes de Milão
Paint	Paint Horse
Arne Åhman	Arne Åhman
Närvikiud	Fibra nervosa
Grappa	Grappa
Kiosk	Quiosque
Wuzhi	Wuzhi
Greenwichi linnaosa	Greenwich (borough)
Brasschaat	Brasschaat
Essentsiaalne treemor	Tremor essencial
WISE	Wide-field Infrared Survey Explorer
Saskatchewani lipp	Bandeira de Saskatchewan
Muusikaline ohver	Oferenda Musical
XMM-Newton	X-ray Multi-Mirror
Metapeedia	Metapedia
Arnika	Arnica
Veranda	Varanda
Graan	Grão (massa)
Naltšiki Spartak	PFC Spartak Nalchik
Seenekübar	Píleo (micologia)
Seenejalg	Estipe (micologia)
Saab 29 Tunnan	Saab Tunnan
Purikala	Istiophorus platypterus
Ametüst-kuldnokk	Estorninho-de-dorso-violeta
Mitchell Weiser	Mitchell Weiser
Brandenburg (eriüksus)	Brandenburger
Camouflage	Camouflage
Herrenchiemsee	Herrenchiemsee
Marseillan (Hérault)	Marseillan (Hérault)
Punatähe orden	Ordem da Estrela Vermelha
Edgeøya	Ilha Edge
Detektorraadio	Rádio de galena
Udu (film 2007)	The Mist (filme)
Isfara	Isfara
Sermersooq	Sermersooq
Polikliinik	Policlínica
Arvelduskonto	Conta corrente
Barinas	Barinas (cidade)
Vadžra	Vajra
Ajalooline koolkond	Escola Histórica do Direito
Kärestik	Corredeira
Internatsionalism	Internacionalismo
Nyamuragira	Monte Nyamuragira
Tellisgootika	Gótico de tijolos
Daisen	Daisen
Lənkərani Xəzər	Khazar Lankaran FK
Ingoda	Rio Ingoda
Orv	Nicho
Neofašism	Neofascismo
Paliseuli vald	Paliseul
Kongo DV riigipeade loend	Lista de presidentes da República Democrática do Congo
1992. aasta Los Angelese rahutused	Distúrbios de Los Angeles em 1992
Putukavõrk	Mosquiteiro
Wachtebeke	Wachtebeke
Melle (Belgia)	Melle (Bélgica)
Versace	Versace
Maailma Taekwondo Föderatsioon	World Taekwondo Federation
Tyrifjorden	Tyrifjorden
Mountbatten-Windsor	Mountbatten-Windsor
1999. aasta Austria parlamendivalimised	Eleições legislativas na Áustria em 1999
Bioloogiline lagunemine	Biodegradabilidade
1933. aasta mäesuusatamise maailmameistrivõistlused	Campeonato Mundial de Esqui Alpino de 1933
Heerold	Arauto
Denderleeuw	Denderleeuw
Lichtervelde	Lichtervelde
Lendelede	Lendelede
Hooglede	Hooglede
Houthulst	Houthulst
Ruiselede	Ruiselede
Kinokawa	Kinokawa
Oldenburgi hertsogkond	Ducado de Oldemburgo
Volkswagen Jetta	Volkswagen Jetta
Kujutle mind ja sind	Imagine Me & You
Kanderakett	Veículo de lançamento
Petitsioon	Petição
Argentina riigipeade loend	Lista de presidentes da Argentina
Šamaan	Xamã
MP3-mängija	Leitor de MP3
Gerhard von Kügelgen	Gerhard von Kügelgen
ZU-23-2	ZU-23-2
Wirbelwind	Wirbelwind
Hanafuda	Hanafuda
Stielhandgranate 24	Granada Modelo 24
Ram (tank)	Ram Mk II
Kamikaze Kaito Jeanne	Kamikaze Kaitou Jeanne
Gigabyte	GIGABYTE Technologies
Bikari atoll	Atol de Bikar
Raliki saared	Cadeia Ralik
1978. aasta ujumise maailmameistrivõistlused	Campeonato Mundial de Esportes Aquáticos de 1978
Saab 105	Saab 105
Itaalia sõda (1521–1526)	Guerra Italiana de 1521–1526
Arorae	Arorae
Suudlus (Klimt)	O beijo (Gustav Klimt)
Brõnsa	Bryndza
Cai Mingliang	Tsai Ming-Liang
Wen Wang	Conde Wen
CARE	CARE
Fernando d'Ávalos	Fernando de Ávalos
SS-Surnupealuusõrmus	SS-Ehrenring
Rhenus	Rhenus
Göösid	Mendigos do mar
Monster	Landkreuzer P. 1500 Monster
Austria ertshertsogkond	Arquiducado da Áustria
Arrasi unioon	União de Atrecht
Rataki saared	Cadeia Ratak
Mecklenburgid	Casa de Mecklemburgo
Austria Madalmaad	Países Baixos Austríacos
Howaldtswerke-Deutsche Werft	Howaldtswerke-Deutsche Werft GmbH
Henry Oldenburg	Henry Oldenburg
Friedrich von Buxhoeveden	Friedrich Wilhelm von Buxhoeveden
Rolf Kasparek	Rolf Kasparek
1986. aasta Euroopa meistrivõistlused kergejõustikus	Campeonato da Europa de Atletismo de 1986
Mauerbach	Mauerbach
Henschel Hs 126	Henschel Hs 126
Veit Bach	Veit Bach
Linnuke	Asas da Liberdade
Pandora laegas (film)	Die Büchse der Pandora
Ludwig II (film 1972)	Ludwig (filme)
Paavo Järvi	Paavo Järvi
Konsulaarsuhete Viini konventsioon	Convenção de Viena sobre Relações Consulares
Taiwan Television	Taiwan Television
Saksa Riigi kapitulatsiooniakt	Instrumento da rendição alemã
Noreia	Noreia
Avatud nimekiri	Lista aberta
C&A	C&A
Klaus Iohannis	Klaus Iohannis
Austria riigipeade loend	Lista de soberanos da Áustria
Euroopa kontsert	Concerto da Europa
Viini klassikaline koolkond	Primeira Escola de Viena
Detailplaneering	Zoneamento
Criss Angel Mindfreak	Criss Angel Mindfreak
Tiheasustusega asula	Zona urbana
Ühiskondlik omand	Bens públicos
Wiehen	Wiehengebirge
Besse Cooper	Besse Cooper
Friedrich IV (Švaabimaa)	Frederico IV da Suábia
Aacheni kongress (1748)	Congresso de Aquisgrão (1748)
Mücka vald	Mücka
Vierkircheni vald (Oberlausitz)	Vierkirchen (Saxônia)
F-RAM	FRAM
Kuhja-uruhiir	Microtus rossiaemeridionalis
Ameerika viupart	Piadeira-americana
Eric Voegelin	Eric Voegelin
Baleaari tormilind	Pardela-do-mediterrâneo
Philip de László	Philip de László
Jari Sillanpää	Jari Sillanpää
Albany (Austraalia)	Albany (Austrália Ocidental)
Pavel Karelin	Pavel Karelin
Valentin Haüy	Valentin Haüy
Tony Kushner	Tony Kushner
Jüri Jaanson	Jüri Jaanson
Sándor Garbai	Sándor Garbai
Njazi Kuqi	Njazi Kuqi
Félix Candela	Félix Candela
Christian Heinrich Pander	Heinz Christian Pander
Stefani-Boltzmanni seadus	Lei de Stefan-Boltzmann
Bathurst	Bathurst
Lõuna-hõbekajakas	Gaivota-de-patas-amarelas
Bavikhove	Bavikhove
Kaster	Kaster
Outrijve	Outrijve
Waarmaarde	Waarmaarde
Meyer Werft	Meyer Werft
Enigma (film 2001)	Enigma (filme)
Seagate Technology	Seagate Technology
PhysX	PhysX
Garantiivastutus	Responsabilidade objetiva
Nicolae Golescu	Nicolae Golescu
Lõuna-hallõgija	Picanço-real
Polioviirus	Poliovírus
Wang Yaping	Wang Yaping
Sunniviisiline töö	Escravidão moderna
Arta piirkond	Região de Arta
Braunschweig-Lüneburgi kuurvürstkond	Eleitorado de Hanôver
Anhalt-Zerbst	Principado de Anhalt-Zerbst
Väegrupp Afrika	Heeresgruppe Afrika
Alberto Braglia	Alberto Braglia
Jegor Ligatšov	Egor Ligatchov
Jim Jones	Jim Jones (rapper)
Glenn Morris	Glenn Morris
Martin Reim	Martin Reim
Tapio Korjus	Tapio Korjus
Eero Aarnio	Eero Aarnio
Piero del Pollaiolo	Piero del Pollaiuolo
Vjatšeslav Ivanenko	Viacheslav Ivanenko
Mihhail Lavrentjev	Mikhail Lavrentyev
Dimítrios Kiousópoulos	Dimítrios Kiusópoulos
Jack Shea	Jack Shea
Munasarjaarter	Artéria ovárica
Manuel Cardoso	Manuel Cardoso (compositor)
Munandiarter	Artéria testicular
Jean Jacques Friedrich Wilhelm Parrot	Friedrich Parrot
Steatiit	Esteatito
Javier Echevarría	Javier Echevarría
Metsik roos	Rosa salvaje
Sofoklís Venizélos	Sofoklís Venizélos
Panagiótis Kanellópoulos	Panagiótis Kanellópulos
Abiturient	Abitur
C-hepatiidi viirus	Vírus da hepatite C
Rene Mandri	René Mandri
Bioanalüütik	Analista clínico
Baieri ringkond	Círculo da Baviera
Norman Fairclough	Norman Fairclough
Arthur Crudup	Arthur Crudup
Pisa San Giusto lennujaam	Aeroporto Internacional Galileo Galilei
Jüri Tarmak	Jüri Tarmak
Arthur H. Robinson	Arthur H. Robinson
Domitius Domitianus	Domício Domiciano
Marián Čalfa	Marián Čalfa
Arthur Laurents	Arthur Laurents
Rens Blom	Rens Blom
Erik Eriksen	Erik Eriksen
Azzeddine Laraki	Azzeddine Laraki
Gottfried Heinrich Bach	Gottfried Heinrich Bach
Alex Callinicos	Alex Callinicos
Aleksandr Poleštšuk	Aleksander Poleshchuk
Ion Emanuel Florescu	Emanoil Ion Florescu
Tinlot' vald	Tinlot
Hannu Manninen	Hannu Manninen
Lars Magnus Ericsson	Lars Magnus Ericsson
Arthur Burks	Arthur Burks
Keskmine surmav annus	Dose letal mediana
Euroopa Liidu kolmik	G3 (Europa)
De facto	De facto
Ruutkilomeeter	Quilómetro quadrado
Riikide loend rahvaarvu järgi	Lista de países por população
Neerupealis	Glândula suprarrenal
Elund	Órgão (anatomia)
Albus Dumbledore	Albus Dumbledore
Billie Joe Armstrong	Billie Joe Armstrong
Lümfisüsteem	Sistema linfático
§ 58	Artigo 58 (Código Penal da República Socialista Russa)
Chris Martin	Chris Martin
Aubange	Aubange
Vaagen	Pelve
Bertogne	Bertogne
Santa Cruzi saar (Galápagose saared)	Ilha de Santa Cruz (Galápagos)
Bertrix	Bertrix
Chiny	Chiny
Daverdisse	Daverdisse
Fauvillers	Fauvillers
Mike Dirnt	Mike Dirnt
Florenville	Florenville
Gouvy	Gouvy
Habay	Habay
Herbeumont	Herbeumont
Mafia	Ilha de Mafia
Léglise	Léglise
Libin	Libin
Manhay	Manhay
Martelange	Martelange
La Plata lahing	Batalha do Rio da Prata
Musson	Musson
Rendeux	Rendeux
Klaad	Clado
Arto Bryggare	Arto Bryggare
Sirius Black	Sirius Black
Sainte-Ode	Sainte-Ode
Saint-Hubert (Belgia)	Saint-Hubert
Lääne-Saksamaa	Alemanha Ocidental
Saint-Léger (Belgia)	Saint-Léger (Luxemburgo)
Tellini vald	Tellin
Tintigny	Tintigny
Vaux-sur-Sûre	Vaux-sur-Sûre
Wellini vald	Wellin
Charles Middleton	Charles B. Middleton
Narcís Monturiol i Estarriol	Narcís Monturiol
Ezo Vabariik	República de Ezo
Jenni Rivera	Jenni Rivera
Dmitri Kozak	Dmitry Kozak
Michael Tomasello	Michael Tomasello
Artur Kapp	Artur Kapp
Brian Sandoval	Brian Sandoval
Makira	Makira
Néa Salamís Famagusta FC	Nea Salamis Famagusta (futebol)
Bandai	Monte Bandai
Louis Wain	Louis Wain
Kategooria (filosoofia)	Categoria (filosofia)
Brinelli kõvadus	Dureza Brinell
Louis Claude Richard	Louis Claude Richard
Bevan Docherty	Bevan Docherty
Põhjala teooria	Raça nórdica
Gripsholmi loss	Castelo Gripsholm
Plagioklass	Plagioclase
The Edge	The Edge
Korrapärane hulknurk	Polígono regular
Yanbiani Korea autonoomne ringkond	Prefeitura Autônoma de Yanbian
Teide rahvuspark	Parque Nacional do Teide
Arturo Barrios	Arturo Barrios
Assesse	Assesse
Maailmameri	Oceano global
PROTECT IP Act	PROTECT IP Act
Nymphadora Tonks	Ninfadora Tonks
Atsetüülkoensüüm A	Acetilcoenzima A
Lümfotsüüt	Linfócito
Aasia maad	Lista de Estados soberanos e territórios dependentes da Ásia
Tahkisefüüsika	Física do estado sólido
Gu Chaohao	Gu Chaohao
Vanavanemate päev	Dia dos avós
Hiroyoshi Nishizawa	Hiroyoshi Nishizawa
ReLoad (Metallica)	ReLoad
Sahhalini laht	Golfo de Sacalina
Nevelskoi väin	Estreito de Nevelskoy
Pujŏn	Pujon
Wilhelm Modenast	Guilherme de Módena
Kaitseseisukord	Lei marcial
Riigiduuma	Duma Federal
Ringliikumine	Movimento circular
Kapten (jalgpall)	Capitão (futebol)
Ürgimetajad	Prototheria
Balrog	Balrog
Kiivertihane	Parus holsti
Aruba Dushi Tera	Aruba Dushi Tera
Jäneseurg	Família Weasley
Éowyn	Éowyn
Montgomery Burns	Montgomery Burns
Arup	Arup
Fëanor	Fëanor
PID-kontroller	Controlador proporcional integral derivativo
Dolores Jane Umbridge	Dolores Umbridge
Raudlinn	Isengard
.ss	.ss
Arvid August Afzelius	Arvid August Afzelius
Pitchi asfaldijärv	Pitch Lake
Qemal Stafa staadion	Estádio Qemal Stafa
Everard Ferdinand im Thurn	Everard im Thurn
James Potter	Tiago Potter
Villem Grünthal-Ridala	Villem Grünthal-Ridala
Ove Arup	Ove Arup
Niccolò Albergati	Niccolò Albergati
Alex Smith	Alex Smith
Medgar Evers	Medgar Evers
Arüülrühm	Arila
T. M. Aluko	Timothy Mofolorunso Aluko
Brisingr	Brisingr
Denethor II	Denethor II
Kuchinoerabujima	Kuchinoerabujima
Positiivne psühholoogia	Psicologia positiva
Roger de La Fresnaye	Roger de La Fresnaye
Aarja rass	Raça ariana
Arzúa maakond	Comarca de Arzúa
Klassikaline kitarr	Guitarra clássica
Serbia ja Montenegro lipp	Bandeira da Sérvia e Montenegro
William (Poitiers' krahv)	Guilherme IX, conde de Poitiers
Windows Fundamentals for Legacy PCs	Windows Fundamentals for Legacy PCs
Kiirelised	Radiata
As-duur	Lá bemol maior
Operand	Operando
Tihane	Parus
Kategooria (matemaatika)	Categoria (teoria das categorias)
Frantz Kruger	Frantz Kruger
Radagast	Radagast
Korvpall 1976. aasta suveolümpiamängudel	Basquetebol nos Jogos Olímpicos de Verão de 1976
Fátima Neitsi Maarja	Nossa Senhora de Fátima
Kiiruisutamine 2014. aasta taliolümpiamängudel	Patinação de velocidade nos Jogos Olímpicos de Inverno de 2014
Energeetika	Energética
Levimus	Prevalência
Georg (Saksi hertsog)	Jorge da Saxônia
Círdan	Círdan
Jack O'Neill	Jack O'Neill
Inari (jumal)	Inari Ōkami
Ohulähedased	Espécie quase ameaçada
John Shakespeare	John Shakespeare
Pagaripärm	Saccharomyces cerevisiae
Elendil	Elendil
Alalisvoolugeneraator	Dínamo
Kääbik: Smaugi laastatud maa	O Hobbit: A Desolação de Smaug
Türi vald	Türi
Ajukahjustus	Lesão cerebral
Surugaas	Gás natural veicular
Järva-Jaani vald	Järva-Jaani
Imavere vald	Imavere
Koeru vald	Koeru
Barbarism	Barbarismo
Paide vald	Paide (município rural)
Roosna-Alliku vald	Roosna-Alliku
Kareda vald	Kareda
Väätsa vald	Väätsa
Albu vald	Albu
Bifurkatsioon	Bifurcação fluvial
Metsamajandus	Silvicultura
Jukagiirid	Yukaghir
Asago	Asago
Dean Kamen	Dean Kamen
Kihulased	Simuliidae
Eestimaa kubermang	Governadorato de Reval
Iisop (perekond)	Hyssopus
Renault Twingo	Renault Twingo
Inimökoloogia	Ecologia humana
Tegevuskasum	Lucro antes de juros e imposto de renda
Moism	Moísmo
Naughty Dog	Naughty Dog
Ibrahima Traoré	Ibrahima Traoré
Rändraamatukogu	Biblioteca móvel
Ühesuunaline funktsioon	Função de mão única
Levente Lengyel	Levente Lengyel
Kirka Babitzin	Kirka
Inimese genoom	Genoma humano
Sergio Bertoni	Sergio Bertoni
Prospero Colonna	Prospero Colonna
Armastuse meri	Mar de amor
Isikumaks	Capitação
Globaalne küla	Aldeia Global
Telegraafside	Telegrafia
Tulemaa provints (Tšiili)	Tierra del Fuego (província do Chile)
Kongressi kuldmedal	Medalha de Ouro do Congresso
István Fekete	István Fekete
Monaco riigipeade loend	Lista de senhores e príncipes-soberanos de Mónaco
Kuur	Edícula
Dixie	Dixie
The Veronicas	The Veronicas
Shanghai Airlines	Shanghai Airlines
William Boyd	William Boyd (escritor)
Wade Belak	Wade Belak
Kataloonia presidentide loend	Lista de presidentes da Catalunha
Landkreuzer P. 1000 Ratte	Landkreuzer P. 1000 Ratte
Warreni komisjon	Comissão Warren
Miroslav Cerar	Miroslav Cerar
Eepiline teater	Teatro épico
Makroevolutsioon	Macroevolução
Iirimaa Eurovisiooni lauluvõistlusel	Irlanda no Festival Eurovisão da Canção
Soomusrong	Comboio blindado
Challenger 1	Challenger 1
Michael Winner	Michael Winner
Itaalia vabariik (Napoleoni)	República Italiana (1802-1805)
Stanisław Mikulski	Stanisław Mikulski
Narva-Jõesuu	Narva-Jõesuu
Fokker 70	Fokker 70
Salome (Richard Strauss)	Salomé (ópera)
Eoskott	Asco (fungos)
Frank Iero	Frank Iero
Võrdtempereeritud häälestus	Temperamento igual
Bakuu İnter	Inter Baku PIK
Silkeborg IF	Silkeborg IF
Serjoga	Seryoga
Puutetahvel	Quadro interactivo
Türgi Eurovisiooni lauluvõistlusel	Turquia no Festival Eurovisão da Canção
Kergejõustik 1904. aasta suveolümpiamängudel	Atletismo nos Jogos Olímpicos de Verão de 1904
Maksimiri staadion	Estádio Maksimir
Loodedivisjon	Divisão Noroeste (NBA)
Võrkpall 2004. aasta suveolümpiamängudel	Voleibol nos Jogos Olímpicos de Verão de 2004
Star Trek: Generatsioonid	Star Trek Generations
Dekaan	Decano (educação)
Sin City	Sin City
Suue	Confluência
Missa solemnis (Beethoven)	Missa Solemnis (Beethoven)
Greatest Hits	Álbum de grandes êxitos
Ämm	Sogra
Taani kuninglik perekond	Família real dinamarquesa
