ئافرىقا	África
مالاتيا ۋىلايىتى	Malatya (província)
مۇش ۋىلايىتى	Muş (província)
يۇھاننا يازغان ئىككىنچى خەت	Segunda Epístola de João
يۇھاننا يازغان ئۈچىنچى خەت	Terceira Epístola de João
يەھۇدا يازغان خەت	Epístola de Judas
تىموتىيغا يېزىلغان ئىككىنچى خەت	Segunda Epístola a Timóteo
تىتۇسغا يېزىلغان خەت	Epístola a Tito
قىرقلارەلى ۋىلايىتى	Kırklareli (província)
ئاليۇمىن ئوكسىدى	Coríndon
مەرسىن ۋىلايىتى	Mersin (província)
ئوتتۇرا ئاسىيا ياۋا تۆگىسى	Camelo-bactriano
بۇشەھر ۋىلايىتى	Bushehr
تەكلىماكان قۇملۇقى	Taklamakan
پاچاق	Perna
قاشقىئوغلاق	Cão-guaxinim
ئاشمورە ۋە كارتىئەر ئاراللىرى	Ilhas Ashmore e Cartier
قىرشەھەر ۋىلايىتى	Kırşehir (província)
ئەردەبىل ۋىلايىتى	Província de Ardabil
سىنوپ ۋىلايىتى	Sinop (província)
Ajax	AJAX (programação)
ئاتىلار بايرىمى	Dia dos Pais
شۆلگەي بېزى	Glândula salivar
سېرىق قاشتېشى	Topázio
بىھارى تىلى	Línguas biaris
Xéngyang shehiri	Hengyang
مالاي ئېيىقى	Helarctos malayanus
زامان گېزىتى	Zaman
مانجۇ مىللىتى	Manchu
تېرەك	Populus tremula
ھېيدېلبېرگ ئۇنىۋېرستېتى	Universidade de Heidelberg
سۇلايمان دېمىرەل	Süleyman Demirel
ۋەيران بولۇش	Falência
ج.ۋىللارد گىببس	Josiah Willard Gibbs
پۇت بارمىقى	Artelho
نىغدە ۋىلايىتى	Niğde (província)
ئوتتۇرا ئاناتولىيە رايونى	Região da Anatólia Central
قارا دېڭىز رايونى	Região do Mar Negro
شەرقىي ئاناتولىيە رايونى	Região da Anatólia Oriental
يەر ئوتتۇرا دېڭىزى رايونى	Região do Mediterrâneo
ئېگېي رايونى	Região do Egeu
مارمارا رايونى	Região de Mármara
شەرقىي جەنۇبىي ئاناتولىيە رايونى	Região do Sudeste da Anatólia
لېيدېن ئۇنىۋېرستېتى	Universidade de Leiden
مېڭە ئاستى بېزى	Hipófise
تۈر:سىياسىي جۇغراپىيە	Geopolítica
مۇرادئۈچ	Murad III
ئىدىنبۇرگ ئۇنىۋېرستېتى	Universidade de Edimburgo
فارابى	Al-Farabi
كۆك قۇتان	Garça-vermelha
گەۋدە	Tronco (anatomia)
ياپونىيىلىك	Japoneses
پامىر ئېگىزلىكى	Pamir
تولۇق كۇرس	Bacharelato
تۆش بېزى	Timo
دۆڭچە مېڭىنىڭ ئاستى	Hipotálamo
ئېلېكتر سىغىمى	Capacitância
يېشىل تاش	Malaquita
سولچى	Esquerda política
چاناق قەلئە ئۇرۇشى	Campanha de Galípoli
بىريۇزا(ياقۇت)	Turquesa
ئەخمەت نەدجەت سەزەر	Ahmet Necdet Sezer
ۋيېنا ئۇنىۋېرسىتېتى	Universidade de Viena
توشقانسىمان سۈلەيسۈن	Felis manul
ئافيون قاراھىسار	Afyonkarahisar
ئوتتۇرا بارماق	Dedo médio
ئەبۇ مۇسا جابىر بىن ھەييام	Geber
ئوشۇق	Tornozelo
ئادىياما	Adıyaman
تاغ ئۆچكىسى	Íbex
پەنجاب	Panjabe
شىيا سۇلالىسى	Dinastia Xia
باشكەنت ئۇنىۋېرستېتى	Universidade Başkent
جىنەن شەھىرى	Jinan
يول بەلگىسى	Sinalização rodoviária
چىڭداۋ شەھىرى	Qingdao
كالسېدونىيە	Calcedônia (mineral)
ئاسىيا تېنچ ئوكيان ئىقتىسادىي ھەمكارلىق تەشكىلاتى	Cooperação Econômica Ásia-Pacífico
Glutséstér	Gloucester
قەشقەر شەھرى	Kashgar
ئىلام ۋىلايىتى	Ilam (província)
نەنچاڭ شەھىرى	Nanchang
بېشىكتاش گىمناستىكا كۇلۇبى	Beşiktaş Jimnastik Kulübü
تۈرك لىراسى	Lira turca
ئۆچكە	Capra
بورمودىلى	Átomo de Bohr
ھەزىم يولى	Esófago
چاڭشا شەھىر	Changsha
ئۆكچە	Calcanhar
كېكىردەك	Faringe
ئۇيغقاشتېشى	Jade
ۋىتامىن D	Vitamina D
2010 دۇنيا لوڭقىسى	Copa do Mundo FIFA de 2010
نەسىرىدىن ئەپەندى	Nasrudin
سۇلايمانىيە جامىى	Mesquita Süleymaniye
كاۋاپ	Kebab
Wéstminstér Shehiri	Cidade de Westminster
نەننىڭ شەھىرى	Nanning
Durham	Durham
تۇرغۇت ئۆزال	Turgut Özal
ﮔﺎﮔﺎﯞﯗﺯ	Gagaúzes
بادام بەز	Tonsila
مۇھەممەد خاتەمى	Mohammad Khatami
تورونتو ئۇنىۋېرستېتى	Universidade de Toronto
ساردونىكس	Ónix
تروچكىزم	Trotskismo
ياڭ جىننىڭ	Chen Ning Yang
Gawshyung	Kaohsiung
بىرىكمە ماتېرىيال	Compósito
مېڭە غولى	Tronco cerebral
تاموژنا	Alfândega
كۈنمىڭ شەھىرى	Kunming
ۋىتامىنB	Complexo B
ئىسمەت ئىنۆنۈ	İsmet İnönü
مارگارېت ئاتۋود	Margaret Atwood
خۇيزۇ مىللىتى	Hui (povo)
لەنجۇ شەھىرى	Lanzhou
Halva	Halva
لى جىڭداۋ	Tsung-Dao Lee
ماگىستىر	Mestrado
ئوتتۇرا مېڭە	Mesencéfalo
ئۇپسالا ئۇنىۋېرستېتى	Universidade de Uppsala
Multan	Multan
خېفېي شەھىر	Hefei
ئىپار مۈشۈك ئائىلىسى	Viverridae
ئارقار	Argali
كوپېنھاگېن ئۇنىۋېرستېتى	Universidade de Copenhague
قارساق	Raposa-das-estepes
لوياڭ شەھىرى	Luoyang
كۇئېنلۇن تاغ تىزمىسى	Kunlun
تىبەت مىللىتى	Tibetanos
لوندون ئىمپېرىيە ئىنستېتۇت	Imperial College London
يىلىك	Bulbo raquidiano
گۇيلىن شەھىرى	Guilin
گېئوتىت	Goethita
Xeyko shehir	Haikou
مولتىمىتىر	Multímetro
بەل	Membro
يۇگوسلاۋىيە پادىشاھلىقى	Reino da Iugoslávia
ئېۋېنكى مىللىتى	Evenkis
راھىبە	Freira
سېرىق ياۋا مۈشۈك	Gato-bravo-dourado-da-ásia
گۇيياڭ شەھىرى	Guiyang
نامسىز بارماق	Anular
لىمبىك سىستېما	Sistema límbico
تۇرپان	Turpan
ئىلى دەرياسى	Rio Ili
مېڭە كۆۋرۈكى	Ponte (sistema nervoso)
دەريا بۇغىسى	Hydropotes inermis
ﺑﺎﻟﻘﺎﺭ ﻣﯩﻠﻠﯩﺘﻰ	Bálcaros
ﻧﻮﻏﺎﻱ ﻣﯩﻠﻠﯩﺘﻰ	Nogais
كالا گۆشى	Carne bovina
گلاسگوۋ ئۇنىۋېرستېتى	Universidade de Glasgow
توخارلار	Tocarianos
ئابادە	Abadeh
ئىستانبۇل ئۇنىۋېرسىتېتى	Universidade de Istambul
بۇرما مۈڭگۈزلۈك بۆكەن	Budorcas taxicolor
ئېلېكترون قەۋەت	Nível eletrônico
مۇھەررىر	Edição jornalística
مىكروسكوپ	Microscópio
كېمىنىڭ يان تىرەكلىرى	Costela
جاڭ خىڭ	Zhang Heng
موڭغۇلكۈرە ناھىيىسى	Zhaosu
جۇگىلىياڭ	Zhuge Liang
زىبو شەھىرى	Zibo
سۇلتان ئالىپ ئارىسلان	Alp Arslan
گوللاندىيىلىكلەر	Neerlandeses
مەن، ماشىنا ئادەم (كىنو)	I, Robot (filme)
قاشتېشى	Jaspe
تگرین اعظم	Tigranes, o Grande
كۆكمۇچ	Capsicum
چۆل مۈشۈكى	Felis bieti
جۇڭگو شىنخۇا ئاگېنتلىقى	Xinhua
Lankastér	Lancaster (Lancashire)
لىجياڭ شەھىرى	Cidade Antiga de Lijiang
چىچىخار شەھىرى	Qiqihar
گەبزە	Gebze
ئۇزۇن قۇيرۇق بۇغا	Elaphurus davidianus
سېرىق تەنلىكلەر	Amarelos
Keyféng shehiri	Kaifeng
پارىژ ئۇنىۋېرسىتىتى	Universidade de Paris
بېيخەي شەھىرى	Beihai
يەنتەي شەھىرى	Yantai
ﻗﯘﻣﯩﻖ	Cumiques
يىنچۈئەن شەھىرى	Yinchuan
سەئىد قۇتوب	Sayyid Qutb
ئېيقسىمان ئىپار مۈشۈك	Arctictis binturong
ئامستېردام ئۇنىۋېرستېتى	Universidade de Amsterdã
دۇڭزۇ مىللىتى	Dong (etnia)
تارىم ئويمانلىقى	Bacia do Tarim
بۈيۈك ئويۇن	Grande Jogo
لازۇرىت	Lápis-lazúli
قاراماي يۇقىر سۇرئەتلىك يولى	Estrada do Caracórum
ساكاريا دەرياسى	Rio Sakarya
ئوۋتېز	Joyce Carol Oates
مۇدەنجياڭ شەھىرى	Mudanjiang
ۋاشىنگتون ئۇنىۋېرستېتى	Universidade de Washington
زونگۇلداق ۋىلايىتى	Zonguldak (província)
شىزاڭ ياۋا ئېشىكى	Equus kiang
بىرمىنگام ئۇنىۋېرستېتى	Universidade de Birmingham
بىلەك	Antebraço
ماتېرىيال ئىلمى	Ciência dos materiais
ھەنبەلىي مەزھىبى	Hanafismo
سەي لۇن	Cai Lun
قوڭۇر بۇغا	Rusa unicolor
مىچىگان ئۇنىۋېرستېتى	Universidade de Michigan
ئىرۇسالىمغا قايتىش ھەركىتى	Back To Jerusalem
ﺋﺎﻗﺴﺎﻱ ﭼﯩﻦ	Aksai Chin
مانچېستېر ئۇنىۋېرستېتى	Universidade de Manchester
تارپان	Tarpan
امينة ساندال	Emina Jahović
ئاق تەنلىكلەر	Brancos
تارىم دەرياسى	Rio Tarim
مىننېسوتا ئۇنىۋېرستېتى	Universidade de Minnesota
ئورخان پامۇك	Orhan Pamuk
ئەرتۇغرۇل غازى	Ertuğrul
ﻗﺎﺭﺍ ﭼﺎﻱ ﻣﯩﻠﻠﯩﺘﻰ	Carachais
نەجمەتتىن ئەرباقان	Necmettin Erbakan
Teyjong shehiri	Taichung
ﻛﺎﺷﻜﺎﻱ	Qashqais
مىللەتچى ھەركەت پارتىيىسى	Partido de Ação Nacionalista
ﭼﯘﯞﺍﺵ ﻣﯩﻠﻠﯩﺘﻰ	Chuvaches (povo)
ئىسپارتا ۋىلايىتى	Isparta (província)
قوڭۇر يىلپىز	Neofelis
سېرىق ئاغمىخان	Mustela sibirica
شىزاڭ بۆكىن	Chiru
چانقىرى ۋىلايىتى	Çankırı (província)
چورۇم ۋىلايىتى	Çorum (província)
ئىران ئەزەربەيجان	Azerbaijão (Irã)
تۈركىيە بۈيۈك مىللەت مەجلىسى	Grande Assembleia Nacional da Turquia
ئوسمانىيە ۋىلايىتى	Osmaniye (província)
تۇرپان ئويمانلىغى	Depressão de Turfan
1.خاتىرەمدىكى ئامېرىكا	ABCNews.com
Putbol	Futebol (desambiguação)
جاندان ارچتین	Candan Erçetin
ۋەن مارۋىجىك	Bert van Marwijk
Hidayet Türkoghli	Hidayet Türkoğlu
داچىڭ شەھىر	Daqing
لىزۇ مىللىتى	Li (etnia)
سۇلتان مەلىك شاھ	Malik Shah I
مەھمەت ئەلىي تالات	Mehmet Ali Talat
مېلبۇرن ئۇنىۋېرستېتى	Universidade de Melbourne
Dünxuang Shehiri	Dunhuang
لوپنۇر	Lop Nor
Senya shehiri	Sanya
Dostum	Abdul Rashid Dostum
كيوتو ئۇنىۋېرستېتى	Universidade de Quioto
بادام؛بادام؛بادام	Amígdala cerebelosa
ئىستانبۇل تېخنىكا ئۇنىۋېرسىتېتى	Universidade Técnica de Istambul
ئىزمىر ۋىلايىتى	Esmirna (província)
بۇغدىيەك	Pomo de adão
بېڭبۇ شەھەرى	Bengbu
خۇەينەن شەھىرى	Huainan
مائەنشەن شەھىرى	Maanshan
ئەنچىڭ شەھىرى	Anqing
ياۋزۇ مىللىتى	Yao (etnia)
ئەرزۇرۇم ۋىلايىتى	Erzurum (província)
روبوتلار ۋە ئىمپىرىيە	Robots and Empire
شانلى ئۇرفا ۋىلايىتى	Şanlıurfa (província)
ترابزون ۋىلايىتى	Trebizonda (província)
برىتانى كولۇمبىيە ئۇنىۋېرستېتى	Universidade da Colúmbia Britânica
Metta bayan qilghan xush xewer	Evangelho segundo Mateus
ئەلبورز ۋىلايىتى	Alborz
Tekshi choqqiliq tagh shehiri	Pingdingshan
شىنشياڭ شەھىرى	Xinxiang
Nenyang shehiri	Nanyang
Shinyang shehiri	Xinyang
ئەفەسلىكلەرگە يېزىلغان خەت	Epístola aos Efésios
زەمچە	Alúmen de potássio
ﺋﯩﻜﻜﯩﻨﭽﻰ ﻗﯩﺘﯩﻤﻠﯩﻖ ﯬﭘﻴﯘﻥ ﯰﺭﯗﺷﻰ	Segunda Guerra do Ópio
ئاقسۇ ۋىلايىتى	Aksu (Xinjiang)
ميەنياڭ شەھىرى	Mianyang
ھلا رەڭ	Cor-de-rosa
نەۋشەھەر ۋىلايىتى	Nevşehir (província)
نازارې	Nazaré
دۈزجە ۋىلايىتى	Düzce (província)
سۈبھىدىكى روبوتلار	The Robots of Dawn
بەشىكتاش	Beşiktaş
برىستول ئۇنىۋېرستېتى	Universidade de Bristol
ئاق بوغۇز بۆكەن	Gazela-persa
روزا ھېيت	Eid al-Fitr
كۆكمەت	Pseudois nayaur
يالىڭاچ قۇياش	The Naked Sun
نوتتىڭخام ئۇنىۋېرستېتى	Universidade de Nottingham
تايلاندلىقلار	Tais
تۈركىيە جۇمھۇريىتى باش مىنىستىرى	Lista de primeiros-ministros da Turquia
نەمەنگان ۋىلايىتى	Namangan (província)
پولات قەلئەلەر	The Caves of Steel
گىرەسۇن ۋىلايىتى	Giresun (província)
گۈمۈشخانە ۋىلايىتى	Gümüşhane (província)
سىئىرت ۋىلايىتى	Siirt (província)
قاھرامان ماراش ۋىلايىتى	Kahramanmaraş (província)
ئومۇرتقا	Coluna vertebral
قارامان ۋىلايىتى	Karaman (província)
سامسۇن ۋىلايىتى	Samsun (província)
ئۆزبېك مىللىتى	Uzbeques
ئەسكىشەھەر ۋىلايىتى	Eskişehir (província)
بايبۇرت ۋىلايىتى	Bayburt (província)
ئۇشاق ۋىلايىتى	Uşak (província)
يالوۋا ۋىلايىتى	Yalova (província)
ئەلازىغ ۋىلايىتى	Elazığ (província)
سىۋاس ۋىلايىتى	Sivas (província)
غازى ئانتەپ ۋىلايىتى	Gaziantep (província)
قارابۈك ۋىلايىتى	Karabük (província)
ئەرزىنجان ۋىلايىتى	Erzincan (província)
ئوردۇ ۋىلايىتى	Ordu (província)
كاستامونۇ ۋىلايىتى	Kastamonu (província)
توقات ۋىلايىتى	Tokat (província)
نورۇز بايرىمى	Noruz
كايسەرى ۋىلايىتى	Kayseri (província)
رىزە ۋىلايىتى	Rize (província)
تاجىك مىللىتى	Tajiques
مۇھەممەد ئىقبال	Muhammad Iqbal
پارسلار	Persas
قاراقالپاقىستان	Caracalpaquistão
قىرىققالە ۋىلايىتى	Kırıkkale (província)
قىرغىز مىللىتى	Quirguizes
شاڭخەي ھەمكارلىق تەشكىلاتى	Organização para Cooperação de Xangai
تۈركىيە دەرىجىدىن تاشقىرى ئايلانمىسى	Campeonato Turco de Futebol
تاركان	Tarkan
ﻳﺎﻗﯘﺕ ﻣﯩﻠﻠﯩﺘﻰ	Iacutos
فەرغانە ئويمانلىقى	Vale de Fergana
فەرغانە	Fergana
Kanzas Shehiri, Kanzas	Kansas City (Kansas)
پەرغانە ۋىلايىتى	Fergana (província)
بۇخارا ۋىلايىتى	Bukhara (província)
ئەنجان ۋىلايىتى	Andijan (província)
سەمەرقەنت ۋىلايىتى	Samarcanda (província)
سۇرخاندەريا ۋىلايىتى	Surxondaryo (província)
چاغاتاي خان	Djaghatai Khan
سىردەريا ۋىلايىتى	Sirdaryo (província)
سىدنېي ئۇنىۋېرستېتى	Universidade de Sydney
خارەزىم ۋىلايىتى	Khorazm (província)
نەۋايى ۋىلايىتى	Navoiy (província)
قاشقادەريا ۋىلايىتى	Qashqadaryo (província)
تاشكەنت ۋىلايىتى	Tashkent (província)
ئانا ۋەتەن پارتىيىسى	Partido da Pátria
جىزاق ۋىلايىتى	Jizzakh (província)
ئاۋكلاند ئۇنىۋېرستېتى	Universidade de Auckland
ئوغۇزلار	Oguzes
كۆمۈرچەك	Tecido cartilaginoso
جەنۋە ئۇنىۋېرستېتى	Universidade de Genebra
تارىم توشقىنى	Lepus yarkandensis
Openoffice	OpenOffice.org
قۇربان ھېيت	Festa do Sacrifício
تىمساھ	Alligator (género)
ئىستانبۇل ۋىلايىتى	Istambul (província)
Kökxot shehiri	Hohhot
بەزگە مۇناسىۋەتلىك	Adenoide
باۋتۇ شەھىر	Baotou
كۈنەس ناھىيىسى	Xinyuan
رومبىسىمان كرىستال كاتەكچىسى	Sistema cristalino trigonal
تېھران ۋىلايىتى	Teerão (província)
تۆش	Tórax
موناش ئۇنىۋېرستېتى	Universidade Monash
بوکان	Bukan
رېگان ئىقتىسادشۇناسلىقى	Reaganomics
تۇنجەلى ۋىلايىتى	Tunceli (província)
مۇز تاغ ئاتا	Muztagh Ata
ئالبېرتا ئۇنىۋېرستېتى	Universidade de Alberta
قوي گۆشى	Carne de cordeiro
قوڭۇر تاغ	Kongur Tagh
خەينە بۇغىسى	Panolia eldii
شىرناق ۋىلايىتى	Şırnak (província)
چۆچەك شەھىرى	Tacheng
قالقانسىمان يان بەز	Glândula paratiroide
قۇمۇل شەھىرى	Kumul
ئوساكا ئۇنىۋېرستېتى	Universidade de Osaka
قاراماي شەھىرى	Karamay
سۈلەيسۈن	Lince
نان	Naan
بۆرەك ئۈستى بېزى	Glândula suprarrenal
لىمفا ئىشلەپچىقىرىدىغان	Sistema linfático
يانپاش	Pelve
يۇڭ تاجلىق بۇغا	Elaphodus cephalophus
ھىمالايا چۇپۇرلۇق قويى	Hemitragus jemlahicus
ئۇرال - ئالتاي تىللىرى سېستىمىسى	Línguas uralo-altaicas
جەم يىلماز	Cem Yılmaz
تيېرى مېيىسسان	Thierry Meyssan
نەي	Ney (instrumento musical)
تىن تىننىڭ سەرگۈزەشتىلىرى	As Aventuras de Tintim
بازا	Foundation
قارىقۇيرۇق	Procapra gutturosa
ئۈرۈمچى دىۋوپۇ خەلقئارا ئايروپورتى	Aeroporto Internacional de Ürümqi Diwopu
بابۇر	Babur
قارا تەنلىكلەر	Negros
بازا ۋە ئىمپىرىيە	Foundation and Empire
مېنبا مىللىتى	Monpas
شەرقىي تۈركىستان	Turquestão Oriental
5-ئىيۇل ۋەقەسى	Distúrbios em Xinjiang em julho de 2009
تاجىسىمان يۇرەك قان تومۇر كېسىلى	Doença arterial coronariana
شىمالىي ئامېرىكىلىق	Povo dos Estados Unidos
قىز مۇنارى	Torre de Leandro
شىخەنزە شەھىرى	Shihezi
دوكتور ئاسپرانتى	Doutoramento
ئاچاڭ مىللىتى	Achang
ئىككىنچى بازا	Second Foundation
يەكەن ناھىيىسى	Yarkand
QQ	QQ
تېڭشۈن شىركىتى	Tencent
بىلكەنت ئۇنىۋېستېتى	Universidade Bilkent
كۋېنسلاند ئۇنىۋېرستېتى	Universidade de Queensland
غۇلجا شەھىرى	Kuldja
مۇلاۋ مىللىتى	Mulao (etnia)
Néwkastl Undérlim	Newcastle-under-Lyme
تۇڭگان مىللىتى	Dunganes
روبوت چاتما رومانى	Robot series (Asimov)
ياردەم:ياردەم	Ajuda:Página principal
بازىنىڭ چېتى	Foundation's Edge
شەرقى تۈركىستان جۇمھۇرىيىتى	Primeira República do Turquestão Oriental
سانجى شەھىرى	Changji
چاپچال شىبە ئاپتونوم يېزىسى	Qapqal Sibe
فارس ۋىلايىتى	Fars (província)
يېڭىسار ناھىيىسى	Yengisar
ۋۇسۇ شەھىرى	Wusu
قورغاس ناھىيىسى	Huo-cheng
ماناس ناھىيىسى	Manas (China)
ئاشقازان	Estômago
ئېلىك	Capreolus
ئەنقەرە ئۇنىۋېرسىتېتى	Universidade de Ancara
ئىكول تىل مەكتىپى	École de langues Accord
پېشاۋار	Pexauar
قاراشەھەر بازىرى	Karasahr
ئۇچتۇرپان ناھىيىسى	Uqturpan
تۇخۇم نەيچىسى	Trompas de Falópio
توققۇزتارا ناھىيىسى	Gongliu
نىلقا ناھىيىسى	Nileke
مۇرات ناسىروۋ	Murat Nasyrov
تېكەس ناھىيىسى	Tekesi
ئېسفەھان ۋىلايىتى	Ispaão (província)
تۈر:تۈركىيە	Categoria:Turquia
تۈر:ئۆسۈملۈك	Categoria:Plantas
تۈر:فىزىكا	Categoria:Física
تۈر:تەبىئىي پەن	Categoria:Ciências naturais
تۈر:Geografia	Categoria:Geografia
لەغمەن	Lagman (alimento)
خۇيزۇ	Hui
ماخۇاتېڭ	Ma Huateng
تۈر:خرىستىئان دىنى	Categoria:Cristianismo
ئەنقەرە ۋىلايىتى	Ancara (província)
قاراباغ	Karabakh
ئىراق ۋە شام ئىسلام دۆلىتى	Estado Islâmico do Iraque e do Levante
پوزىترونىك مىڭە	Cérebro positrônico
پۇشتۇ مىللىتى	Pachtuns
گېئورگى بۇچنېر ئەدەبىيات مۇكاپاتى	Prêmio Georg Büchner
كېسەل	Panturrilha
بىنەپشە رەڭ	Púrpura
ئاتىلىم ئۇنىۋېرستېتى	Universidade Atılım
Ördek	Pato
قېلىپ:Tl	Predefinição:Ligação para predefinição
قېلىپ:Userbox	Predefinição:Userbox
Wikipedia:Administrators	Wikipédia:Administradores
تۈر:جۇڭخۇا مىللەتلىرى	Categoria:Grupos étnicos da China
مىسىر	Egito
قېلىپ:Bot	Predefinição:Robô
كانادا	Canadá
Wikipedia:ھەققىدە	Wikipédia:Sobre a Wikipédia
قېلىپ:Flagicon	Predefinição:ÍconeBandeira
قېلىپ:Documentation	Predefinição:Documentação
Sung Jae-gi	Sung Jae-ki
تۈرك نەي	Ney turco
قېلىپ:Softredirect	Predefinição:Pseudorredirecionamento
قېلىپ:Delete	Predefinição:ER
تۈر:تىل	Categoria:Línguas
Wikipedia:General disclaimer	Wikipédia:Aviso geral
قېلىپ:Navbox	Predefinição:Navbox
ئورقۇن-يېنسەي يېزىقى	Alfabeto de Orkhon
خالتىلىق چاشقان	Canguru
قېلىپ:Tnavbar	Predefinição:Tnavbar
قېلىپ:Babel	Predefinição:Babel
قېلىپ:Commons	Predefinição:Commons
قېلىپ:Reflist	Predefinição:Referências
قېلىپ:Stub	Predefinição:Esboço
قېلىپ:User az	Predefinição:User az
قېلىپ:User de	Predefinição:User de
قېلىپ:User de-1	Predefinição:User de-1
قېلىپ:User es	Predefinição:User es
قېلىپ:User de-3	Predefinição:User de-3
قېلىپ:User en-3	Predefinição:User en-3
قېلىپ:User en-1	Predefinição:User en-1
قېلىپ:User en-2	Predefinição:User en-2
قېلىپ:User en-4	Predefinição:User en-4
قېلىپ:User en	Predefinição:User en
قېلىپ:User de-2	Predefinição:User de-2
قېلىپ:User es-1	Predefinição:User es-1
قېلىپ:User fr-1	Predefinição:User fr-1
قېلىپ:User sk	Predefinição:User sk
قېلىپ:User tr-2	Predefinição:User tr-2
قېلىپ:User tr	Predefinição:User tr
قېلىپ:User ja	Predefinição:User ja
قېلىپ:User ja-1	Predefinição:User ja-1
قېلىپ:User fr	Predefinição:User fr
قېلىپ:Location map/Info	Predefinição:Mapa de localização/info
قېلىپ:Mod	Predefinição:Mod
قېلىپ:Welcome	Predefinição:Bem-vindo(a)
تۈر:كىشلىك ئالاقە	Categoria:Comunicação humana
تۈر:User fr-1	Categoria:Usuário fr-1
قېلىپ:Country showdata	Predefinição:Country showdata
قېلىپ:Category handler	Predefinição:Cat handler
قېلىپ:ئافرىقا	Predefinição:Países da África
قېلىپ:Country data NEP	Predefinição:Country data Nepal
قېلىپ:Documentation/docname	Predefinição:Documentação/nomedoc
تۈر:User en-4	Categoria:Utilizador en-4
تۈر:User en	Categoria:Usuários en
تۈر:User zh	Categoria:Usuários zh
تۈر:User zh-N	Categoria:Usuário zh
تۈر:User en-2	Categoria:Usuário en-2
قېلىپ:Infobox	Predefinição:Info
قېلىپ:ئىراننىڭ ۋىلايەتلىرى	Predefinição:Províncias do Irão
قېلىپ:User zh	Predefinição:User zh
قېلىپ:Protected title	Predefinição:Protected title
قېلىپ:Navbox/core	Predefinição:Navbox/core
قېلىپ:Legend	Predefinição:Legenda
قېلىپ:Ombox	Predefinição:Ombox
قېلىپ:Country data	Predefinição:Dados de país
قېلىپ:Pp-template	Predefinição:Pp-template
قېلىپ:User ru	Predefinição:User ru
تۈر:دۆلەت	Categoria:Estado
قېلىپ:IPA	Predefinição:AFI
قېلىپ:ئىنجىل	Predefinição:Novo Testamento
قېلىپ:ئوكيانىيە	Predefinição:Países e territórios da Oceania
قېلىپ:Unreferenced	Categoria:!Artigos que carecem de fontes
قېلىپ:جۇڭخۇا خەلق جۇمھۇرىيىتى	Predefinição:Subdivisões da República Popular da China
قېلىپ:Provinces of Uzbekistan	Predefinição:Províncias do Uzbequistão
قېلىپ:ياپونىيە	Predefinição:Regiões e divisões administrativas do Japão
تۈر:User ja-N	Categoria:Usuário ja
تۈر:سانائەت	Categoria:Indústrias
قېلىپ:Tick	Predefinição:Sim
قېلىپ:رۇسىيە	Predefinição:Subdivisões da Rússia
قېلىپ:Infobox person	Predefinição:Info/Biografia
قېلىپ:Country data PRC	Predefinição:Dados de país/República Popular da China
قېلىپ:ياۋروپا	Predefinição:Países da Europa
تۈر:User az	Categoria:Usuários az
تۈر:User sk	Categoria:Usuários sk
تۈر:User fr	Categoria:Usuários fr
تۈر:User ja	Categoria:Usuários ja
تۈر:User mn	Categoria:Usuário mn
تۈر:User az-3	Categoria:Usuário az-3
تۈر:User fr-3	Categoria:Usuário fr-3
تۈر:User ja-3	Categoria:Usuário ja-3
تۈر:User tr-3	Categoria:Usuário tr-3
تۈر:User tr-1	Categoria:Usuário tr-1
تۈر:User fr-2	Categoria:Usuário fr-2
تۈر:User ja-2	Categoria:Usuário ja-2
تۈر:User kk-2	Categoria:Usuário kk-2
تۈر:User tr-2	Categoria:Usuário tr-2
تۈر:User ko-N	Categoria:Usuário ko
تۈر:User fr-N	Categoria:Usuário fr
تۈر:User ru-N	Categoria:Usuário ru
تۈر:User az-1	Categoria:Usuário az-1
تۈر:User az-2	Categoria:Usuário az-2
تۈر:User az-N	Categoria:Usuário az
تۈر:User sk-N	Categoria:Usuário sk
تۈر:User de	Categoria:Usuários de
تۈر:User de-2	Categoria:Usuário de-2
تۈر:User de-3	Categoria:Usuário de-3
تۈر:User de-N	Categoria:Usuário de
شىراز	Xiraz
تۈر:User en-3	Categoria:Usuário en-3
تۈر:User en-N	Categoria:Usuário en
تۈر:User es	Categoria:Usuários es
تۈر:User es-1	Categoria:Usuário es-1
تۈر:User es-N	Categoria:Usuário es
تۈر:User ja-1	Categoria:Usuário ja-1
تۈر:User kk	Categoria:Usuários kk
تۈر:User kk-3	Categoria:Usuário kk-3
تۈر:User kk-N	Categoria:Usuário kk
تۈر:User ko	Categoria:Usuários ko
تۈر:User ko-3	Categoria:Usuário ko-3
تۈر:User ky	Categoria:Usuários ky
تۈر:User ky-2	Categoria:Usuário ky-2
تۈر:User ky-N	Categoria:Usuário ky
تۈر:User ru-1	Categoria:Usuário ru-1
تۈر:User mn-1	Categoria:Usuário mn-1
قېلىپ:Table Greekletters	Predefinição:Letras gregas
تۈر:ئىقتىساد	Categoria:Economias
قېلىپ:Sockpuppet	Predefinição:Fantoche
قېلىپ:User ru-2	Predefinição:User ru-2
تۈر:User ru	Categoria:Usuários ru
تۈر:User tr	Categoria:Usuários tr
تۈر:User tr-N	Categoria:Usuário tr
تۈر:User uz	Categoria:Usuários uz
تۈر:User uz-3	Categoria:Usuário uz-3
