Yn Affrick	África
Ronney:Ymmydeyr fi-N	Categoria:Usuário fi
Ronney:Ymmydeyr ga-3	Categoria:Usuário ga-3
Ronney:Ellanree 'sy Cheayn Sheealtagh	Categoria:Arquipélagos do Oceano Pacífico
Ronney:1680yn	Categoria:Década de 1680
Ronney:Ymmydeyr he	Categoria:Usuários he
Ronney:Ymmydeyr he-3	Categoria:Usuário he-3
Ronney:Ymmydeyr hr-1	Categoria:Usuário hr-1
Ronney:Ymmydeyr hsb	Categoria:Usuários hsb
Ronney:Ymmydeyr hsb-3	Categoria:Usuário hsb-3
Ronney:Baljyn 'sy Rhine Hwoaie-Westfalen	Categoria:Cidades da Renânia do Norte-Vestfália
Ronney:Sheshengoaylleeaght	Categoria:Sociolinguística
Ronney:Gansu	Categoria:Gansu
Clowan:Ymmydeyr la-3	Predefinição:User la-3
Ronney:Ewnish	Categoria:Língua hebraica
Yn Anglicaanaght	Anglicanismo
Ronney:Screeudeyryn Bretnagh	Categoria:Escritores do País de Gales
Ronney:Lettyraght Ghoaldagh	Categoria:Literatura do Reino Unido
Ronney:Sleityn 'syn Antarctagh	Categoria:Montanhas da Antártida
Ronney:Baaseyn 'sy vlein 1904	Categoria:Mortos em 1904
Clowan:Lang-lv	Predefinição:Lang-lv
Ronney:Politickaght rere çheer	Categoria:Política por país
Ronney:Çhengaghyn Goalagh-Rheytagh	Categoria:Línguas galo-réticas
Ronney:Çheer-oaylleeaght København	Categoria:Geografia de Copenhague
Ronney:Ymmydeyr pl-N	Categoria:Usuário pl
Ronney:Ymmydeyr pt-1	Categoria:Usuário pt-1
Ronney:Çheer-oaylleeaght ny Livaan	Categoria:Geografia do Líbano
Ronney:Faarkaghyn Cheayn y Jiass	Categoria:Mares do Oceano Antártico
Ronney:Thieyn as strughtooryn ayns Nerin	Categoria:Construções da Irlanda
Ronney:Corpaneyn ayns Corys ny Greiney	Categoria:Objetos do Sistema Solar
Ronney:Rollaghyn bentyn rish yn Oarpey	Categoria:Listas da Europa
Ronney:Tudjeenyn	Categoria:Cigarros
Ronney:Baaseyn 'sy vlein 1852	Categoria:Mortos em 1852
Ronney:Baaseyn 'sy vlein 1880	Categoria:Mortos em 1880
Ronney:1812	Categoria:1812
Ronney:Towse-oaylleeaght	Categoria:Geometria
Ronney:Baaseyn 'sy vlein 1942	Categoria:Mortos em 1942
Clowan:Lang-be	Predefinição:Lang-be
Ronney:Scannaneyn veih'n vlein 1977	Categoria:Filmes de 1977
Ronney:Scannaneyn veih'n vlein 1942	Categoria:Filmes de 1942
Ronney:Çheer-oaylleeaght ny Litaan	Categoria:Geografia da Lituânia
Ronney:Feeleeghyn Rooshagh	Categoria:Poetas da Rússia
Ronney:Asterales	Categoria:Asterales
Clowan:Kishtey fys asslaynt	Predefinição:Info/Patologia
Ronney:Ronnaghyn rere amm	Categoria:Categorias por era
Ronney:Caayryn ayns Israel	Categoria:Cidades de Israel
Ronney:Cornales	Categoria:Cornales
Ronney:Thieyn as strughtooryn rere çheer	Categoria:Construções por país
Ronney:Ymmydeyr it	Categoria:Usuários it
Ronney:Ymmydeyr it-1	Categoria:Usuário it-1
Ronney:Malvaceae	Categoria:Malvaceae
Ronney:Ymmydeyr ko	Categoria:Usuários ko
Ronney:Steatyn ny Steatyn Unnaneysit	Categoria:Estados dos Estados Unidos
Ronney:Ymmydeyr ko-1	Categoria:Usuário ko-1
Ronney:Helsinki	Categoria:Helsínquia
Ronney:Çhengoaylleeaght feamagh	Categoria:Linguística aplicada
Clowan:Mpl	Predefinição:Pml
Ronney:Ymmydeyr la-1	Categoria:Usuário la-1
Ronney:Ymmydeyr la-3	Categoria:Usuário la-3
Ronney:Çheer-oaylleeaght ny h-Austrail	Categoria:Geografia da Austrália
Ronney:Queiggaghyn rere çheer	Categoria:Províncias por país
Clowan:Cite doi	Predefinição:Cite doi
Clowan:Kishtey fys argid cadjin	Predefinição:Info/Moeda
Ronney:Volcaanyn	Categoria:Vulcões
Ronney:Veronica	Categoria:Veronica
Ronney:Rhamnus	Categoria:Rhamnus
Ronney:Baaseyn 'sy vlein 1564	Categoria:Mortos em 1564
Ronney:1521	Categoria:1521
Ronney:Oaylleeaght rere keead	Categoria:Ciência por século
Ronney:Caayryn as baljyn 'sy Ghreag	Categoria:Cidades da Grécia
Ronney:Poanraghyn yn-ee	Categoria:Feijões
Ronney:Fabales	Categoria:Fabales
Ronney:1564	Categoria:1564
Ronney:Derbyshire	Categoria:Derbyshire
Ronney:Baaseyn 'sy 12oo eash	Categoria:Mortos no século XII
Ronney:Queiggaghyn ny Vietnam	Categoria:Províncias do Vietname
Ronney:Caayryn as baljyn ayns Lazio	Categoria:Comunas do Lácio
Ronney:Aarheynnyn ny Vietnam	Categoria:Subdivisões do Vietname
Ronney:Baljaghtyn 'sy Rhine Hwoaie-Westfalen	Categoria:Municípios da Renânia do Norte-Vestfália
Ronney:Commyoonyn ny Shillee	Categoria:Comunas do Chile
Ronney:Aarheynnyn reiragh	Categoria:Divisões administrativas
Clowan:Aavestey	Predefinição:Não confundir com
Ronney:Oaylleeyn sheshoil	Categoria:Cientistas sociais
Ronney:Eggoaylleeaght ushtee	Categoria:Ecologia aquática
Ronney:Echinodermata	Categoria:Equinodermes
Ronney:Çhengaghyn toanagh	Categoria:Línguas tonais
Ronney:Emshir	Categoria:Fenômenos atmosféricos
Ronney:Slystyn Israel	Categoria:Distritos de Israel
Ronney:Cultoor ny Massadoan	Categoria:Cultura da República da Macedónia
Ronney:Archaea	Categoria:Archaea
Ronney:Baaseyn 'sy vlein 1922	Categoria:Mortos em 1922
Ronney:Caayryn 'sy Rank	Categoria:Cidades da França
Ronney:Ymmydeyr nn-2	Categoria:Usuário nn-2
Ronney:Çheer-oaylleeaght Hessen	Categoria:Geografia de Hesse
Ronney:Yn Pholaneesh	Categoria:Polinésia
Clowan:Ymmydeyr gl	Predefinição:User gl
Ronney:Coontae Cheeill Chennee	Categoria:Condado de Kilkenny
Ronney:Coontae Limmeragh	Categoria:Condado de Limerick
Ronney:Coontae Ghivlyn	Categoria:Condado de Dublin
Ronney:Lettyraght phaitçhyn	Categoria:Literatura infantojuvenil
Ronney:Baaseyn 'sy vlein 1827	Categoria:Mortos em 1827
Ronney:Ymmydeyr ru-1	Categoria:Usuário ru-1
Clowan:Ardjyn Vretin	Predefinição:Subdivisões do País de Gales
Ronney:Baaseyn 'sy vlein 1826	Categoria:Mortos em 1826
Ronney:Çhengaghyn Pama-Nyungagh	Categoria:Línguas pama-nyungan
Clowan:Ymmydeyr sv-1	Predefinição:User sv-1
Ronney:Biljyn jesheenagh	Categoria:Árvores ornamentais
Ronney:Coobee	Categoria:Cubanos
Ronney:1970yn	Categoria:Década de 1970
Ronney:1890yn	Categoria:Década de 1890
Ronney:Queiggey Samara	Categoria:Oblast de Samara
Ronney:Geurey	Categoria:Inverno
Ronney:Greieyn bwoallee	Categoria:Instrumentos de percussão
Ronney:Far-skeealaght heanse	Categoria:Ficção científica
Ronney:Coloinaghys	Categoria:Colonialismo
Ronney:Glassraghyn fraueagh	Categoria:Raízes e tubérculos comestíveis
Ronney:Buill chummaltagh 'syn Austrail	Categoria:Assentamentos na Austrália
Ronney:Peinteyryn Ollanagh	Categoria:Pintores dos Países Baixos
Ronney:Ronnaghyn rere mean	Categoria:Categorias por mídia
Clowan:RA	Predefinição:AR
Ronney:Feeleeghyn	Categoria:Poetas
Ronney:Polynnee	Categoria:Polacos
Ronney:Sostynee	Categoria:Ingleses
Clowan:Mee Houney	Predefinição:Calendário de novembro
Ronney:Baaseyn 'sy vlein 1994	Categoria:Mortos em 1994
Ronney:Ruggyryn 'sy vlein 1906	Categoria:Nascidos em 1906
Ronney:Çheer-oaylleeaght rere çheer	Categoria:Geografia por país
Ronney:Cummeyderyn kiaulldramey	Categoria:Compositores de ópera
Ronney:Caayryn as baljyn 'sy Clovack	Categoria:Cidades da Eslováquia
Ronney:Faarkaghyn	Categoria:Mares
Ronney:Caayryn as baljyn 'sy Pholynn	Categoria:Cidades da Polónia
Ronney:Çheer-oaylleeaght ny Sheen	Categoria:Geografia da China
Ronney:Cummeyderyn rere ashoonaght	Categoria:Compositores por país
Clowan:Abbyrlhit Greagagh	Predefinição:Letras gregas
Ronney:Mee ny Nollick	Categoria:Dezembro
Ronney:Caayryn as baljyn ayns Finnlynn	Categoria:Cidades da Finlândia
Ronney:Fabaceae	Categoria:Fabaceae
Clowan:Boaldyn	Predefinição:Calendário de maio
Ronney:Steatyn Conastit y Vynneeys	Categoria:Estados Federados da Micronésia
Tasht-fockle	Vocabulário
Ronney:Solanum	Categoria:Solanum
Ronney:Sostyn	Categoria:Inglaterra
Ronney:Aghteyryn rere ashoonaght	Categoria:Atores por país
Ronney:Clougraafeeaght	Categoria:Tipografia
Ronney:Teksyn Ewagh	Categoria:Textos judaicos
Ronney:Saxifragales	Categoria:Saxifragales
Ronney:Jeeghyn rere cultoor	Categoria:Deuses por cultura
Ronney:Çhengaghyn Brythonagh	Categoria:Línguas britônicas
Clowan:IPA-all	Predefinição:IPA-tudo
Clowan:User id	Predefinição:User id
Ronney:Baaseyn 'sy vlein 2009	Categoria:Mortos em 2009
Ronney:Rheynnyn rere çheer	Categoria:Departamentos por país
Ronney:Niue	Categoria:Niue
Ronney:Lycaenidae	Categoria:Lycaenidae
Ronney:Rutaceae	Categoria:Rutaceae
Clowan:Navbox string handling templates	Predefinição:Navegação modificadores de cadeias
Ronney:Craueeaghtyn un-jeeagh	Categoria:Religiões monoteístas
Ronney:Milley bleeantyn	Categoria:Milênios
Ronney:Commyoonyn ayns Aodoù-an-Arvor	Categoria:Comunas do departamento de Côtes-d'Armor
Ronney:Baljaghtyn	Categoria:Municípios
Ronney:Rang-oardraghey	Categoria:Taxonomia
Ronney:Caesalpinioideae	Categoria:Caesalpinioideae
Clowan:Lang-ko	Predefinição:Lang-ko
Clowan:Lang-it	Predefinição:Lang-it
Ronney:Buill chummaltagh 'sy Çheer Injil	Categoria:Assentamentos nos Países Baixos
Ronney:Sheanse co-earrooagh	Categoria:Ciência da computação
Ronney:Genreyn lettyraght	Categoria:Gêneros literários
Ronney:Blaaghyn	Categoria:Flores
Ronney:Ymmydeyr nds	Categoria:Usuários nds
Ronney:Ymmydeyr nds-1	Categoria:Usuário nds-1
Ronney:Corys ny Greiney	Categoria:Sistema solar
Ronney:1923 rere çheer	Categoria:1923 por país
Ronney:Screeudeyryn Sostynagh	Categoria:Escritores da Inglaterra
Ronney:Guangdong	Categoria:Guangdong
Ronney:Shanxi	Categoria:Shanxi
Ronney:Sichuan	Categoria:Sichuan
Ronney:Guizhou	Categoria:Guizhou
Ronney:Liaoning	Categoria:Liaoning
Ronney:Shaanxi	Categoria:Shaanxi
Ronney:Anhui	Categoria:Anhui
Ronney:Jiangxi	Categoria:Jiangxi
Ronney:Jiangsu	Categoria:Jiangsu
Ronney:Jilin	Categoria:Jilin
Ronney:Fujian	Categoria:Fujian
Ronney:Hainan	Categoria:Hainan
Ronney:Hebei	Categoria:Hebei
Ronney:Heilongjiang	Categoria:Heilongjiang
Ronney:Hubei	Categoria:Hubei
Ronney:Tarmaynyssyn	Categoria:Economias
Ronney:2	Categoria:2
Ronney:3	Categoria:3
Ronney:1	Categoria:1
Ronney:Reagheydyssyn eddyr-ashoonagh	Categoria:Organizações internacionais
Ronney:Çheer-oaylleeaght fishigagh	Categoria:Geografia física
Ronney:Carthan-oaylleeaght	Categoria:Entomologia
Ronney:Arthropoda	Categoria:Artrópodes
Ronney:Shirveishee reiltys	Categoria:Ministros
Ronney:Çhynskyl	Categoria:Indústria
Ronney:37	Categoria:37
Ronney:Yn Phobblaght Ghominicagh	Categoria:República Dominicana
Ronney:Foillycanyn	Categoria:Borboletas
Ronney:Scannaneyn paitçhyn	Categoria:Filmes infantis
Ronney:Ushtey-oaylleeaght	Categoria:Hidrologia
Ronney:Ushtey	Categoria:Água
Ronney:Stroin	Categoria:Nariz
Ronney:65	Categoria:65
Ronney:Organeyn keeallagh	Categoria:Órgãos sensoriais
Ronney:Yn kione as y mwannal	Categoria:Cabeça e pescoço
Ronney:Sapindales	Categoria:Sapindales
Ronney:Pian	Categoria:Dor
Ronney:Ardjyn ny Slovack	Categoria:Regiões da Eslováquia
Ronney:1000	Categoria:1000
Clowan:Cooid ennym	Predefinição:Intitle
Ronney:Carnivora	Categoria:Carnívoros
Ronney:100	Categoria:100
Ronney:Corp yn dooinney	Categoria:Corpo humano
Ronney:1005	Categoria:1005
Ronney:Aghteyryn Yernagh Hwoaie	Categoria:Atores da Irlanda do Norte
Ronney:Preeu-valjyn aarheynnyn çheerey	Categoria:Capitais de subdivisões de países
Ronney:Kialteenyn	Categoria:Igrejas
Ronney:Queiggaghyn ny Shillee	Categoria:Províncias do Chile
Ronney:Politickaght ny Panamaa	Categoria:Política do Panamá
Ronney:Joughinyn	Categoria:Bebidas
Ronney:Oltyn kirpey	Categoria:Articulações
Ronney:Baaseyn 'sy vlein 1321	Categoria:Mortos em 1321
Ronney:Bree aa-noaghey	Categoria:Energias renováveis
Ronney:Baagh-oaylleeaght	Categoria:Zoologia
Ronney:Obbraghyn rere ashoonaght	Categoria:Obras por país
Ronney:Baaseyn 'sy 11d eash	Categoria:Mortos no século XI
Ronney:Baaseyn 'sy vlein 1652	Categoria:Mortos em 1652
Ronney:Baaseyn 'sy vlein 2005	Categoria:Mortos em 2005
Ronney:Ruggyryn 'sy vlein 1983	Categoria:Nascidos em 1983
Ronney:Cantoonyn ny h-Elveeish	Categoria:Cantões da Suíça
Ronney:Smooinaghtyn	Categoria:Cognição
Ronney:Baaseyn 'sy vlein 1992	Categoria:Mortos em 1992
Ronney:Ruggyryn 'sy vlein 1992	Categoria:Nascidos em 1992
Ronney:600	Categoria:600
Ronney:Ruggyryn 'sy vlein 1970	Categoria:Nascidos em 1970
Ronney:Baaseyn 'sy vlein 1980	Categoria:Mortos em 1980
Ronney:Baaseyn 'sy vlein 2008	Categoria:Mortos em 2008
Ronney:Baaseyn 'sy vlein 1986	Categoria:Mortos em 1986
Ronney:Baaseyn 'sy vlein 1966	Categoria:Mortos em 1966
Ronney:Ruggyryn 'sy vlein 1984	Categoria:Nascidos em 1984
Ronney:Ruggyryn 'sy vlein 1990	Categoria:Nascidos em 1990
Ronney:Baaseyn 'sy vlein 1949	Categoria:Mortos em 1949
Ronney:Ruggyryn 'sy vlein 1974	Categoria:Nascidos em 1974
Ronney:Baaseyn 'sy vlein 2007	Categoria:Mortos em 2007
Ronney:Ruggyryn 'sy vlein 1965	Categoria:Nascidos em 1965
Ronney:Ruggyryn 'sy vlein 1940	Categoria:Nascidos em 1940
Ronney:Ruggyryn 'sy vlein 1898	Categoria:Nascidos em 1898
Ronney:Ruggyryn 'sy vlein 1863	Categoria:Nascidos em 1863
Ronney:Spoyrt rere çheer	Categoria:Desporto por país
Ronney:1845	Categoria:1845
Ronney:Ruggyryn 'sy vlein 1899	Categoria:Nascidos em 1899
Ronney:Oklahoma	Categoria:Oklahoma
Ronney:Ruggyryn 'sy vlein 1915	Categoria:Nascidos em 1915
Ronney:Ruggyryn 'sy vlein 1929	Categoria:Nascidos em 1929
Ronney:Kiangley kemmigagh	Categoria:Ligações químicas
Ronney:Yn Abcaaish	Categoria:Abecásia
Clowan:Sl jalloo	Predefinição:((sl))
Ronney:Orchidoideae	Categoria:Orchidoideae
Ronney:Rheynnyn	Categoria:Departamentos
Ronney:Asphodelaceae	Categoria:Asphodelaceae
Ronney:Orchidaceae	Categoria:Orchidaceae
Ronney:Asteraceae	Categoria:Asteraceae
Ronney:Anacardiaceae	Categoria:Anacardiaceae
Ronney:Asparagales	Categoria:Asparagales
Ronney:Ard-vinishteryn	Categoria:Primeiros-ministros
Ronney:Queiggaghyn ny Bulgeyr	Categoria:Províncias da Bulgária
Ronney:Lauraceae	Categoria:Lauraceae
Ronney:Salix	Categoria:Salgueiros
Ronney:Eaghtyraneyn rere çheer	Categoria:Presidentes por país
Ronney:Salicaceae	Categoria:Salicaceae
Ronney:Ruggyryn 'sy vlein 1954	Categoria:Nascidos em 1954
Ronney:Ronnaghyn rere traa	Categoria:Categorias por tempo
Ronney:Banglaneyn çheer-oaylleeaght	Categoria:Ramos da geografia
Ronney:Çhengaghyn rere çheer	Categoria:Línguas dos países
Ronney:Çhengaghyn ny Polynn	Categoria:Línguas da Polônia
Ronney:Cultoor ny Polynn	Categoria:Cultura da Polónia
Ronney:Scannaneyn veih'n vlein 1955	Categoria:Filmes de 1955
Ronney:Oaylleeaght sheshoil	Categoria:Ciências sociais
Ronney:Yn Velaroosh	Categoria:Bielorrússia
Ronney:Alberta	Categoria:Alberta
Ronney:Yn Cholombey Ghoaldagh	Categoria:Colúmbia Britânica
Ronney:Ontario	Categoria:Ontário
Ronney:Nalbin Noa	Categoria:Nova Escócia
Ronney:New Brunswick	Categoria:Nova Brunswick
Ronney:Yukon	Categoria:Yukon
Ronney:Ellan y Phrinse Edard	Categoria:Ilha do Príncipe Eduardo
Ronney:Manitoba	Categoria:Manitoba
Ronney:Aarheynnyn ny Canadey	Categoria:Subdivisões do Canadá
Ronney:Massachusetts	Categoria:Massachusetts
Ronney:Ruggyryn 'sy vlein 1960	Categoria:Nascidos em 1960
Ronney:961	Categoria:961
Ronney:Ruggyryn 'sy vlein 961	Categoria:Nascidos em 961
Ronney:Ruggyryn 'sy vlein 1022	Categoria:Nascidos em 1022
Ronney:1031	Categoria:1031
Ronney:Ronnaghyn rere çhengey	Categoria:Categorias por idioma
Ronney:Coondaeghyn ayns Pobblaght Nerin	Categoria:Condados da República da Irlanda
Ronney:Çhengaghyn ny Danvarg	Categoria:Línguas da Dinamarca
Ronney:Çhengaghyn ny h-Estaan	Categoria:Línguas da Estônia
Ronney:Çhengaghyn ny Germaan	Categoria:Línguas da Alemanha
Ronney:Çhengaghyn ny h-Austeyr	Categoria:Línguas da Áustria
Ronney:Ynsagh 'sy Ghermaan	Categoria:Educação na Alemanha
Ronney:1079	Categoria:1079
Ronney:1093	Categoria:1093
Ronney:1095	Categoria:1095
Ronney:1100	Categoria:1100
Ronney:Graihderyn barbaght	Categoria:Extremófilos
Ronney:Çhengaghyn ny h-Aishey	Categoria:Línguas da Ásia
Ronney:Çhengaghyn ny Belaroosh	Categoria:Línguas da Bielorrússia
Ronney:Ardjyn	Categoria:Regiões
Ronney:Thalloo yn Eeast as Labrador	Categoria:Terra Nova e Labrador
Ronney:Çheeraghyn ny h-Affrick	Categoria:Países de África
Ronney:Baaseyn 'sy vlein 1998	Categoria:Mortos em 1998
Clowan:Jerrey Geuree	Predefinição:Calendário de janeiro
Ronney:Ynsagh rere çheer	Categoria:Educação por país
Ronney:Sleih rere traa	Categoria:Pessoas por época
Ronney:Buill chummaltagh ayns Steat São Paulo	Categoria:Municípios de São Paulo
Ronney:1186	Categoria:1186
Ronney:Baaseyn 'sy vlein 1186	Categoria:Mortos em 1186
Ronney:1200	Categoria:1200
Clowan:Queiggaghyn as thallooyn ny Canadey	Predefinição:Províncias e territórios do Canadá
Ronney:Ruggyryn 'sy vlein 1951	Categoria:Nascidos em 1951
Ronney:Cummaghyn thallooin	Categoria:Acidentes geográficos
Ronney:Scannaneyn veih'n vlein 1941	Categoria:Filmes de 1941
Clowan:Formley feeacklagh	Predefinição:Fórmuladentária
Ronney:Baaseyn 'sy vlein 1257	Categoria:Mortos em 1257
Ronney:Baaseyn 'sy vlein 1881	Categoria:Mortos em 1881
Ronney:Baaseyn 'sy vlein 1882	Categoria:Mortos em 1882
Ronney:1265	Categoria:1265
Ronney:Ruggyryn 'sy vlein 1265	Categoria:Nascidos em 1265
Ronney:1266	Categoria:1266
Ronney:Çheer-oaylleeaght ny Cashteel as León	Categoria:Geografia de Castela e Leão
Ronney:1940yn	Categoria:Década de 1940
Ronney:1900yn	Categoria:Década de 1900
Ronney:1910yn	Categoria:Década de 1910
Ronney:1301	Categoria:1301
Ronney:1920yn	Categoria:Década de 1920
Ronney:1930yn	Categoria:Década de 1930
Ronney:1950yn	Categoria:Década de 1950
Ronney:1960yn	Categoria:Década de 1960
Ronney:1303	Categoria:1303
Ronney:1980yn	Categoria:Década de 1980
Ronney:1990yn	Categoria:Década de 1990
Ronney:1305	Categoria:1305
Ronney:2000yn	Categoria:Década de 2000
Ronney:2010yn	Categoria:Década de 2010
Ronney:1306	Categoria:1306
Ronney:1307	Categoria:1307
Ronney:1308	Categoria:1308
Ronney:1309	Categoria:1309
Ronney:1311	Categoria:1311
Ronney:1313	Categoria:1313
Ronney:1314	Categoria:1314
Ronney:1366	Categoria:1366
Ronney:Meainyn ceaghlid	Categoria:Metais de transição
Clowan:Ymmydeyr ko-1	Predefinição:User ko-1
Clowan:Ymmydeyr cs	Predefinição:User cs
Ronney:1528	Categoria:1528
Clowan:Ymmydeyr ru-2	Predefinição:User ru-2
Clowan:Ymmydeyr es-3	Predefinição:User es-3
Ronney:Mart (planaid)	Categoria:Marte
Clowan:Ymmydeyr ja-3	Predefinição:User ja-3
Ronney:Mooir-chaslyssaght	Categoria:Hidrografia
Ronney:1504	Categoria:1504
Ronney:Ruggyryn 'sy vlein 1451	Categoria:Nascidos em 1451
Ronney:1471	Categoria:1471
Ronney:Ruggyryn 'sy vlein 1471	Categoria:Nascidos em 1471
Ronney:1473	Categoria:1473
Ronney:1475	Categoria:1475
Ronney:Ruggyryn 'sy vlein 1475	Categoria:Nascidos em 1475
Ronney:Aghteyryn Yernagh	Categoria:Atores da Irlanda
Ronney:Ymmydeyr pt-N	Categoria:Usuário pt
Ronney:1490	Categoria:1490
Ronney:1491	Categoria:1491
Ronney:Ymmydeyr ru	Categoria:Usuários ru
Ronney:Ymmydeyr ru-2	Categoria:Usuário ru-2
Ronney:Ymmydeyr ru-3	Categoria:Usuário ru-3
Ronney:Ymmydeyr ru-4	Categoria:Usuário ru-4
Ronney:Baaseyn 'sy vlein 1504	Categoria:Mortos em 1504
Ronney:Nordland	Categoria:Nordland
Ronney:Ymmydeyr sk-1	Categoria:Usuário sk-1
Ronney:Ymmydeyr sq	Categoria:User sq
Ronney:Ruggyryn 'sy vlein 1533	Categoria:Nascidos em 1533
Ronney:Ymmydeyr sr	Categoria:Usuários sr
Ronney:Ymmydeyr sr-1	Categoria:Usuário sr-1
Ronney:1538	Categoria:1538
Ronney:Ymmydeyr sv-1	Categoria:Usuário sv-1
Ronney:Ymmydeyr sv-3	Categoria:Usuário sv-3
Ronney:Ymmydeyr sv-N	Categoria:Usuário sv
Ronney:1557	Categoria:1557
Ronney:Baaseyn 'sy vlein 1557	Categoria:Mortos em 1557
Ronney:1593	Categoria:1593
Ronney:1600	Categoria:1600
Ronney:1603	Categoria:1603
Ronney:Baaseyn 'sy vlein 1603	Categoria:Mortos em 1603
Ronney:1608	Categoria:1608
Ronney:1621	Categoria:1621
Ronney:1632	Categoria:1632
Ronney:Ymmydeyr uk-2	Categoria:Usuário uk-2
Ronney:Ymmydeyr uk-4	Categoria:Usuário uk-4
Ronney:1639	Categoria:1639
Ronney:Baaseyn 'sy vlein 1639	Categoria:Mortos em 1639
Ronney:1675	Categoria:1675
Ronney:Baaseyn 'sy vlein 1675	Categoria:Mortos em 1675
Ronney:Ruggyryn 'sy vlein 1678	Categoria:Nascidos em 1678
Ronney:1685	Categoria:1685
Clowan:En jalloo	Predefinição:((en))
Ronney:1695	Categoria:1695
Ronney:Baaseyn 'sy vlein 1695	Categoria:Mortos em 1695
Ronney:1697	Categoria:1697
Ronney:Ruggyryn 'sy vlein 1701	Categoria:Nascidos em 1701
Ronney:Mannin	Categoria:Ilha de Man
Ronney:1723	Categoria:1723
Ronney:Shandong	Categoria:Shandong
Ronney:Yunnan	Categoria:Yunnan
Ronney:Zhejiang	Categoria:Zhejiang
Ronney:Qinghai	Categoria:Qinghai
Ronney:Henan	Categoria:Henan
Ronney:Hunan	Categoria:Hunan
Clowan:Barnaghyn	Predefinição:Espaços
Ronney:68	Categoria:68
Ronney:Scannaneyn veih'n vlein 1981	Categoria:Filmes de 1981
Clowan:Lang	Predefinição:Lang
Ronney:Baaseyn 'sy vlein 1969	Categoria:Mortos em 1969
Ronney:Ellyneyryn rere ashoonaght	Categoria:Artistas por país
Ronney:Ruggyryn 'sy vlein 1881	Categoria:Nascidos em 1881
Ronney:Ellynyn rere çheer	Categoria:Artes por país
Ronney:Madrid	Categoria:Madrid
Ronney:Çhymmyltaght rere çheer	Categoria:Meio ambiente por país
Ronney:Keyllyssyn ny h-Oarpey	Categoria:Estreitos da Europa
Ronney:Screeudeyryn Sheenagh	Categoria:Escritores da China
Clowan:Da jalloo	Predefinição:((da))
Ronney:München	Categoria:Munique
Clowan:Nah eash	Predefinição:Próximo período
Ronney:Arraneyderyn Yernagh	Categoria:Cantores da Irlanda
Ronney:Prunus	Categoria:Prunus
Ronney:Çhengaghyn ny Belg	Categoria:Línguas da Bélgica
Ronney:Baljaghtyn 'sy Ghermaan	Categoria:Municípios da Alemanha
Ronney:Ruggyryn 'sy vlein 1944	Categoria:Nascidos em 1944
Clowan:Ymmydeyr ro-1	Predefinição:User ro-1
Ronney:Ruggyryn 'sy vlein 1932	Categoria:Nascidos em 1932
Ronney:Ruggyryn 'sy vlein 1934	Categoria:Nascidos em 1934
Ronney:Ruggyryn 'sy vlein 1935	Categoria:Nascidos em 1935
Ronney:Biljyn	Categoria:Árvores
Ronney:Sleih rere keird as ashoonaght	Categoria:Pessoas por ocupação e nacionalidade
Ronney:Ruggyryn 'sy 10oo eash	Categoria:Nascidos no século X
Ronney:Ruggyryn 'sy 11d eash	Categoria:Nascidos no século XI
Ronney:Ruggyryn 'sy vlein 1031	Categoria:Nascidos em 1031
Ronney:Sheshoaylleeaght	Categoria:Sociologia
Ronney:Magheryn oaylleeagh	Categoria:Ciências
Ronney:Keirdyn scoillaragh	Categoria:Disciplinas acadêmicas
Ronney:Coryssyn sheshoil	Categoria:Sistemas sociais
Ronney:Ruggyryn 'sy 13oo eash	Categoria:Nascidos no século XIII
Ronney:Coryssyn	Categoria:Sistemas
Ronney:Strughtoor	Categoria:Estrutura
Ronney:Ruggyryn 'sy vlein 1491	Categoria:Nascidos em 1491
Ronney:Ruggyryn 'sy vlein 1593	Categoria:Nascidos em 1593
Ronney:Ruggyryn 'sy vlein 1600	Categoria:Nascidos em 1600
Ronney:Ruggyryn 'sy vlein 1621	Categoria:Nascidos em 1621
Ronney:Ruggyryn 'sy vlein 1632	Categoria:Nascidos em 1632
Ronney:Ruggyryn 'sy vlein 1685	Categoria:Nascidos em 1685
Ronney:Ruggyryn 'sy vlein 1723	Categoria:Nascidos em 1723
Ronney:Ruggyryn 'sy vlein 1732	Categoria:Nascidos em 1732
Ronney:Ruggyryn 'sy vlein 1735	Categoria:Nascidos em 1735
Ronney:Ruggyryn 'sy vlein 1743	Categoria:Nascidos em 1743
Ronney:Ruggyryn 'sy vlein 1750	Categoria:Nascidos em 1750
Ronney:Ruggyryn 'sy vlein 1751	Categoria:Nascidos em 1751
Ronney:Ruggyryn 'sy vlein 1756	Categoria:Nascidos em 1756
Ronney:Ruggyryn 'sy vlein 1757	Categoria:Nascidos em 1757
Ronney:Ruggyryn 'sy vlein 1758	Categoria:Nascidos em 1758
Ronney:Ruggyryn 'sy vlein 1767	Categoria:Nascidos em 1767
Ronney:Ruggyryn 'sy vlein 1770	Categoria:Nascidos em 1770
Ronney:Ruggyryn 'sy vlein 1773	Categoria:Nascidos em 1773
Ronney:Ruggyryn 'sy vlein 1775	Categoria:Nascidos em 1775
Ronney:Ruggyryn 'sy vlein 1782	Categoria:Nascidos em 1782
Ronney:Ruggyryn 'sy vlein 1784	Categoria:Nascidos em 1784
Ronney:Ruggyryn 'sy vlein 1790	Categoria:Nascidos em 1790
