Āfrika	África
Francijas basketbola izlase	Seleção Francesa de Basquetebol
Argentīnas basketbola izlase	Seleção Argentina de Basquetebol Masculino
Slēptkakla bruņurupuči	Cryptodira
Svešinieki vilcienā	Strangers on a Train
Riteņbraukšana Olimpiskajās spēlēs	Ciclismo nos Jogos Olímpicos
Brazīlijas pilsētu uzskaitījums	Lista de municípios do Brasil acima de cem mil habitantes
NPOESS	NPOESS
Exploration Flight Test 1	EFT-1
Vodzislava Slonska	Wodzisław Śląski
Apaļmutnieki	Cyclostomata
2003. gada FIFA Pasaules kauss sievietēm	Copa do Mundo de Futebol Feminino de 2003
Nanna	Nana (mitologia)
BarCamp	BarCamp
Uņejova	Uniejów
Volkswagen Eos	Volkswagen Eos
Freaks and Geeks	Freaks and Geeks
Tiksi	Tiksi
Turcijas bruņotie spēki	Forças Armadas da Turquia
Endrū Flečers	Andrew Fletcher
Rūzvelta sala	Ilha Roosevelt
Sibīrijas stirna	Capreolus pygargus
Vācijas ķeizars	Lista de monarcas do Império Alemão
Zibens zaglis	The Lightning Thief
Latviešu gambīts	Gambito letão
Džons Laundžs	John Lounge
Ostins Pauerss: Slepenais starptautiskais aģents	Austin Powers: International Man of Mystery
Pilā kāpa	Duna de Pyla
Galata	Gálata
Dānijas Futbola asociācija	Associação Dinamarquesa de Futebol
Andrejs Borisenko	Andrei Borisenko
Ziemeļu reģions	Região Norte (Camarões)
Skrimslis	Tecido cartilaginoso
Starpskriemeļu diski	Disco intervertebral
Uherske Hradište	Uherské Hradiště
Natura 2000	Rede Natura 2000
Pirms mūsdienām	Antes do Presente
Aleksanders Stubs	Alexander Stubb
Starogarda Gdaņska	Starogard Gdański
Ališers Usmanovs	Alisher Usmanov
Andrejs Piedels	Andrejs Piedels
Andrejs Rubins	Andrejs Rubins
Starptautiskā Futbola asociācijas valde	International Football Association Board
ASV Slepenais dienests	United States Secret Service
Smailā kailgalve	Psilocybe semilanceata
Deitrons	Deuterão
Tetragonālā singonija	Sistema cristalino tetragonal
Kriss Prats	Chris Pratt
Nabisti	Les Nabis
Antipodu salas	Ilhas Antípodas
Zilspārnu žagata	Pega-azul
Buenosairesas ezers	Lago Buenos Aires/General Carrera
Krāšņvaboļu dzimta	Buprestidae
Birmieši	Birmanes
Lielais meža raibenis	Argynnis paphia
Bills Bredlijs	Bill Bradley
Trafarets	Estêncil
Grieķijas militārā hunta	Ditadura dos coronéis
Pulksteņa rādītāja kustības virziens	Sentido dos ponteiros do relógio
Parastā krustaine	Senecio vulgaris
Labākais literatūras oriģinālavots (Amerikas Kinoakadēmijas balva)	Oscar de Melhor História Original
Sentluisas @@@u0026Cardinals"	St. Louis Cardinals
Oklendas @@@u0026Athletics"	Oakland Athletics
Mveru	Lago Mweru
Čiloje	Ilha Grande de Chiloé
Mozambikas Atbrīvošanas fronte	Frente de Libertação de Moçambique
Citroën Xsara	Citroën Xsara
Ford Escort	Ford Escort (Europa)
Sareptas sinepe	Mostarda-castanha
Vladimirs Krutovs	Vladimir Krutov
77. Kinoakadēmijas balva	Oscar 2005
Lielais Munameģis	Suur Munamägi
Varzāzāta	Ouarzazate
Barrett M82	Barrett M82
Aleksandrs Gomeļskis	Alexander Gomelsky
Starptautiskā lidosta @@@u0026Rīga"	Aeroporto Internacional de Riga
Džerijs Raiss	Jerry Rice
Maikls Viks	Michael Vick
Pīrss Sellerss	Piers Sellers
Džovanoti	Jovanotti
Idriss Šahs	Idries Shah
Avicii	Avicii
Žans Belivo	Jean Beliveau
Empu Vuorinens	Erno Vuorinen
Marko Hietala	Marco Hietala
Eds Makolijs	Ed Macauley
Aleksandrs Mogiļnijs	Alexander Mogilny
Mati Jervinens	Matti Järvinen
Džordijs Vaits	Jeordie White
Kenets Boldings	Kenneth Boulding
Peters Bondra	Peter Bondra
Harolds Inniss	Harold Innis
Endrū Feistels	Andrew Feustel
Somatiskā nervu sistēma	Sistema nervoso somático
Kamilo Toress Restrepo	Camilo Torres
Jak-42	Yakovlev Yak-42
Turstons Mūrs	Thurston Moore
Neiespējamā misija 2	Missão Impossível II
Habituss	Hábito cristalino
Electrolux	Electrolux
Gofa sala	Ilha de Gonçalo Álvares
Stambulas Slēgtais tirgus	Grande Bazar
Gana zizlis	Báculo
SQL injekcija	Injeção de SQL
1924. gada Vasaras Olimpisko spēļu medaļu tabula	Quadro de medalhas dos Jogos Olímpicos de Verão de 1924
1968. gada Vasaras Olimpisko spēļu medaļu tabula	Quadro de medalhas dos Jogos Olímpicos de Verão de 1968
Ķīnas—PSRS ideoloģiskās nesaskaņas	Ruptura sino-soviética
1952. gada Vasaras Olimpisko spēļu medaļu tabula	Quadro de medalhas dos Jogos Olímpicos de Verão de 1952
Tu-104	Tupolev Tu-104
Florians Cenova	Florian Ceynowa
Rimberts	Rimberto de Hamburgo
Flotiles admirālis	Comodoro (patente)
Ķēžu komutācija	Comutação de circuitos
Pirts ordenis	Ordem do Banho
Kibo (SKS)	Módulo de Experiências Japonês
Futbola noteikumi	Regras do futebol
Vitenburga	Wittenburg
Gādebuša	Gadebusch
KIKU-7	Kiku-7
Ikerminde	Ueckermünde
Pīrss Bols	Piers Bohl
Formula 3	Fórmula 3
Hārlemas @@@u0026Globetrotters"	Harlem Globetrotters
Big Mac	Big Mac
Kuritibas @@@u0026Atletico Paranaense"	Clube Atlético Paranaense
1903. gada Tour de France	Tour de France 1903
1980. gada Vasaras Olimpisko spēļu medaļu tabula	Quadro de medalhas dos Jogos Olímpicos de Verão de 1980
Priekšējās smadzenes	Prosencéfalo
Ooģenēze	Ovulogênese
Juno balva	Juno (prêmio)
Klica	Klütz
Franz Ferdinand	Franz Ferdinand
Latvija Eirovīzijas dziesmu konkursā	Letónia no Festival Eurovisão da Canção
Seriālā mūzika	Serialismo
Sojuz TMA-10	Soyuz TMA-10
Libērijas prezidenti	Lista de presidentes da Libéria
Apache Tomcat	Apache Tomcat
Iekšējās atdeves koeficients	Taxa interna de retorno
Bādzilce	Bad Sülze
Gibraltāra Futbola Asociācija	Gibraltar Football Association
Timbaland Presents Shock Value II	Shock Value II
Resifi @@@u0026Santa Cruz"	Santa Cruz Futebol Clube
Didjē Dešāns	Didier Deschamps
Nikolajs Valujevs	Nikolay Valuev
OpenVPN	OpenVPN
Deivisa jūra	Mar de Davis
Alcatel-Lucent	Alcatel-Lucent
Butare	Butare
Rietumu pelēkais ķengurs	Macropus fuliginosus
Mandani	Mandan
Mjanmas pilsētu uzskaitījums	Lista de cidades em Mianmar
Stšelce Opolske	Strzelce Opolskie
Bištineka	Bisztynek
Saule (mitoloģija)	Deidade solar
Veseksu dinastija	Casa de Wessex
Jakobs fon Ikskils	Jakob von Uexküll
Nairo Kintana	Nairo Quintana
Australopiteku virsģints	Australopitecíneo
Bobolice	Bobolice
OpenOffice.org	OpenOffice.org
Lolita Ritmane	Lolita Ritmanis
GJ 1214 b	GJ 1214 b
Century Child	Century Child
Žižkovas @@@u0026Viktoria"	Viktoria Žižkov
Save You	Save You
Lietuvas Futbola federācija	Federação Lituana de Futebol
Datņu serveris	Servidor de arquivos
Indianapolisas @@@u0026Olympians"	Indianapolis Olympians
Mazā Lietuva	Lituânia Menor
Gvano salu akts	Guano Islands Act
Pony Canyon	Pony Canyon
Upurēšanas svētki	Festa do Sacrifício
Jordanova	Jordanów
The Sessions	The Sessions
Udoniss Haslems	Udonis Haslem
Feminnem	Feminnem
Zaļspārnīši	Agapornis
FIFO	FIFO
Augšdelma un galvas stumbrs	Tronco braquiocefálico
Normandiešu dinastija	Dinastia normanda
Lēdijas Bingas balva	Troféu Memorial Lady Byng
Suisei	Suisei
2011. gada Singapūras Grand Prix	Grande Prêmio de Singapura de 2011 (Fórmula 1)
Polockas vēsture	Principado de Polotsk
Grēvesmīlene	Grevesmühlen
Kutno apriņķis	Condado de Kutno
Prettanku ezis	Ouriço checo
Apvienotā komanda	Equipa Unificada nos Jogos Olímpicos
1981. gada Pasaules čempionāts hokejā	Campeonato Mundial de Hóquei no Gelo de 1981
1991.—1992. gada NBA sezona	Temporada da NBA de 1991–92
Lenčicas apriņķis	Condado de Łęczyca
Interleikīns 3	Interleucina 3
Francijas regbija izlase	Seleção Francesa de Rugby Union
Ričijs Ports	Richie Porte
Sojuz TMA-01M	Soyuz TMA-01M
X.Org	X.Org
Lapblusiņu virsdzimta	Psylloidea
Čārlzs Gordons Fulertons	Gordon Fullerton
Orfisms (māksla)	Orfismo (movimento artístico)
Šķirošanas stacija	Estação de triagem
Periodontīts	Periodontite
Gregorijs Herolds Džonsons	Gregory Johnson
Roberts Kimbro	Robert Kimbrough
Moriss Halle	Morris Halle
Juris Laizāns	Juris Laizāns
Čenings Frajs	Channing Frye
Martins Dukurs	Martins Dukurs
Luka Filipi	Luca Filippi
Džordžs Romnijs	George W. Romney
Mihails Korņijenko	Mikhail Kornienko
Atikuss Ross	Atticus Ross
Tajs Lausons	Ty Lawson
Tomass Maršbērns	Thomas Marshburn
Talsi	Talsi
Niks Kolisons	Nick Collison
Ģeologs	Geólogo
Ričards Linehens	Richard Linnehan
Mora (valodniecība)	Mora (linguística)
Tibetas vēsture	História do Tibete
In the Wake of Poseidon	In the Wake of Poseidon
Granada (nozīmju atdalīšana)	Grenada
Els Horfords	Al Horford
Džoels Entonijs	Joel Anthony
Edgars Raits	Edgar Wright
Dharma Initiative	Dharma Initiative
Svarcelšana 2008. gada Vasaras Olimpiskajās spēlēs — Vīrieši, līdz 62 kg	Halterofilismo nos Jogos Olímpicos de Verão de 2008 - Até 62 kg masculino
56 (skaitlis)	Cinquenta e seis
Kaukāza operācija	Campanha do Cáucaso
Vaļu dziesma	Canto das baleias
Tšcela	Trzciel
White Light/White Heat	White Light/White Heat
Denjels Mārtins	Daniel Martin (ciclista)
Roberts Bēnkens	Robert Behnken
Persija	Pérsia (desambiguação)
Jalmars Rīsers-Larsens	Hjalmar Riiser-Larsen
Mācītājs Lavdžojs	Reverendo Lovejoy
Šeins Batjē	Shane Battier
Ford Fusion	Ford Fusion
Kermoda lācis	Urso de Kermode
Endijs Makijs	Andy McKee
Mušu dzimta	Muscidae
MIPS arhitektūra	Arquitetura MIPS
Hologrāfija	Holografia
Ņidzica	Nidzica
Ulysses	Ulysses
Dalmācija	Dalmácia
Love Is War	Love Is War
Supermens 3	Superman III
Bamenda	Bamenda
Andelska Hora	Andělská Hora (Morávia-Silésia)
Kazahstānas Futbola savienība	Federação de Futebol do Cazaquistão
Grumman X-29	Grumman X-29
Eduards Eihvalds	Karl Eduard von Eichwald
Ronaldu	Ronaldo Luís Nazário de Lima
Dūkurpīle	Pato-de-dorso-branco
Abjada rags	Cabo Branco (Tunísia)
Control	Control (álbum de Janet Jackson)
Rietumantarktīda	Antártida Ocidental
Dudince	Dudince
Intelsat 23	Intelsat 23
Bedwetters	Bedwetters
Kaka (futbolists)	Kaká
Rožsārtā bērzlape	Russula rosea
Detvas apriņķis	Detva (distrito)
Colin McRae: DiRT	Colin McRae: Dirt
Dzeloņcūkveidīgo apakškārta	Hystricomorpha
I Am Alive	I Am Alive
Unity (SKS)	Unity Node
S.H.E	S.H.E
Hēlijs-3	Hélio-3
Ludvigs Gumplovičs	Ludwig Gumplowicz
Nacionālsociālistiskais melnais metāls	Black metal nacional socialista
Footwork Arrows	Footwork Arrows
Sojuz TMA-15	Soyuz TMA-15
Stambulas ils	Istambul (província)
STS-123	STS-123
Hemiluminiscence	Quimioluminescência
Pandas	Ailuropoda
Saipla krasts	Costa Siple
The Unforgettable Fire	The Unforgettable Fire
Žaks Binē	Jacques Philippe Marie Binet
Dasova	Dassow
Vārīne	Warin
70. Kinoakadēmijas balva	Oscar 1998
Marlova	Marlow (Mecklemburgo-Pomerânia Ocidental)
Ričards Mastrakjo	Richard Mastracchio
Victoria	Victoria
Stīvens Svonsons	Steven Swanson
Bārnijs Frenks	Barney Frank
Aleksandrs Samoilovs	Aleksandrs Samoilovs
Zabriskie Point	Zabriskie Point (desambiguação)
The Best of Both Worlds	The Best of Both Worlds
Raivis Belohvoščiks	Raivis Belohvoščiks
Aleksandrs Koļinko	Aleksandrs Koļinko
Ladainians Tomlinsons	LaDainian Tomlinson
Mišela Jenneke	Michelle Jenneke
Vilanova de Foškoa	Vila Nova de Foz Coa
Hākons Sarkanais	Haakon, o Vermelho
Siltā fronte	Frente quente
Sigurds	Siegfried
Jaunzēlandes paceplīšu dzimta	Acanthisittidae
Kriss Vrenna	Chris Vrenna
Drošības aģenti V.A.I.R.O.G.S	Agents of S.H.I.E.L.D.
ET	ET (desambiguação)
Edijs Hauss	Eddie House
Datubāzes dzinējs	Mecanismo de armazenamento
Hidra	Hidra
Sinovīts	Sinovite
Valentīns Bondarenko	Valentin Bondarenko
Žaks Plante	Jacques Plante
Hovijs Morencs	Howie Morenz
Grieķi	Gregos
Jurijs Lončakovs	Yuri Lonchakov
SCORE (pavadonis)	SCORE
TWiiNS	TWiiNS
Banska Bistricas apriņķis	Banská Bystrica (distrito)
Urban Symphony	Urban Symphony
Košices apkārtnes apriņķis	Košice–okolie (distrito)
Neiklostere	Neukloster
2012. gada Vasaras Olimpisko spēļu rīkotājpilsētas izvēle	Eleição da cidade-sede dos Jogos Olímpicos de Verão de 2012
Kamotu jūra	Mar de Camotes
Vācijas basketbola Bundeslīga	Liga Alemã de Basquetebol
Antilopvāveres	Ammospermophilus
Hulīna	Hulín
Širases krasts	Costa Shirase
Salomeja Zaksaite	Salomėja Zaksaitė
Livorno (nozīmju atdalīšana)	Livorno (desambiguação)
Antīkā literatūra	Literatura classicista
Angolas basketbola izlase	Selecção Angolana de Basquetebol Masculino
Sausā adata	Ponta-seca
Tinējsmecernieku dzimta	Attelabidae
Rongelapa	Atol Rongelap
Melodiskais hārdkors	Hardcore melódico
Moldovas administratīvais iedalījums	Divisões administrativas da Moldávia
Latvijas brīvības cīņas	Guerra de Independência da Letônia
S tipa asteroīds	Asteroide tipo S
Null	Null (programação)
Portimauna	Portimão
No Pads, No Helmets...Just Balls	No Pads, No Helmets... Just Balls
Dienvidkorejas futbola izlase	Seleção Sul-Coreana de Futebol
29 (skaitlis)	Vinte e nove
Kikbokseris (filma)	Kickboxer
Nice Guys Finish Last	Nice Guys Finish Last
Rejs Čārlzs	Ray Charles
Softbols 2008. gada Vasaras Olimpiskajās spēlēs	Softbol nos Jogos Olímpicos de Verão de 2008
The Summer Tic EP	The Summer Tic EP
Lakšadvīpu jūra	Mar das Laquedivas
Latvija 1994. gada Ziemas Olimpiskajās spēlēs	Letônia nos Jogos Olímpicos de Inverno de 1994
Koržeņevskas smaile	Pico Korzhenevskoi
Liptovski Mikulāšas apriņķis	Liptovský Mikuláš (distrito)
Greislenda	Graceland
Karš Irākā	Guerra do Iraque
Tips 59	Type 59
Longview	Longview (canção)
Dark Horse	Dark Horse (álbum de Nickelback)
Syncom	Syncom
Ani	Ani
1996. gada Tour de France	Tour de France 1996
Album of the Year	Album of the Year
Verterezers	Wörthersee
Trampa tornis (Čikāga)	Trump International Hotel and Tower (Chicago)
Monreālas @@@u0026Maroons"	Montreal Maroons
Profesionālā šaha asociācija	Professional Chess Association
Kaulu smadzenes	Medula óssea
Termīti	Isoptera
Anikets	Papa Aniceto
Veļki Krtīšas apriņķis	Veľký Krtíš (distrito)
Sarejas universitāte	Universidade de Surrey
Krozjē rags	Cabo Crozier
Suhovola	Suchowola
Party in the U.S.A.	Party in the U.S.A.
Planārs grafs	Grafo planar
Go Chuck Yourself	Go Chuck Yourself
Žerārs Grizē	Gérard Grisey
Kārlis II	Carlos II
Sudānas himna	Nahnu Jund Allah Jund Al-watan
Turčanske Teplices apriņķis	Turčianske Teplice (distrito)
H-2 (nesējraķešu saime)	H-II (foguete)
Belija (sala)	Ilha Belyi
Košice III	Košice III
Jerda	Jörð
1977.—1978. gada NBA sezona	Temporada da NBA de 1977–78
Mastodon	Mastodon
Tempela—Tatla komēta	55P/Tempel–Tuttle
Kalabi—Jau varietāte	Variedade de Calabi-Yau
Nora Džonsa	Norah Jones
Stīvens Holkombs	Steven Holcomb
Vingrošana 2008. gada Vasaras Olimpiskajās spēlēs — Vīrieši, komandu sacensības	Ginástica artística nos Jogos Olímpicos de Verão de 2008 - Equipes masculinas
Pulse	Pulse (álbum de Pink Floyd)
Burial LP	Burial (álbum de Burial)
Gravity Falls	Gravity Falls
Explorer 3	Explorer 3
Jorma Ollila	Jorma Ollila
Borislavs Ivkovs	Borislav Ivkov
Dzežgoņa	Dzierzgoń
Žans Klods Karjērs	Jean-Claude Carrière
Čarna Voda	Czarna Woda
Brodņicas apriņķis	Condado de Brodnica
Burial	Burial (músico)
Valgava	Wallgau
Upsilon Andromedae d	Upsilon Andromedae d
Deguna apakšējā gliemežnīca	Concha nasal inferior
Peltjē efekts	Efeito termoelétrico
SAP (uzņēmums)	SAP AG
DistroWatch	Distrowatch
Explorer 2	Explorer 2
Toms Hikss	Tom Hicks
Ronijs Brūers	Ronnie Brewer
Bobs Makado	Bob McAdoo
Gijs Leflērs	Guy Lafleur
Barts Bermans	Bart Berman
Ralfs Šūmanis	Ralf Schumann
Kriss Prongers	Chris Pronger
Savojas Umberto II	Humberto II de Saboia
Vinss Lombardi	Vince Lombardi
Andrāšs Adorjāns	András Adorján
Kunova	Comuna de Kunów
Baltijas jūras divīzija	Divisão do Mar Báltico
Racibožas apriņķis	Condado de Racibórz
Berijs Vilmors	Barry Wilmore
Terijs Virtss	Terry Virts
Oseka	Osiek
Kuzņa Raciborska	Kuźnia Raciborska
Vozņiki	Woźniki
Pščinas apriņķis	Condado de Pszczyna
Huans Hosē Floress	Juan José Flores
Kozeglovi	Koziegłowy
Glivices apriņķis	Condado de Gliwice
Pilica (pilsēta)	Pilica
Dobra (Lielpolija)	Dobra (Turek)
Bēns Zeitlins	Benh Zeitlin
Denijs Grīns	Danny Green
Aleksandrs Skvorcovs	Alexandr Skvortsov
Bataanas Nāves maršs	Marcha da Morte de Bataan
Pleševa	Pleszew
Pišas apriņķis	Condado de Pisz
Ujsce	Ujście
Pila	Piła
Visoka	Wysoka
Ščitno apriņķis	Condado de Szczytno
Ostrudas apriņķis	Condado de Ostróda
Mendzihoda	Międzychód
Krobja	Krobia
Edgars Snovs	Edgar Snow
Nove Skalmežice	Nowe Skalmierzyce
Skoki	Skoki
Ruslans Mingazovs	Ruslan Mingazov
Panama (province)	Panamá (província)
Arvīds Macijausks	Arvydas Macijauskas
Stīvens Robinsons	Stephen Robinson
Rucjane-Ņida	Ruciane-Nida
Marko Popovičs	Marko Popović
Gravitācijas lauks	Campo gravitacional
Manuels Amadors Gerrero	Manuel Amador Guerrero
Kategorija:Mākslīgais intelekts	Categoria:Inteligência artificial
Pašaizdegšanās temperatūra	Temperatura de autoignição
Mislibožas apriņķis	Condado de Myślibórz
Ščecinekas apriņķis	Condado de Szczecinek
Grifices apriņķis	Condado de Gryfice
Valērijs Ļukins	Valeri Liukin
Dobra (Rietumpomože)	Dobra (Łobez)
Lipjani	Lipiany
Per capita	Per capita
Alekss Rodrigess	Alex Rodriguez
Polices apriņķis	Condado de Police
Tšciņskozdroja	Trzcińsko-Zdrój
Resko	Resko
Zema līmeņa programmēšanas valoda	Linguagem de programação de baixo nível
Krīvica	Crivitz
Parhima	Parchim
SKS 39. ekspedīcija	Expedição 39
Goldberga (Mēklenburga)	Goldberg (Alemanha)
Brīele	Brüel
SKS 40. ekspedīcija	Expedição 40
Libca	Lübz
SKS 41. ekspedīcija	Expedição 41
Šeins Moslijs	Shane Mosley
Beagle 2	Beagle 2
Olesņicas apriņķis	Condado de Oleśnica
Volters Bērlijs Grifins	Walter Burley Griffin
Isuzu Mu Wizard	Isuzu MU Wizard
Džeimss Heriss Simonss	James Harris Simons
Vladimirs Levenšteins	Vladimir Levenshtein
Žoans Fusters	Joan Fuster
Maikls Metjūss	Michael Matthews
Bobijs Raiens	Bobby Ryan
Bro Grīrs	Breaux Greer
Birgers Brūsa	Birger Brosa da Suécia
Maikls Formens	Michael Foreman
Sojuz TMA-11	Soyuz TMA-11
Lidojums	Flight
Person of Interest	Person of Interest
Ran	Ran (filme)
Bahamu premjerministri	Lista de primeiros-ministros das Baamas
I'm Going Slightly Mad	I'm Going Slightly Mad
Rhinoceros 3D	Rhinoceros 3D
Rēna	Rehna
Bros Music	Bros Music
Štrasburga (Ukermarka)	Strasburg (Alemanha)
Labiovelārs berzenis	Aproximante labiovelar
Baltijas Universitāte	Universidade do Báltico
Kumersdorfa	Kummersdorf
Annopole	Annopol
Pļaviņas	Pļaviņas
Ozimeka	Ozimek
Ņūtons (nozīmju atdalīšana)	Newton (desambiguação)
Tallinas Aleksandra Ņevska katedrāle	Catedral de Alexandre Nevsky (Tallinn)
Linspire	Linspire
Vostok-4	Vostok IV
1999. gada FIFA Pasaules kauss sievietēm	Copa do Mundo de Futebol Feminino de 1999
3D modelēšana	Modelagem tridimensional
Lutera roze	Selo de Lutero
Braiens Īno	Brian Eno
Viliči	Huilliches
Madonas rajons	Madona (distrito)
Višogroda	Wyszogród
Serocka	Serock
Nometinājuma josla	Pale - zona de assentamento judeu na Rússia (1791-1917)
Praška	Praszka
Proteīnūrija	Proteinúria
Kauja pie Kalkas upes	Batalha do Rio Kalka
Ķeriet Smārtu! (filma)	Get Smart (filme)
Oberosts	Ober Ost
Rētošana	Escarificação
Rikardu Karvalju	Ricardo Carvalho (futebolista)
Gāziosmanpašā rajons	Gaziosmanpaşa
E-pasta klients	Cliente de e-mail
Rainbow	Rainbow (álbum de Mariah Carey)
Atsvabinātais Džango	Django Unchained
Antarktikas šaurums	Enseada Antártica
Cīņas sports 2008. gada Vasaras Olimpiskajās spēlēs — Vīrieši, grieķu-romiešu cīņa, līdz 66 kg	Lutas nos Jogos Olímpicos de Verão de 2008 - Greco-romana até 66 kg masculino
Dzjalošice	Działoszyce
Dienvidu polārā klijkaija	Moleiro-do-sul
Dioksāns	Dioxano
Sausās ielejas	Vales secos de McMurdo
Baucenes apriņķis	Bautzen (distrito)
Francburga	Franzburg
Ribnica-Damgartene	Ribnitz-Damgarten
Rihtenberga	Richtenberg
Torgelova	Torgelow
Galileo	Galileu (desambiguação)
Grimmene	Grimmen
Putbusa	Putbus
Penkuna	Penkun
2013. gada UEFA Čempionu līgas fināls	Final da Liga dos Campeões da UEFA de 2012–13
Egezīne	Eggesin
Tribzēse	Tribsees
GEOS (16 bitu operētājsistēma)	GEOS (8 bits)
Bruklinas @@@u0026Nets"	Brooklyn Nets
Rassvet (SKS)	Minimódulo de Pesquisa 1
Oomph!	Oomph!
Medves ezers	Lago Miedwie
Sarkanais tirānmušķērājs	Pyrocephalus rubinus
Hojņices apriņķis	Condado de Chojnice
Redīmeids	Ready-made
Swans	Swans
Kelča	Kelč
Badmintons 2008. gada Vasaras Olimpiskajās spēlēs — Sieviešu vienspēles	Badminton nos Jogos Olímpicos de Verão de 2008 - Simples feminino
Mars Climate Orbiter	Mars Climate Orbiter
Bada spēles: Spēle ar uguni	The Hunger Games: Catching Fire
Anti-Flag	Anti-Flag
Dionīsiji	Festas dionisíacas
Antiatlass	Anti-Atlas
Antikrists (filma)	Anticristo (filme)
FIFA valstu kodi	Lista de códigos de país da FIFA
Alan Wake	Alan Wake
Sandhērstas Karaliskā militārā akadēmija	Real Academia Militar de Sandhurst
Kortnija Kardašjana	Kourtney Kardashian
Bāze	Base
Teikuma loceklis	Termos essenciais da oração
Mars Polar Lander	Mars Polar Lander
Monogeneji	Monogenea
Deep Space 2	Deep Space 2
Alvasetes @@@u0026Balompie"	Albacete Balompié
Malasledus	Gelo permanente
Luiss Aragoness	Luis Aragonés
1978. gada Pasaules čempionāts basketbolā	Campeonato Mundial de Basquetebol Masculino de 1978
Hahn	Hahn
Janomamu valodas	Línguas ianomâmis
Žņinas apriņķis	Condado de Żnin
1904. gada Tour de France	Tour de France 1904
Vaitailenda	Ilha Branca (Terra de Enderby)
Albert Einstein ATV	Albert Einstein ATV
Plateresko	Plateresco
Kleščele	Kleszczele
Doktors Astoņkājis	Doutor Octopus
Kontinentālie štati	Estados Unidos Continentais
Brazīlijas sieviešu basketbola izlase	Seleção Brasileira de Basquetebol Feminino
Nokia tune	Nokia tune
Plakangliemeņu dzimta	Tellinidae
Release (Timbaland dziesma)	Release (canção)
Londonas maratons	Maratona de Londres
Factory Records	Factory Records
Standartatmosfēra	International Standard Atmosphere
Gāzu uzbrukums Halabdžai	Massacre de Halabja
Viktors	Victor
Sojuz (kosmosa kuģu sērija)	Soyuz
Hermods	Hermodr
Memoirs of an Imperfect Angel	Memoirs of an Imperfect Angel
Opel Insignia	Opel Insignia
Vingrošana 2008. gada Vasaras Olimpiskajās spēlēs	Ginástica nos Jogos Olímpicos de Verão de 2008
Indekss (datubāze)	Índice (estruturas de dados)
Parastā aktīnija	Actinia equina
Norma	Norma
Reičela Grīna	Rachel Green
Žubītes	Fringilla
Kritušie eņģeļi	Anjo caído
1975. gada Tour de France	Tour de France 1975
Ščirka	Szczyrk
Skubijs Dū 2: Briesmoņi savā vaļā	Scooby-Doo 2: Monstros à Solta
Shenzhou 9	Shenzhou 9
Programmētāju diena	Dia do Programador
Laukakmens	Matacão
Zellis	Companheiro (maçonaria)
Antifosfolipīdu sindroms	Síndrome do anticorpo antifosfolipídeo
Vingrošana 2012. gada Vasaras Olimpiskajās spēlēs	Ginástica nos Jogos Olímpicos de Verão de 2012
Gamma interferons	Interferão-gama
Kamaniņu braukšana 2010. gada Ziemas Olimpiskajās spēlēs — Divnieki	Luge nos Jogos Olímpicos de Inverno de 2010 - Duplas
Maskarēnu žņaudzējčūskas	Bolyeridae
Kuunkuiskaajat	Kuunkuiskaajat
Ancirabe	Antsirabe
Duelis (filma)	Duel
Naklo apriņķis	Condado de Nakło
ATP ranga pirmo numuru saraksts	Lista de tenistas número 1 no ranking da ATP
Zivju dzenīši	Alcedo
Gibraltāra futbola izlase	Seleção Gibraltina de Futebol
Jūras ūdele	Vison-marinho
Garvolina	Garwolin
Sakrālā ģeometrija	Geometria sagrada
Radzjonkova	Radzionków
Adatu printeris	Impressora matricial
Amadeiusa ezers	Lago Amadeus
Underclass Hero	Underclass Hero
Betesda	Bethesda (Maryland)
New Years Day	New Years Day
Čarna Bjalostocka	Czarna Białostocka
Noderīgais idiots	Idiota útil
Pagrīdes impērija	Boardwalk Empire
Timokrātija	Timocracia
Antuāns Karons	Antoine Caron
Attack on Titan	Shingeki no Kyojin
Madona	Madona (Letônia)
Komārno apriņķis	Komárno (distrito)
Pottermore	Pottermore
FIBA slavas zāle	FIBA Hall of Fame
Toms Tibodo	Tom Thibodeau
Eiropas autoceļš E10	Estrada europeia 10
Verušovas apriņķis	Condado de Wieruszów
Rezāvi Horasāna	Coração Razavi
MenuetOS	MenuetOS
Mohelnice	Mohelnice
28 (skaitlis)	Vinte e oito
Tandy Corporation	Tandy Corporation
Tonijs Galopēns	Tony Gallopin
2002. gada Pasaules čempionāts basketbolā	Campeonato Mundial de Basquetebol Masculino de 2002
Trigonālā singonija	Sistema cristalino trigonal
IRIS (Saules observatorija)	Interface Region Imaging Spectrograph
Turner	Turner
Ginecejs	Gineceu
2 cm FlaK 30	2 cm FlaK 30/38/Flakvierling
Olimpiskais stadions	Estádio Olímpico
Miera baznīcas	Igrejas da Paz em Jawor e Swidnica
Karaliskā dēka	En kongelig affære
Stickwitu	Stickwitu
Militārais identifikācijas žetons	Chapa de identificação
Varenais no Oza zemes	Oz: The Great and Powerful
Džudo 2008. gada Vasaras Olimpiskajās spēlēs — Sievietes, līdz 78 kg	Judô nos Jogos Olímpicos de Verão de 2008 - Até 78 kg feminino
Eduards VIII Vindzors	Eduardo VIII do Reino Unido
Teherāna (ostāns)	Teerão (província)
Kino	Cinematografia
Nepilnas pārvērtības kukaiņi	Exopterygota
