Αφρική	África
Γυμναστική στους Θερινούς Ολυμπιακούς Αγώνες 1896 – Μονόζυγο ανδρών	Ginástica nos Jogos Olímpicos de Verão de 1896 - Barra fixa
Γυμναστική στους Θερινούς Ολυμπιακούς Αγώνες 1896 – Ομαδικό δίζυγου ανδρών	Ginástica nos Jogos Olímpicos de Verão de 1896 - Barras paralelas por equipes
Γυμναστική στους Θερινούς Ολυμπιακούς Αγώνες 1896 – Δίζυγο ανδρών	Ginástica nos Jogos Olímpicos de Verão de 1896 - Barras paralelas
Περιφέρειες του Τζιμπουτί	Regiões do Djibouti
Ο Σκορπιός και ο Βάτραχος	O Escorpião e o Sapo
Ιστορία της σύγχρονης Ελλάδας	História da Grécia Moderna
Xbox Live Marketplace	Xbox Live Marketplace
Γυμναστική στους Θερινούς Ολυμπιακούς Αγώνες 1896 – Ομαδικό μονόζυγου ανδρών	Ginástica nos Jogos Olímpicos de Verão de 1896 - Barra fixa por equipes
Γυμναστική στους Θερινούς Ολυμπιακούς Αγώνες 1896 – Κρίκοι ανδρών	Ginástica nos Jogos Olímpicos de Verão de 1896 - Argolas
Χοανόζωα	Choanozoa
Πολυδάμας ο Τρώας	Polidamante
Callback (προγραμματισμός)	Callback
Οικολογία της συμπεριφοράς	Ecologia comportamental
Πέλλινορ	Pelinore
Γερμανικό Ράιχ	Reich Alemão
Πάρκο Ειρήνης της Χιροσίμα	Parque Memorial da Paz de Hiroshima
Άγιος Θωμάς (αποσαφήνιση)	Saint-Thomas
Γ.Σ. Διαγόρας Ρόδου	Diagoras
Κοινό	Common (desambiguação)
Κύμα P	Onda P
Βασίλισσα μυρμηγκιών	Formiga-rainha
Εθνικός ύμνος των Ολλανδικών Αντιλλών	Hino nacional das Antilhas Neerlandesas
Ντίβον Χιούτζ	Devon Hughes
Η μοναχή	A Religiosa
Ύμνος των Νήσων Πίτκαιρν	Pitcairn Anthem – Come ye Blessed
Γλώσσα προδιαγραφών	Linguagem de especificação
Ντιντιέ Κουεκού	Didier Couécou
120 Μέρες των Σοδόμων	120 Dias de Sodoma
Αφελής ρεαλισμός	Realismo ingénuo
Το Γύρισμα της Τύχης	Reversal of Fortune
Οι Εργάτες της Θάλασσας	Les Travailleurs de la Mer
Ερυθρά παλίρροια	Maré vermelha
Κύκλος ζωής έκδοσης λογισμικού	Liberação de software
Dodge Ram	Dodge Ram
Κόνδορας	Condor
Η νύφη φορούσε μαύρα	La mariée était en noir
Καραβίδα	Lagostim
Η Σφίγγα των Πάγων	Le Sphinx des glaces
Η γυναίκα πειρασμός	As Três Noites de Eva
Οι Μύγες	Les mouches
Η Γυναίκα της Χρονιάς	Woman of the Year
Πλακούντας	Placenta
Οι πρεσβευτές (Χόλμπαιν)	Os Embaixadores
Διάσημοι μάγοι και μάγισσες (κάρτες Χάρι Πότερ)	Lista de personagens da série Harry Potter
Μύθος	Mito
Η κυρία με τις καμέλιες (ταινία 1936)	Camille (1936)
Τα τέκνα του πλοιάρχου Γκραντ	Os Filhos do Capitão Grant
Βάρδα Φουρνέλο	Block-Heads
Ο Γαλαξίας	La voie lactée
Ο Χρησμός της Πεταλούδας	The Mothman Prophecies (filme)
Ντριμπλάρισμα	Drible
Νασσάου	Nassau (desambiguação)
Ιππής	Os Cavaleiros
NFL	National Football League
National Hockey League	National Hockey League
Ικέτιδες (Αισχύλου)	As Suplicantes (Ésquilo)
Χωρίς Δόλο	Absence of Malice
Νέμεσις (αποσαφήνιση)	Nêmesis
Τρωάδες (τραγωδία)	As Troianas
Αμέρικα, Αμέρικα	America, America
Η Συκοφαντία του Απελλή (Μποτιτσέλι)	A Calúnia de Apeles (Botticelli)
Ο Ευαγγελισμός της Θεοτόκου (Ντα Βίντσι)	A Anunciação
Τέσσερεις Κρήνες	Quattro Fontane
Ο Πύργος του Πόνου	Jane Eyre (1944)
Σφήκες (κωμωδία)	As Vespas
Θρύλοι του Δάσους	The Yearling
Η Ξυπόλυτη Κόμισσα	The Barefoot Contessa
Η Ωραιότερη Ιστορία του Κόσμου	A Maior História de Todos os Tempos
Η Τελευταία Παράσταση	The Last Picture Show
Ο γύρος του κόσμου σε 80 ημέρες	A Volta ao Mundo em 80 Dias
Βλεννογόνος	Mucosa
Ομόσπονδα κρατίδια της Γερμανίας	Estados da Alemanha
Γυναικολογία	Ginecologia
Διοίκηση Ασιανής	Diocese da Ásia
Οχρίδα (πόλη)	Ohrid
Όπερα (αποσαφήνιση)	Ópera (desambiguação)
Δίκτη	Montes Dícti
Σεβρ Νιορταίζ	Rio Sèvre Niortaise
Εθνικός Ύμνος της Ρωσίας	Hino da Federação Russa
Δημήτριος Μάξιμος	Dimítrios Máximos
Δημήτρης Παρτσαλίδης	Dimítrios Partsalídis
Δημήτρης Σαραβάκος	Dimitris Saravakos
Δημήτριος Βάλβης	Dimítrios Válvis
Μανουήλ Κομνηνός	Manuel Comneno (filho de Andrônico I)
Διόδοτος	Diódoto (desambiguação)
Διογένης (αποσαφήνιση)	Diógenes
Διοκλής ο Αλεξανδρεύς	Diocles
Διαίρεση	Divisão
Θέατρο του Διονύσου	Teatro de Dionísio
Διοτίμα	Diotima de Mantineia
Δήμος Ωρεών	Oreoi
Ουνγκόλιαντ	Ungoliant
Διοίκηση Ανατολικής	Diocese do Oriente
BMW E39	BMW E39
Ειδώλιο από τον Πωμό	Ídolo de Pomos
Εμπόριο (Ιβηρία)	Ampúrias
Πρωτάθλημα ποδοσφαίρου Ρωσίας 1992	Campeonato Russo de Futebol de 1992
Βοήθεια:Οδηγός προφοράς IPA	Wikipédia:AFI
Συνοικίες του Μπουτάν	Distritos do Butão
Φρανκ Ντώσον Άνταμς	Frank Dawson Adams
Όλυμπος Καρπάθου	Olimpos (Cárpatos)
Πολ Καγκάμε	Paul Kagame
Ηράκλεια Τραχίνα	Heracleia da Traquínia
Δύμη	Dime (Grécia)
Πρόκνη	Progne
Πρωτοελληνική γλώσσα	Língua protogrega
Πλάκα	Plaka
Οπισθόδομος	Opistódomo
Optio	Optio
Γλαύκος του Σισύφου	Glauco (filho de Sísifo)
Φθία	Ftia
Κρατερός ο ιστορικός	Crátero (filho de Crátero)
Κατάλογος Γυναικών	Catálogo de Mulheres
Ευμενίδες (Αισχύλου)	Eumênides (peça)
Ηρακλείδαι (τραγωδία)	Os Heráclidas
Ορτυγία	Ortígia (Siracusa)
Άθλοι του Ηρακλή	Doze trabalhos de Hércules
Φοίνισσαι (τραγωδία)	As Fenícias
Κομητεία της Βαρκελώνης	Condado de Barcelona
Σάλπιγγα (ανατομία)	Trompas de Falópio
Εκάλη (μυθολογία)	Hecale
Περιφερειακές ενότητες της Ελλάδας	Unidades regionais da Grécia
Ευδοκία Αγγελίνα	Eudóxia Angelina
Άννα Κομνηνή Αγγελίνα	Ana Comnena Angelina
Πασιθέα	Grácia Pasitea
Κηφισός (Βοιωτικός)	Cefiso
Μυζήθρα	Mizithra
Πιερ Μουανό	Pierre Moinot
Δομοκός	Domokos
Θεοδώρα Αγγελίνα	Teodora Angelina Comnena
Δολάριο (αποσαφήνιση)	Dólar (desambiguação)
Μουσείο Κοντέ	Museu Condé
Ναπολεόντειο άνοιγμα	Abertura Napoleão
Διδυμίδες	Gemínidas
Μετώπη (νύμφη)	Metope
Επίσκοπος Βυζαντίου Δομέτιος	Domécio de Bizâncio
PO	PO
Χούκερ (νησί)	Ilha Hooker
Τόμος	Volume (bibliografia)
Κεραμεικός κόλπος	Golfo de Gökova
Patrologia Graeca	Patrologia Grega
Μιχαήλ Μέγας Κομνηνός	Miguel da Trebizonda
Κανώπειο Διάταγμα	Decreto de Canopo
Citroën FAF	Citroën FAF
Ροβέρτος Β΄ του Ντρε	Roberto II de Dreux
Αρχιεπισκοπή Παρισίων	Arquidiocese de Paris
Δασυποδόμορφα	Cingulata
Γκανάς	Ganache
Παρασκευή και 13 (ταινία)	Sexta-Feira 13 (1980)
Νικόλαος Πλάτων	Nicolaos Platon
Ιωάννης (Γενναίος) Κολοκοτρώνης	Gennéos Kolokotrónis
Γεώργιος Καφαντάρης	Geórgios Kafantáris
Σωτήριος Κροκιδάς	Sotírios Krokidás
Σωτήριος Σωτηρόπουλος	Sotírios Sotirópulos
RAF (αποσαφήνιση)	RAF
Οντέ	Rio Odet
Ρητός αριθμός	Número racional
Dorling Kindersley	Dorling Kindersley
Σαλούμ	Sallum
Θελξιόπη	Thelxiepia
Νομός Αττικής	Ática (prefeitura)
Dornier Do 22	Dornier Do 22
Τουρμάρχης	Turma
Βαλδελακαλθάδα	Valdelacalzada
Νικηφόρος Βρυέννιος	Nicéforo Briênio (usurpador)
Σφαγή των Λατίνων	Massacre dos latinos
Περιφέρειες της Ρουμανίας	Regiões em desenvolvimento da Romênia
Παγκόσμια Κοινωνία Αναμορφωμένων Εκκλησιών	Comunhão Mundial das Igrejas Reformadas
Ταραμοσαλάτα	Taramasalata
Σάντα Μαρία ντελ Ναράνκο	Igreja de Santa María del Naranco
Πάμφιλος ο Αλεξανδρεύς	Pânfilo de Alexandria
Κύψελος ο Αιπύτου	Cípselo (rei da Arcádia)
Βυζαντινό Λεξικό της Οξφόρδης	Oxford Dictionary of Byzantium
Χολαργός	Colargo
Λυγκηστίδα	Lincéstide
Η άσχημη που έγινε όμορφη	La fea más bella
Μάχη (τηλεοπτική σειρά)	Combat!
Κωνσταντίνος Άγγελος	Constantino Ângelo
Παλατινή Ανθολογία	Antologia Palatina
Αφρόδιτος	Afrodito
Δάφνη (Τζάκοπο Πέρι)	Dafne (ópera)
Ο Δύσκολος (Μένανδρος)	O Misantropo
Αεροδρόμιο	Aeroporto
Λεόντιος Πιλάτος	Leôncio Pilato
Ferrari 575M Maranello	Ferrari 575M Maranello
Τρίτος ιερός πόλεμος	Terceira Guerra Sacra
Πάπυροι της Οξυρρύγχου	Papiros de Oxirrinco
Ροζέριο Σένι	Rogério Ceni
Στυμφαλία	Lago Estínfalo
Διώρυγα Νικαράγουα	Canal da Nicarágua
Douglas C-54 Skymaster	Douglas C-54 Skymaster
Συγγενικά δικαιώματα	Direitos conexos
Αγγλικό πρωτάθλημα ποδοσφαίρου ανδρών 1888-1889	Estatísticas da Football League na temporada 1888-1889
Ρα	Rá
Γ.Σ. Δόξα Δράμας	Doxa Dramas
Γήπεδο Κλεάνθης Βικελίδης	Estádio Kleanthis Vikelidis
Ιχθύες (αστρολογία)	Peixes (astrologia)
Χλιν	Hlín
Κόλπος Παπούα	Golfo de Papua
ΧΣΚ Γκρατζάνσκι Ζάγκρεμπ	Građanski Zagreb
Λογοθέτης	Logóteta
Μέλανθος	Melanto
Πατριάρχης Ταράσιος	Tarásio de Constantinopla
Σαμουέλ Ετό	Samuel Eto'o
Mountain	Mountain
Φαιλόνιο	Felônio
Σάντα Κρουζ	Santa Cruz
Σαντιάγο (αποσαφήνιση)	Santiago
ΣΚ Γιουγκοσλάβια	Iugoslávia Belgrado
Γκοντομάρ ΣΚ	Gondomar Sport Clube
Πατριάρχης Μεθόδιος Α΄	Metódio I de Constantinopla
Εφαρμοσμένη μηχανική	Mecânica aplicada
Χόλαμ Φ.Κ.	Hallam Football Club
Σκλαβηνίες	Esclavenos
Τριβαλλοί	Tribálios
ΦΚ Μλάντοστ Ποντγκόριτσα	FK Mladost Podgorica
IL-2 Sturmovik (βιντεοπαιχνίδι)	IL-2 Sturmovik
Σασσάν	Sassan
Έδικτο της Θεσσαλονίκης	Édito de Tessalónica
Αριστομένης (Μεσσήνιος ήρωας)	Aristômene
Μάγιστρος	Magister officiorum
Τήλεκλος	Teleclo
Δεύτερη Σύνοδος της Εφέσου	Segundo Concílio de Éfeso
Αψίδα του Γαλέριου	Arco de Galério
Πέτρος Βούλγαρης	Pétros Vúlgaris
Αλκαμένης ο Λακεδαιμόνιος	Alcmenes
Εγκρατίτες	Encratismo
Δομή ξένων συνόλων (πληροφορική)	União-Busca
Χαλίτ Εργκέντς	Halit Ergenç
Ενέργεια ακτινοβολίας	Energia radiante
Μίνι σειρά	Minissérie
Προώθηση Πωλήσεων	Promoção de vendas
Κύπελλο Ιντερτότο ΟΥΕΦΑ 1997	Copa Intertoto da UEFA de 1997
Τζούρατζ Μπράνκοβιτς (δεσπότης)	Jorge II Branković
Φαντασιακές κοινότητες	Comunidades imaginárias
Μέντο	Mento
Βερζήτες	Berzitos
Ντουάρτε Πίο	Duarte Pio de Bragança
Βαλκανική Ομοσπονδία	Federação Balcânica
Ντουμπάι ΚΣΚ	Dubai Club
Τύπος της Υόρκης	Rito de York
Αρχίδαμος Α΄	Arquídamo I
Επίσκοπος Νέας Ρώμης Μακεδόνιος Α΄	Macedônio I de Constantinopla
Σάγκα (μυθολογία)	Saga (mitologia)
Αρχέλαος Β΄ της Μακεδονίας	Arquelau II da Macedónia
Κότυς Α΄	Cotis I
Σιτάλκης	Sitalces
Στοά του Αττάλου	Estoa de Átalo
Τιμόθεος Α΄ Αλεξανδρείας	Timóteo I de Alexandria
No name	No Name (banda)
Αρταβάσδης Α΄ της Αρμενίας	Artavasdes I da Arménia
Σπάρος	Diplodus annularis
Μητροπολιτικό προάστιο	Edge city
Πατριάρχης Ευτύχιος	Eutíquio de Constantinopla
Σκοτεινή Ροή	Fluxo escuro
Ατομιστικός φεμινισμός	Feminismo individualista
Πατριάρχης Ιωάννης Γ΄ Σχολαστικός	João III de Constantinopla
Βαλκανική ιστορία	História dos Bálcãs
Επίσκοπος Νέας Ρώμης Παύλος Α΄	Paulo I de Constantinopla
Ευρυπών	Euriponte
Αρίστων ο Αγησικλή	Aríston de Esparta
Κοπαονίκ	Kopaonik
Φρέντις Ρεφουνιόλ	Fredis Refunjol
Ανάπτυξη (μουσική)	Desenvolvimento musical
Μαγνητεγερτική δύναμη	Força magnetomotriz
Μοντέλο της Κιούμπλερ-Ρος	Modelo de Kübler-Ross
Κρεξ η εξαίρετος	Codornizão-africano
Κριστιάν Φρεμόν	Christian Frémont
Νεμέσι Μαρκές ι Όστε	Nemesi Marqués Oste
Χόρχε Καρρασκόσα	Jorge Carrascosa
Αγήνορας	Agenor (desambiguação)
Πατριάρχης Αρσάκιος	Arsácio de Tarso
Μεσοπόταμος	Mesopotam
Catalogus Liberianus	Catálogo Liberiano
Βίνσεντ Φλουασάκ	Vincent Floissac
Κλειδί οπτικού δίσκου	Product Key
Sound of White Noise	Sound of White Noise
Δάσκαλος της Μουλέν	Mestre de Moulins
Δυναμική αποστολή (υπολογιστές)	Ligação dinâmica
Θέατρο του Καταπιεσμένου	Teatro do oprimido
Ντάιναμος ΦΚ	Dynamos Football Club
Πατριάρχης Στέφανος Α΄	Estevão I de Constantinopla
Πατριάρχης Μηνάς	Menas de Constantinopla
Μαχανίδας	Macânidas
Σταυροπηγιακή Μονή	Estauropégico
ΦΑΡ Ραμπάτ	Forces Armées Royales de Rabat
Τιμόθεος Β΄ Αλεξανδρείας	Timóteo II de Alexandria
Πατριάρχης Θεόδοτος Α΄ Κασσιτεράς	Teódoto I de Constantinopla
Πατριάρχης Αντώνιος Α΄ Κασυματάς	Antônio I de Constantinopla
Κρίνος της θάλασσας	Pancratium maritimum
Πατριάρχης Τιμόθεος Α΄	Timóteo I de Constantinopla
Πατριάρχης Θωμάς Β΄	Tomé II de Constantinopla
Πατριάρχης Πέτρος	Pedro de Constantinopla
Πατριάρχης Κυριακός Β΄	Ciríaco II de Constantinopla
Πατριάρχης Σισίνιος Β΄	Sisínio II de Constantinopla
Αντώνιος Γ΄ ο Στουδίτης	Antônio III de Constantinopla
Πατριάρχης Παύλος Β΄	Paulo II de Constantinopla
Πατριάρχης Μακεδόνιος Β΄	Macedônio II de Constantinopla
Θέμα Σελευκείας	Thema de Selêucia
Διόπτευση	Rumo (náutica)
Σταρ Ελλάς	Miss Grécia
Ευφυής Πτώση	Queda inteligente
Νοβατιανισμός	Novacianismo
Δωρόθεος επίσκοπος Τύρου	Doroteu de Tiro
Πατριάρχης Άνθιμος Α΄	Ântimo I de Constantinopla
Μαίδοι	Medos (trácios)
Σεραπίων Αντιοχείας	Serapião de Antioquia
Επίσκοπος Βυζαντίου Μητροφάνης Α΄	Metrófanes de Bizâncio
Παναχαϊκή Γ.Ε. (ποδόσφαιρο)	Panachaiki G.E. 1891
Εθνική Γαλλίας U21 (ποδόσφαιρο ανδρών)	Seleção Francesa de Futebol Sub-20
Ευζώιος	Euzois de Bizâncio
Πολύκαρπος Β΄	Policarpo II de Bizâncio
Διαθήκαι των ΙΒ' Πατριαρχών	Testamento dos Doze Patriarcas
Αμφορέας των Παναθηναίων	Ânfora panatenaica
James (συγκρότημα)	James (banda)
Ίστερν ΑΑ	Eastern AA
JDownloader	JDownloader
Ρίτσαρντ Γκόζνεϊ	Richard Gozney
Γιάννης Παπαδόπουλος (ποδοσφαιριστής)	Giannis Papadopoulos
Θέμα Σιρμίου	Thema de Sirmio
Κόπα Λιμπερταδόρες 2013	Copa Libertadores da América de 2013
Γενικός Κυβερνήτης της Αγίας Λουκίας	Governador-geral de Santa Lúcia
ΑΚ Πιστοϊέζε 1921	Associazione Calcio Pistoiese
Πριγκιπάτο της Κάπουα	Principado de Cápua
Εχέστρατος	Equéstrato
Έχιδνα (δορυφόρος)	Equidna (satélite)
Βαρτάν Μαμικονιάν	Bardanes II Mamicônio
Επίνητρον	Epínetro
Ματθίας Α΄ Ιεροσολύμων	Matias de Jerusalém
Ζωρζ Περρό	Georges Perrot
Μπέογουλφ (ήρωας)	Beowulf (herói)
Πατριάρχης Αντώνιος Β΄ ο Καυλέας	Antônio II de Constantinopla
Πατριάρχης Ιωάννης ΣΤ΄	João VI de Constantinopla
Πατριάρχης Σισίνιος Α΄	Sisínio I de Constantinopla
Σούπερσπορ Γιουνάιτεντ	Supersport United Football Club
Πατριάρχης Νικήτας Α΄	Nicetas I de Constantinopla
Honda CBR1100XX	Honda CBR 1100XX SuperBlackbird
Φλαβιανός Β΄ Αντιοχείας	Flaviano II de Antioquia
Γκουαγιότα	Guayota
Μεγάλες Προσδοκίες (ταινία 1946)	Grandes Esperanças (1946)
Ράιφ Ντιζντάρεβιτς	Raif Dizdarević
Τζον Ντετ	Jon Dette
Ιεροκλής ο γραμματικός	Hiérocles (geógrafo)
Παγοδρόμιο	Rinque de patinagem
Έλλι	Elli
Πατριάρχης Φραβίτας	Fravita de Constantinopla
Ωμοφόριο	Omofório
Τανκ Mark I	Mark I (tanque de guerra)
Λιούμπομιρ Νταβίντοβιτς	Ljubomir Davidović
Εντμόν Ποττιέ	Edmond Pottier
Σουμάχερ	Schumacher
Πατριάρχης Πύρρος	Pirro I de Constantinopla
Λαυρέντιος	Laurêncio de Bizâncio
Πατριάρχης Παύλος Γ΄	Paulo III de Constantinopla
Τομέ Βέρα Κρουζ	Tomé Vera Cruz
Τζορτζ Μόλετ	George Mallet
Περτίναξ (Επίσκοπος Βυζαντίου)	Pertinaz de Bizâncio
Πατριάρχης Βασίλειος Α΄	Basílio I de Constantinopla
Πατριάρχης Σέργιος Β΄	Sérgio II de Constantinopla
Ολυμπιανός	Olimpiano de Bizâncio
Πατριάρχης Θωμάς Α΄	Tomé I de Constantinopla
Πατριάρχης Κωνσταντίνος Α΄	Constantino I de Constantinopla
Πατριάρχης Κύρος	Ciro de Constantinopla
Μανόλης Αναγνωστάκης	Manolis Anagnostakis
Λεονέλ Μάριο ντ' Άλβα	Leonel Mário d'Alva
Θέρσανδρος	Tersandro
Μονόμετρο μέγεθος	Grandeza escalar
Σλιέμα Γουόντερερς ΦΚ	Sliema Wanderers Football Club
Δουλεία στην αρχαία Ελλάδα	Escravidão na Grécia Antiga
Μάξιμος Α΄ ο Κυνικός	Máximo I de Constantinopla
Μάχη στην Βεθσούρα	Batalha de Bet Zur
Ισπανική παρτίδα	Abertura Ruy López
Πατριάρχης Ιωάννης Ε΄	João V de Constantinopla
Πατριάρχης Θεόδωρος Α΄	Teodoro I de Constantinopla
Γιούαρτ Μπράουν	Ewart Brown
Άγιος Μάρκος, Γρενάδα	Saint Mark (Granada)
Πρίσκος (στρατηγός)	Prisco (general)
Πατριάρχης Κωνσταντίνος Β΄	Constantino II de Constantinopla
Υδροακουστική	Hidroacústica
Superleague Formula	Superleague Fórmula
Αθανάσιος Β΄ Αλεξανδρείας	Atanásio II de Alexandria
Ινδική αστρονομία	Astronomia indiana
Επίσκοπος Νέας Ρώμης Δημόφιλος	Demófilo de Constantinopla
Πατρίσια Μαντερόλα	Patricia Manterola
Επίσκοπος Νέας Ρώμης Ευάγριος	Evágrio de Constantinopla
Επίσκοπος Βυζαντίου Φιλάδελφος	Filadelfo de Bizâncio
Πατριάρχης Μαξιμιανός	Maximiano de Constantinopla
Σαγουδάτες	Sagudatas
Πριμικήριος	Primicério
Αίσθηση της θερμοκρασίας	Sensação térmica
Έντουαρντ Ράιτ	Edward Wright (matemático)
Μπριτζ Μπόις ΦΚ	Julius Berger Football Club
Σηλώμ	Selá (filho de Judá)
Σαλάλα	Salalah
Περικλύμενος	Poriclimeno
Ρωμαϊκή Σχολή	Escola romana
Τελεσφόρος	Telésforo
Ασκάλαφος ο δαίμων	Ascálafo (guarda de Plutão)
Πατριάρχης Ευφήμιος	Eufêmio de Constantinopla
Στράτος Αποστολάκης	Stratos Apostolakis
Στράτος Περπέρογλου	Stratos Perperoglou
Αιγάλεω Α.Ο.	Egaleo
Αχινοσκυλόψαρο	Peixe-prego
Βιβλίο της Ομόνοιας	Livro de Concórdia
Επαρχίες της Σιέρρα Λεόνε	Distritos da Serra Leoa
Σίξτος	Sisto
Αερόστατο	Aeróstato
Πικ-νικ (ταινία 1955)	Picnic (filme)
Δίκτυο υπολογιστών	Rede de computadores
Παραπομπή	Referência cruzada
Πτολεμαΐδα Ερμία	Ptolemaida Hérmia
Τάκλιν (ποδόσφαιρο)	Carrinho (futebol)
Άτλας (τοπολογία)	Atlas (topologia)
Σφακτηρία	Esfactéria
Ένα δέντρο μεγαλώνει στο Μπρούκλιν (ταινία 1945)	Laços Humanos
Ο Λαχνός Υπ' αριθ. 9672	Un billet de loterie
Η χωριατοπούλα	The Country Girl
Ένα όμορφο κορίτσι σαν εμένα	Une Belle Fille Comme Moi
Αυτή που σ' Όλα Απαντά	Desk Set
Γιανέρος ΦΚ	Llaneros de Guanare Fútbol Club
Το Δικό Τους Παιχνίδι	A League of Their Own
Πολίτευμα	Forma de governo
Δήμος Μαλεβιζίου	Malevizi
Υπναγωγικός σπασμός	Mioclonia noturna
Πραιτώριο	Pretório
Πρωτάθλημα ποδοσφαίρου Ρωσίας 1993	Campeonato Russo de Futebol de 1993
L'Illustration	L'Illustration
Ζαχλουμία	Zaclúmia
Μεγάλο Πριγκιπάτο της Ράσκας	Grão-Principado da Sérvia
Κατεπανάτο της Ρας	Catepanato da Sérvia
Σιδηροπενία	Deficiência de ferro
Τα αγόρια της ζωής μου	Riding in Cars with Boys
Επεξεργαστής	Processador
Ζαν ντε Φλορέτ	Jean de Florette
Τάκιτος	Tácito (desambiguação)
TNA Against All Odds	TNA Against All Odds
Ταραντούλα	Lycosa tarantula
Κριθαράκι	Orzo
Orgullo, Pasión, y Gloria: Tres Noches en la Ciudad de México	Orgulho, Paixão e Glória: Três Noites na Cidade do México
Παγκόσμιο Πρωτάθλημα Ομάδων ROH	ROH World Tag Team Championship
Λόιντ Ντάγκλας	Lloyd C. Douglas
Τεστοστερόνη	Testosterona
Εκπαίδευση ενηλίκων	Educação de jovens e adultos
Μαρία Χιλ	Maria Hill
Tindersticks	Tindersticks
Θησέας	Teseu
Σαν Χουάν (αποσαφήνιση)	San Juan
Ο Τίγρης του Τίπου	Tigre de Tipu
Ρομπ Στράους	Robbie E
Ρόντερικ Στρονγκ	Roderick Strong
Θα Συναντήσεις έναν Ψηλό Μελαχρινό Άνδρα	You Will Meet a Tall Dark Stranger
Κουαουτιτλάν Ισκάγι	Cuautitlán Izcalli
Elementary OS	Elementary OS
Ο Ουρανός της Δόξας	Yankee Doodle Dandy
Ωάριο	Óvulo
Τριστάνα	Tristana
Ρασταμπάν	Beta Draconis
Διαγωνισμός Eurovision Νέων Μουσικών	Festival Eurovisão de Jovens Músicos
Μαρξιστικός φεμινισμός	Feminismo marxista
Εθνόσημο του Σαιν Πιερ και Μικελόν	Brasão de armas de Saint-Pierre e Miquelon
Αστριοειδή	Feldspatoide
Ισπανικός Στρατός Ξηράς	Exército da Espanha
Δασική Πυρκαγιά στο Όρος Καρμέλ 2010	Incêndio florestal de Israel em 2010
Παγκόσμια Ημέρα Ανεκτικότητας	Dia Internacional para a Tolerância
ΦΚ Πετρόλουλ Πλοϊέστι	Fotbal Club Petrolul Ploieşti
ΛΔ Αλαχουελένσε	Liga Deportiva Alajuelense
Μεσαία δύναμη	Média potência
ΦΚ Σεμλίνο	Zemun Belgrado
Transformers	Transformers
PlayStation (σειρά)	PlayStation
Istana Nurul Iman	Istana Nurul Iman
Τριστάνος και Ιζόλδη (Βάγκνερ)	Tristan und Isolde
Τονέρ Γιαουντέ	Tonnerre Kalara Club de Yaoundé
Κρυπτεία	Cripteia
Ναυτική Βάση	Base naval
Κεχαριτωμένη Μαρία	Maria Cheia de Graça
Βραβείο Πάλμε	Prémio Olof Palme
Harvest Records	Harvest Records
Σύστημα ποδοσφαιρικών πρωταθλημάτων Αργεντινής	Sistema de ligas de futebol da Argentina
Πλαίσιο δεδομένων	Trama (telecomunicações)
Θερμική δεξαμενή	Banho térmico
Ford Excursion	Ford Excursion
Γήπεδο Ντε Σαρριά	Estadi de Sarrià
Σκορπιός Λευκάδας	Skorpios
Εύζωνες	Evzones
Still Alive... and Well?	Still Alive... And Well?
Χοροθεραπεία	Dançaterapia
Αγία Άννα, Τζαμάικα	Saint Ann
Ελειονόμες	Eleionomae
Ηλέκτρα (ταινία)	Elektra (1962)
Μετρό Θεσσαλονίκης	Metrô de Salonica
Αλκάθαρ του Τολέδου	Alcázar de Toledo
Τηλεόραση υγρών κρυστάλλων	TV de LCD
Ηλεκτρονικό περιοδικό	Revista eletrônica
Γύρω από τη Σελήνη	Autour de la Lune
Παροπαμισάδες	Paropâmiso
Σύνδρομο Ράιτερ	Artrite reativa
Εθνικό Στάδιο Βασίλ Λέφσκι	Estádio Nacional Vasil Levski
Βατραχομυομαχία	Batracomiomaquia
Ωδείο Ηρώδου του Αττικού	Odeão de Herodes Ático
Ελεφήνορας	Elefenor
Ελευθερές	Eleutera
Αρχαία Ελεύθερνα	Eleuterna
Γεωγραφικά διαμερίσματα της Τουρκίας	Regiões da Turquia
BMW E34	BMW E34
Smart Forfour	Smart Forfour
Περσίκ Κεντίρι	Persik Kediri
Διανοητικό κεφάλαιο	Capital intelectual
Ζυστίν ή Τα βάσανα της αρετής	Justine
Live in Hyde Park	Live in Hyde Park
Fashion TV	FashionTV
Πνευματικός φεμινισμός	Teologia feminista
Λυκομήδης	Licomedes
Πιστά Ερωτευμένοι (ταινία)	Keeping the Faith
Συριακοί πόλεμοι	Guerras Sírias
Φερές	Feras
Αλέξανδρος Αβωνοτειχίτης	Alexandre de Abonuteichos
Μυκάλη	Mícale
Ψαρά	Psara
Έθνι	Eithne
Εύδωρος	Eudoros
White Lies	White Lies
Ελκεσαΐτες	Elcasaitas
Θεμελιώδης συχνότητα	Frequência fundamental
Συλλογή φωτογραφιών των Windows	Windows Photo Gallery
Ένωση Επαγγελματικού Ποδοσφαίρου (Γαλλία)	Campeonato Francês de Futebol
Περαβία	Peravia (província)
Marmite	Marmite
Τζιάλο	Giallo
Υποθερμιδική δίαιτα	Restrição calórica
Είμαστε Διεφθαρμένοι;	Elmer Gantry
Πέρση	Perseis
Ραούλ Ντιάνιε	Raoul Diagne
Ελούντα Λασιθίου	Elunda
ΦΚ Αβενίρ Μπέγκεν	Football Club Avenir Beggen
Ουνουκαλχάι	Alpha Serpentis
Σπονδή	Libação
