Afríka	África
Flokkur:Fólk dáið árið 1123	Categoria:Mortos em 1123
Flokkur:Forn-Grikkir	Categoria:Gregos antigos
Flokkur:1130	Categoria:1130
Flokkur:1131	Categoria:1131
Flokkur:Fólk dáið árið 1131	Categoria:Mortos em 1131
Flokkur:1134	Categoria:1134
Flokkur:1135	Categoria:1135
Flokkur:1137	Categoria:1137
Flokkur:1140	Categoria:1140
Flokkur:1142	Categoria:1142
Flokkur:1146	Categoria:1146
Flokkur:1149	Categoria:1149
Flokkur:Fólk dáið árið 1150	Categoria:Mortos em 1150
Flokkur:Hljómplötur gefnar út árið 1999	Categoria:Álbuns de 1999
Flokkur:1153	Categoria:1153
Flokkur:Hljómplötur eftir árum	Categoria:Álbuns por ano
Flokkur:1158	Categoria:1158
Flokkur:Fólk dáið árið 1158	Categoria:Mortos em 1158
Flokkur:1160	Categoria:1160
Flokkur:1167	Categoria:1167
Flokkur:Fólk dáið árið 1169	Categoria:Mortos em 1169
Flokkur:Sköpunargáfa	Categoria:Criatividade
Flokkur:1171	Categoria:1171
Flokkur:Fólk dáið árið 1171	Categoria:Mortos em 1171
Flokkur:1174	Categoria:1174
Flokkur:Fólk dáið árið 1175	Categoria:Mortos em 1175
Flokkur:Prímatar	Categoria:Primatas
Flokkur:1178	Categoria:1178
Flokkur:Fólk dáið árið 1179	Categoria:Mortos em 1179
Flokkur:Fólk dáið árið 1180	Categoria:Mortos em 1180
Flokkur:1182	Categoria:1182
Flokkur:Fólk dáið árið 1182	Categoria:Mortos em 1182
Flokkur:Fólk dáið árið 1183	Categoria:Mortos em 1183
Flokkur:1185	Categoria:1185
Flokkur:1187	Categoria:1187
Flokkur:Fólk dáið árið 1187	Categoria:Mortos em 1187
Flokkur:1189	Categoria:1189
Flokkur:1190	Categoria:1190
Flokkur:Fólk dáið árið 1190	Categoria:Mortos em 1190
Flokkur:1196	Categoria:1196
Flokkur:Fólk dáið árið 1196	Categoria:Mortos em 1196
Flokkur:1199	Categoria:1199
Flokkur:Fólk dáið árið 1199	Categoria:Mortos em 1199
Flokkur:1202	Categoria:1202
Flokkur:Fólk dáið árið 1202	Categoria:Mortos em 1202
Flokkur:1204	Categoria:1204
Flokkur:1209	Categoria:1209
Flokkur:1210	Categoria:1210
Flokkur:Fólk dáið árið 1211	Categoria:Mortos em 1211
Flokkur:1214	Categoria:1214
Flokkur:1216	Categoria:1216
Flokkur:Fólk dáið árið 1217	Categoria:Mortos em 1217
Flokkur:1219	Categoria:1219
Snið:Asx	Predefinição:ASX
Flokkur:1221	Categoria:1221
Flokkur:1223	Categoria:1223
Flokkur:Fólk dáið árið 1223	Categoria:Mortos em 1223
Flokkur:Fólk dáið árið 1224	Categoria:Mortos em 1224
Flokkur:Fólk dáið árið 1228	Categoria:Mortos em 1228
Flokkur:1230	Categoria:1230
Flokkur:1239	Categoria:1239
Flokkur:Fólk dáið árið 1240	Categoria:Mortos em 1240
Flokkur:Pokémon	Categoria:Pokémon
Flokkur:1243	Categoria:1243
Flokkur:1246	Categoria:1246
Flokkur:Fólk dáið árið 1247	Categoria:Mortos em 1247
Flokkur:Fólk dáið árið 1249	Categoria:Mortos em 1249
Flokkur:Fólk dáið árið 1252	Categoria:Mortos em 1252
Snið:BDI	Predefinição:BDI
Snið:BGR	Predefinição:BGR
Snið:BHS	Predefinição:BHS
Flokkur:1259	Categoria:1259
Snið:Æviágrip lifandi fólks	Predefinição:BPV
Flokkur:1261	Categoria:1261
Snið:BLR	Predefinição:BLR
Flokkur:1264	Categoria:1264
Flokkur:Fólk dáið árið 1264	Categoria:Mortos em 1264
Flokkur:1278	Categoria:1278
Flokkur:Fólk dáið árið 1279	Categoria:Mortos em 1279
Flokkur:Porsche	Categoria:Porsche
Flokkur:Fólk dáið árið 1282	Categoria:Mortos em 1282
Flokkur:1284	Categoria:1284
Flokkur:1286	Categoria:1286
Flokkur:Fólk dáið árið 1288	Categoria:Mortos em 1288
Flokkur:Fólk dáið árið 1289	Categoria:Mortos em 1289
Flokkur:1291	Categoria:1291
Flokkur:Fólk dáið árið 1293	Categoria:Mortos em 1293
Flokkur:Fólk dáið árið 1295	Categoria:Mortos em 1295
Flokkur:1299	Categoria:1299
Flokkur:1300	Categoria:1300
Flokkur:1302	Categoria:1302
Flokkur:Fólk dáið árið 1302	Categoria:Mortos em 1302
Flokkur:1304	Categoria:1304
Flokkur:Fólk dáið árið 1304	Categoria:Mortos em 1304
Flokkur:Fólk dáið árið 1306	Categoria:Mortos em 1306
Flokkur:Fólk dáið árið 1307	Categoria:Mortos em 1307
Flokkur:Fólk dáið árið 1308	Categoria:Mortos em 1308
Flokkur:1312	Categoria:1312
Flokkur:Fólk dáið árið 1312	Categoria:Mortos em 1312
Flokkur:Ítalísk tungumál	Categoria:Línguas itálicas
Flokkur:1316	Categoria:1316
Flokkur:1318	Categoria:1318
Flokkur:1320	Categoria:1320
Flokkur:Norskir rithöfundar	Categoria:Escritores da Noruega
Flokkur:1323	Categoria:1323
Flokkur:1324	Categoria:1324
Flokkur:Fólk dáið árið 1324	Categoria:Mortos em 1324
Flokkur:1326	Categoria:1326
Flokkur:Fólk dáið árið 1326	Categoria:Mortos em 1326
Flokkur:Fólk dáið árið 1327	Categoria:Mortos em 1327
Snið:Ostur	Predefinição:Info/Queijo
Flokkur:1334	Categoria:1334
Flokkur:BBC	Categoria:BBC
Flokkur:1337	Categoria:1337
Flokkur:1339	Categoria:1339
Flokkur:1340	Categoria:1340
Flokkur:1344	Categoria:1344
Flokkur:1345	Categoria:1345
Flokkur:1347	Categoria:1347
Flokkur:Þróunarlíffræði	Categoria:Biologia evolutiva
Flokkur:Bókaárið 1813	Categoria:Livros de 1813
Flokkur:Bókaárið 1852	Categoria:Livros de 1852
Flokkur:1357	Categoria:1357
Flokkur:Fólk dáið árið 1360	Categoria:Mortos em 1360
Flokkur:1362	Categoria:1362
Flokkur:1363	Categoria:1363
Flokkur:1368	Categoria:1368
Flokkur:1372	Categoria:1372
Flokkur:1380	Categoria:1380
Flokkur:Fólk dáið árið 1384	Categoria:Mortos em 1384
Flokkur:2014	Categoria:2014
Flokkur:2015	Categoria:2015
Flokkur:1387	Categoria:1387
Flokkur:Fólk dáið árið 1390	Categoria:Mortos em 1390
Flokkur:1392	Categoria:1392
Flokkur:Fólk dáið árið 1393	Categoria:Mortos em 1393
Flokkur:1398	Categoria:1398
Flokkur:1400	Categoria:1400
Flokkur:1402	Categoria:1402
Flokkur:Efnahagur Íslands	Categoria:Economia da Islândia
Flokkur:1403	Categoria:1403
Flokkur:Stjórnmál Líberíu	Categoria:Política da Libéria
Flokkur:Fólk dáið árið 1405	Categoria:Mortos em 1405
Flokkur:Bókaárið 1913	Categoria:Livros de 1913
Flokkur:1407	Categoria:1407
Flokkur:Bókaárið 1993	Categoria:Livros de 1993
Flokkur:1409	Categoria:1409
Flokkur:Bókaárið 1935	Categoria:Livros de 1935
Flokkur:1410	Categoria:1410
Flokkur:1411	Categoria:1411
Flokkur:Eþíópísk stjórnmál	Categoria:Política da Etiópia
Flokkur:1412	Categoria:1412
Flokkur:Fólk dáið árið 1412	Categoria:Mortos em 1412
Flokkur:Fólk dáið árið 1413	Categoria:Mortos em 1413
Flokkur:Bókaárið 1782	Categoria:Livros de 1782
Flokkur:1416	Categoria:1416
Flokkur:Bókaárið 1931	Categoria:Livros de 1931
Flokkur:Fólk dáið árið 1420	Categoria:Mortos em 1420
Flokkur:1423	Categoria:1423
Flokkur:Bókaárið 1912	Categoria:Livros de 1912
Flokkur:1425	Categoria:1425
Flokkur:1427	Categoria:1427
Flokkur:Fólk dáið árið 1428	Categoria:Mortos em 1428
Flokkur:Bókaárið 1895	Categoria:Livros de 1895
Flokkur:Fólk dáið árið 1432	Categoria:Mortos em 1432
Flokkur:138 f.Kr.	Categoria:138 a.C.
Flokkur:1438	Categoria:1438
Flokkur:Fólk dáið árið 1439	Categoria:Mortos em 1439
Flokkur:Bókaárið 1932	Categoria:Livros de 1932
Flokkur:Skýjakljúfar í Brasilíu	Categoria:Arranha-céus do Brasil
Flokkur:1441	Categoria:1441
Flokkur:1442	Categoria:1442
Flokkur:1444	Categoria:1444
Flokkur:Íþróttamenn eftir þjóðerni	Categoria:Desportistas por país
Flokkur:1446	Categoria:1446
Flokkur:Fólk dáið árið 1446	Categoria:Mortos em 1446
Snið:Vampírubaninn Buffy	Predefinição:Buffynav
Flokkur:1448	Categoria:1448
Flokkur:Fólk dáið árið 1448	Categoria:Mortos em 1448
Flokkur:Fólk dáið árið 1452	Categoria:Mortos em 1452
Flokkur:Stjórnmál Úganda	Categoria:Política de Uganda
Flokkur:1454	Categoria:1454
Flokkur:1455	Categoria:1455
Flokkur:Bókaárið 1915	Categoria:Livros de 1915
Flokkur:1459	Categoria:1459
Flokkur:Fólk dáið árið 1459	Categoria:Mortos em 1459
Flokkur:Bókaárið 1999	Categoria:Livros de 1999
Flokkur:1461	Categoria:1461
Flokkur:Bandarísk stjórnmál	Categoria:Política dos Estados Unidos
Flokkur:1469	Categoria:1469
Flokkur:Fólk dáið árið 1473	Categoria:Mortos em 1473
Flokkur:Fólk dáið árið 1474	Categoria:Mortos em 1474
Flokkur:Handhafar bókmenntaverðlauna Nóbels	Categoria:Nobel de Literatura
Flokkur:1477	Categoria:1477
Flokkur:Fólk dáið árið 1477	Categoria:Mortos em 1477
Flokkur:1502	Categoria:1502
Flokkur:1484	Categoria:1484
Flokkur:1485	Categoria:1485
Flokkur:Fólk dáið árið 1485	Categoria:Mortos em 1485
Snið:CIV	Predefinição:CIV
Flokkur:1487	Categoria:1487
Flokkur:1488	Categoria:1488
Flokkur:1489	Categoria:1489
Flokkur:1492	Categoria:1492
Snið:CRI	Predefinição:CRI
Flokkur:1495	Categoria:1495
Flokkur:Kvikmyndir frumsýndar 2001	Categoria:Filmes de 2001
Snið:CYP	Predefinição:CYP
Flokkur:Landafræði Indlands	Categoria:Geografia da Índia
Flokkur:Fólk dáið árið 1505	Categoria:Mortos em 1505
Flokkur:Fólk dáið árið 1506	Categoria:Mortos em 1506
Flokkur:Kvikmyndir frumsýndar 1993	Categoria:Filmes de 1993
Flokkur:Fólk dáið árið 1509	Categoria:Mortos em 1509
Flokkur:Fólk dáið árið 1510	Categoria:Mortos em 1510
Snið:Örsmæðareikningur	Predefinição:Cálculo
Flokkur:Fólk dáið árið 1513	Categoria:Mortos em 1513
Flokkur:1515	Categoria:1515
Flokkur:Fólk dáið árið 1515	Categoria:Mortos em 1515
Flokkur:1518	Categoria:1518
Flokkur:Borgir í Mjanmar	Categoria:Cidades de Mianmar
Flokkur:Fólk dáið árið 1518	Categoria:Mortos em 1518
Flokkur:Rekstrarhagfræði	Categoria:Economia empresarial
Flokkur:Grunnflokkar	Categoria:Fundamental
Flokkur:Fólk dáið árið 1522	Categoria:Mortos em 1522
Flokkur:Fólk dáið árið 1523	Categoria:Mortos em 1523
Flokkur:Fólk dáið árið 1525	Categoria:Mortos em 1525
Flokkur:Fólk dáið árið 1527	Categoria:Mortos em 1527
Flokkur:Fólk dáið árið 1528	Categoria:Mortos em 1528
Flokkur:Fólk dáið árið 1530	Categoria:Mortos em 1530
Flokkur:1533	Categoria:1533
Flokkur:Fólk dáið árið 1533	Categoria:Mortos em 1533
Flokkur:1535	Categoria:1535
Flokkur:1537	Categoria:1537
Flokkur:Fólk dáið árið 1537	Categoria:Mortos em 1537
Flokkur:1540	Categoria:1540
Flokkur:Fólk dáið árið 1540	Categoria:Mortos em 1540
Flokkur:Fólk dáið árið 1543	Categoria:Mortos em 1543
Flokkur:1546	Categoria:1546
Flokkur:1551	Categoria:1551
Flokkur:1552	Categoria:1552
Flokkur:1555	Categoria:1555
Flokkur:Fólk dáið árið 1555	Categoria:Mortos em 1555
Flokkur:Fólk dáið árið 1559	Categoria:Mortos em 1559
Flokkur:Lífefnafræði	Categoria:Bioquímica
Flokkur:1561	Categoria:1561
Flokkur:1563	Categoria:1563
Flokkur:Fólk dáið árið 1563	Categoria:Mortos em 1563
Flokkur:Hljómsveitir eftir löndum	Categoria:Bandas por país
Flokkur:1566	Categoria:1566
Flokkur:Fólk dáið árið 1566	Categoria:Mortos em 1566
Flokkur:1569	Categoria:1569
Flokkur:1572	Categoria:1572
Flokkur:1575	Categoria:1575
Flokkur:1578	Categoria:1578
Flokkur:Fólk dáið árið 1578	Categoria:Mortos em 1578
Flokkur:1580	Categoria:1580
Flokkur:Fólk dáið árið 1580	Categoria:Mortos em 1580
Flokkur:Bardagaíþróttamenn	Categoria:Artistas marciais
Flokkur:1582	Categoria:1582
Flokkur:Fólk dáið árið 1582	Categoria:Mortos em 1582
Flokkur:Fólk dáið árið 1584	Categoria:Mortos em 1584
Flokkur:1595	Categoria:1595
Flokkur:Landafræði Búrkína Fasó	Categoria:Geografia de Burkina Faso
Flokkur:Sveppafræði	Categoria:Micologia
Flokkur:1605	Categoria:1605
Flokkur:Fólk dáið árið 1605	Categoria:Mortos em 1605
Flokkur:1607	Categoria:1607
Flokkur:Fólk dáið árið 1607	Categoria:Mortos em 1607
Flokkur:Fólk dáið árið 1609	Categoria:Mortos em 1609
Flokkur:1611	Categoria:1611
Flokkur:Fólk dáið árið 1611	Categoria:Mortos em 1611
Flokkur:1615	Categoria:1615
Flokkur:1618	Categoria:1618
Flokkur:1620	Categoria:1620
Flokkur:Fólk dáið árið 1620	Categoria:Mortos em 1620
Flokkur:1622	Categoria:1622
Flokkur:Forritun	Categoria:Programação
Flokkur:1624	Categoria:1624
Flokkur:Fólk dáið árið 1624	Categoria:Mortos em 1624
Flokkur:1626	Categoria:1626
Flokkur:Fólk dáið árið 1626	Categoria:Mortos em 1626
Flokkur:1629	Categoria:1629
Flokkur:Fólk dáið árið 1629	Categoria:Mortos em 1629
Flokkur:1631	Categoria:1631
Flokkur:Fólk dáið árið 1631	Categoria:Mortos em 1631
Flokkur:1633	Categoria:1633
Flokkur:Kvikmyndir frumsýndar 1951	Categoria:Filmes de 1951
Flokkur:1635	Categoria:1635
Flokkur:1637	Categoria:1637
Flokkur:Fólk dáið árið 1638	Categoria:Mortos em 1638
Flokkur:1640	Categoria:1640
Flokkur:Fólk dáið árið 1640	Categoria:Mortos em 1640
Flokkur:1642	Categoria:1642
Flokkur:Fólk dáið árið 1642	Categoria:Mortos em 1642
Flokkur:Bandarísk íþróttamannvirki	Categoria:Estádios dos Estados Unidos
Flokkur:Fólk dáið árið 1644	Categoria:Mortos em 1644
Flokkur:1649	Categoria:1649
Flokkur:Fólk dáið árið 1649	Categoria:Mortos em 1649
Flokkur:1652	Categoria:1652
Flokkur:1657	Categoria:1657
Flokkur:1659	Categoria:1659
Flokkur:Fólk dáið árið 1660	Categoria:Mortos em 1660
Flokkur:1665	Categoria:1665
Flokkur:Fólk dáið árið 1665	Categoria:Mortos em 1665
Flokkur:Fólk dáið árið 1666	Categoria:Mortos em 1666
Flokkur:1668	Categoria:1668
Flokkur:1669	Categoria:1669
Flokkur:Fólk dáið árið 1669	Categoria:Mortos em 1669
Flokkur:Fólk dáið árið 1671	Categoria:Mortos em 1671
Flokkur:Fólk dáið árið 1673	Categoria:Mortos em 1673
Flokkur:Fólk dáið árið 1674	Categoria:Mortos em 1674
Flokkur:Fólk dáið árið 1676	Categoria:Mortos em 1676
Flokkur:1678	Categoria:1678
Flokkur:Fólk dáið árið 1684	Categoria:Mortos em 1684
Flokkur:1686	Categoria:1686
Flokkur:Fólk dáið árið 1687	Categoria:Mortos em 1687
Flokkur:Fólk dáið árið 1689	Categoria:Mortos em 1689
Flokkur:1693	Categoria:1693
Flokkur:Fólk dáið árið 1694	Categoria:Mortos em 1694
Flokkur:1696	Categoria:1696
Flokkur:Fólk dáið árið 1696	Categoria:Mortos em 1696
Flokkur:Fólk dáið árið 1697	Categoria:Mortos em 1697
Flokkur:1699	Categoria:1699
Flokkur:Fólk dáið árið 1699	Categoria:Mortos em 1699
Flokkur:Fólk dáið árið 1701	Categoria:Mortos em 1701
Flokkur:Fólk dáið árið 1702	Categoria:Mortos em 1702
Flokkur:1705	Categoria:1705
Flokkur:1706	Categoria:1706
Flokkur:Fólk dáið árið 1706	Categoria:Mortos em 1706
Flokkur:1711	Categoria:1711
Flokkur:Fólk dáið árið 1711	Categoria:Mortos em 1711
Flokkur:Fólk dáið árið 1713	Categoria:Mortos em 1713
Flokkur:Fólk dáið árið 1715	Categoria:Mortos em 1715
Flokkur:Fólk dáið árið 1716	Categoria:Mortos em 1716
Flokkur:1720	Categoria:1720
Flokkur:1722	Categoria:1722
Flokkur:Fólk dáið árið 1722	Categoria:Mortos em 1722
Flokkur:Fólk dáið árið 1724	Categoria:Mortos em 1724
Flokkur:1726	Categoria:1726
Flokkur:Fólk dáið árið 1727	Categoria:Mortos em 1727
Flokkur:1730	Categoria:1730
Flokkur:Fólk dáið árið 1730	Categoria:Mortos em 1730
Flokkur:Fólk dáið árið 1731	Categoria:Mortos em 1731
Flokkur:Fólk dáið árið 1732	Categoria:Mortos em 1732
Flokkur:Fólk dáið árið 1733	Categoria:Mortos em 1733
Flokkur:Fólk dáið árið 1734	Categoria:Mortos em 1734
Flokkur:Fólk dáið árið 1736	Categoria:Mortos em 1736
Flokkur:1739	Categoria:1739
Flokkur:Fólk dáið árið 1739	Categoria:Mortos em 1739
Flokkur:Fólk dáið árið 1741	Categoria:Mortos em 1741
Flokkur:Fólk dáið árið 1742	Categoria:Mortos em 1742
Flokkur:Fólk dáið árið 1743	Categoria:Mortos em 1743
Flokkur:Fólk dáið árið 1744	Categoria:Mortos em 1744
Flokkur:Fólk dáið árið 1745	Categoria:Mortos em 1745
Flokkur:Fólk dáið árið 1746	Categoria:Mortos em 1746
Flokkur:Fólk dáið árið 1748	Categoria:Mortos em 1748
Flokkur:1751	Categoria:1751
Flokkur:Fólk dáið árið 1751	Categoria:Mortos em 1751
Flokkur:Fólk dáið árið 1752	Categoria:Mortos em 1752
Flokkur:Fólk dáið árið 1753	Categoria:Mortos em 1753
Flokkur:Fólk dáið árið 1754	Categoria:Mortos em 1754
Flokkur:Fólk dáið árið 1755	Categoria:Mortos em 1755
Flokkur:Fólk dáið árið 1756	Categoria:Mortos em 1756
Flokkur:Fólk dáið árið 1758	Categoria:Mortos em 1758
Flokkur:Fólk dáið árið 1759	Categoria:Mortos em 1759
Flokkur:Fólk dáið árið 1761	Categoria:Mortos em 1761
Flokkur:1764	Categoria:1764
Flokkur:1765	Categoria:1765
Flokkur:1766	Categoria:1766
Flokkur:1767	Categoria:1767
Flokkur:1769	Categoria:1769
Flokkur:Fólk dáið árið 1770	Categoria:Mortos em 1770
Flokkur:Fólk dáið árið 1772	Categoria:Mortos em 1772
Flokkur:Fólk dáið árið 1773	Categoria:Mortos em 1773
Flokkur:1775	Categoria:1775
Flokkur:Fólk dáið árið 1775	Categoria:Mortos em 1775
Flokkur:Fólk dáið árið 1776	Categoria:Mortos em 1776
Flokkur:1779	Categoria:1779
Flokkur:Fólk dáið árið 1780	Categoria:Mortos em 1780
Flokkur:Fólk dáið árið 1781	Categoria:Mortos em 1781
Flokkur:Fólk dáið árið 1782	Categoria:Mortos em 1782
Flokkur:Fólk dáið árið 1783	Categoria:Mortos em 1783
Flokkur:Fólk dáið árið 1784	Categoria:Mortos em 1784
Flokkur:Fólk dáið árið 1785	Categoria:Mortos em 1785
Flokkur:Fólk dáið árið 1786	Categoria:Mortos em 1786
Flokkur:Fólk dáið árið 1787	Categoria:Mortos em 1787
Flokkur:Fólk dáið árið 1788	Categoria:Mortos em 1788
Flokkur:Fólk dáið árið 1789	Categoria:Mortos em 1789
Flokkur:Landafræði Ítalíu	Categoria:Geografia da Itália
Flokkur:Fólk dáið árið 1790	Categoria:Mortos em 1790
Flokkur:Bókmenntir eftir löndum	Categoria:Literatura por país
Flokkur:Sardinía	Categoria:Sardenha
Flokkur:Vítamín	Categoria:Vitaminas
Flokkur:Skartgripir	Categoria:Joalharia
Flokkur:Landafræði Evrópu	Categoria:Geografia da Europa
Flokkur:Kvikmyndir frumsýndar 1970	Categoria:Filmes de 1970
Flokkur:Bókaárið 1818	Categoria:Livros de 1818
Flokkur:Fylki Þýskalands	Categoria:Estados da Alemanha
Flokkur:Hellar	Categoria:Cavernas
Flokkur:Japönsk fyrirtæki	Categoria:Empresas do Japão
Flokkur:Flórída	Categoria:Flórida
Flokkur:1778	Categoria:1778
Matilde	Matilde
Flokkur:1213 f.Kr.	Categoria:1213 a.C.
Snið:Aðalgrein	Predefinição:Artigo principal
Flokkur:Götur í Westminster	Categoria:Ruas de Westminster
Flokkur:Hergögn í Kalda stríðinu	Categoria:Equipamentos militares da Guerra Fria
Flokkur:Saga Þýskalands	Categoria:História da Alemanha
Flokkur:Mannætur	Categoria:Canibais
Flokkur:Ítalska A-deildin	Categoria:Serie A
Snið:EST	Predefinição:EST
Flokkur:Afbrigði latneska stafrófsins	Categoria:Alfabetos derivados do latino
Snið:Euronext	Predefinição:Euronext
Flokkur:Nevada	Categoria:Nevada
Flokkur:Nebraska	Categoria:Nebraska
Flokkur:Norður-Dakóta	Categoria:Dakota do Norte
Flokkur:New Mexico	Categoria:Novo México
Flokkur:New York-fylki	Categoria:Estado de Nova Iorque
Flokkur:New Jersey	Categoria:Nova Jérsei
Flokkur:New Hampshire	Categoria:Nova Hampshire
Flokkur:Rhode Island	Categoria:Rhode Island
Flokkur:Louisiana	Categoria:Luisiana
Flokkur:Maryland	Categoria:Maryland
Flokkur:Maine	Categoria:Maine
Flokkur:Minnesota	Categoria:Minnesota
Flokkur:Michigan	Categoria:Michigan
Flokkur:Mississippi	Categoria:Mississippi
Flokkur:Missouri	Categoria:Missouri
Flokkur:Vermont	Categoria:Vermont
Flokkur:Virginía	Categoria:Virgínia
Flokkur:Suður-Dakóta	Categoria:Dakota do Sul
Flokkur:Idaho	Categoria:Idaho
Flokkur:Iowa	Categoria:Iowa
Flokkur:Arkansas	Categoria:Arkansas
Flokkur:Alaska	Categoria:Alasca
Flokkur:Arizona	Categoria:Arizona
Flokkur:Alabama	Categoria:Alabama
Flokkur:Oregon	Categoria:Oregon
Flokkur:Ohio	Categoria:Ohio
Flokkur:Vestur-Virginía	Categoria:Virgínia Ocidental
Flokkur:Wisconsin	Categoria:Wisconsin
Flokkur:Grískir ostar	Categoria:Queijos da Grécia
Flokkur:Utah	Categoria:Utah
Flokkur:Indiana	Categoria:Indiana
Flokkur:Illinois	Categoria:Illinois
Flokkur:Kansas	Categoria:Kansas
Flokkur:Kalifornía	Categoria:Califórnia
Flokkur:Kentucky	Categoria:Kentucky
Flokkur:Connecticut	Categoria:Connecticut
Flokkur:Colorado	Categoria:Colorado
Flokkur:Texas	Categoria:Texas
Flokkur:Pennsylvanía	Categoria:Pensilvânia
Flokkur:Hawaii	Categoria:Havaí
Snið:Football squad end	Predefinição:Football squad end
Snið:Football squad start	Predefinição:Football squad start
Snið:Tyo	Predefinição:Tyo
Snið:Infobox animanga/Fótur	Predefinição:Info/Animangá/Rodapé
Flokkur:Saga stjörnufræðinnar	Categoria:História da astronomia
Flokkur:Tíska	Categoria:Moda
Snið:QAT	Predefinição:QAT
Snið:RUS	Predefinição:RUS
Flokkur:Milljarðamæringar eftir löndum	Categoria:Bilionários por país
Flokkur:Seinni heimsstyrjöldin	Categoria:Segunda Guerra Mundial
Flokkur:Fyrri heimsstyrjöldin	Categoria:Primeira Guerra Mundial
Snið:Ólympíuleikar	Predefinição:Edições dos Jogos Olímpicos
Snið:TGO	Predefinição:TGO
Flokkur:Borðspil	Categoria:Jogos de tabuleiro
Flokkur:Snið:Heimildasnið	Categoria:!Predefinições para referências
Snið:Fjögurra liða úrslit	Predefinição:Round4-with third
Snið:AUT	Predefinição:AUT
Flokkur:Vindar	Categoria:Ventos
Flokkur:Spætufuglar	Categoria:Piciformes
Flokkur:Belgískir rithöfundar	Categoria:Escritores da Bélgica
Flokkur:Danskir handknattleiksmenn	Categoria:Handebolistas da Dinamarca
Flokkur:Þýskir rithöfundar	Categoria:Escritores da Alemanha
Flokkur:Danskir rithöfundar	Categoria:Escritores da Dinamarca
Flokkur:Austurrískir rithöfundar	Categoria:Escritores da Áustria
Snið:Söguleg	Predefinição:Arquivo histórico
Snið:MÁNUÐUR	Predefinição:MONTH
Flokkur:Hundar	Categoria:Cães
Flokkur:Fólk dáið árið 14	Categoria:Mortos em 14
Flokkur:30	Categoria:30
Flokkur:Hattsveppir	Categoria:Agaricales
Flokkur:36	Categoria:36
Flokkur:Háskólar í Þýskalandi	Categoria:Universidades da Alemanha
Flokkur:53	Categoria:53
Flokkur:Háskólar í Connecticut	Categoria:Universidades de Connecticut
Flokkur:Háskólar í Flórída	Categoria:Universidades da Flórida
Flokkur:Háskólar í Indiana	Categoria:Universidades de Indiana
Flokkur:Háskólar í Michigan	Categoria:Universidades de Michigan
Flokkur:75	Categoria:75
Flokkur:Fólk dáið árið 79	Categoria:Mortos em 79
Flokkur:Franskir rithöfundar	Categoria:Escritores da França
Flokkur:Háskólar í New Jersey	Categoria:Universidades de Nova Jérsei
Flokkur:Háskólar í Norður-Karólínu	Categoria:Universidades da Carolina do Norte
Flokkur:Fólk dáið árið 88	Categoria:Mortos em 88
Flokkur:Háskólar í Pennsylvaníu	Categoria:Universidades da Pensilvânia
Flokkur:Háskólar í Rhode Island	Categoria:Universidades de Rhode Island
Flokkur:Indverskir rithöfundar	Categoria:Escritores da Índia
Flokkur:Fólk dáið árið 95	Categoria:Mortos em 95
Flokkur:Írskir rithöfundar	Categoria:Escritores da Irlanda
Flokkur:Ítalskir rithöfundar	Categoria:Escritores da Itália
Flokkur:108	Categoria:108
Flokkur:Japanskir rithöfundar	Categoria:Escritores do Japão
Flokkur:134	Categoria:134
Flokkur:Kanadískir rithöfundar	Categoria:Escritores do Canadá
Flokkur:162	Categoria:162
Flokkur:Bandarískar teiknimyndir	Categoria:Filmes de animação dos Estados Unidos
Flokkur:182	Categoria:182
Flokkur:193	Categoria:193
Flokkur:195	Categoria:195
Flokkur:Óútgefnar kvikmyndir	Categoria:Filmes em produção
Flokkur:Grínmyndir eftir löndum	Categoria:Filmes de comédia por país
Snið:CHL	Predefinição:CHL
Flokkur:210	Categoria:210
Flokkur:Fólk dáið árið 238	Categoria:Mortos em 238
Flokkur:Fólk dáið árið 249	Categoria:Mortos em 249
Snið:Hverjir	Predefinição:Quem
Flokkur:Hjálendur	Categoria:Dependências
Flokkur:291	Categoria:291
Flokkur:Breskar breiðskífur	Categoria:Álbuns de músicos do Reino Unido
Flokkur:340	Categoria:340
Flokkur:353	Categoria:353
Flokkur:Leikir eingöngu fyrir Wii	Categoria:Jogos exclusivos para Wii
Snið:PD-Eigin	Predefinição:PD-self
Flokkur:428	Categoria:428
Flokkur:430	Categoria:430
Flokkur:455	Categoria:455
Flokkur:Vefnaður	Categoria:Tecidos têxteis
Flokkur:477	Categoria:477
Flokkur:485	Categoria:485
Flokkur:Bandarískir tölvuleikir	Categoria:Jogos eletrônicos desenvolvidos nos Estados Unidos
Flokkur:498	Categoria:498
Flokkur:501	Categoria:501
Flokkur:Kattardýr	Categoria:Felídeos
Flokkur:506	Categoria:506
Flokkur:515	Categoria:515
Flokkur:Fólk dáið árið 525	Categoria:Mortos em 525
Flokkur:534	Categoria:534
Flokkur:551	Categoria:551
Flokkur:566	Categoria:566
Flokkur:599	Categoria:599
Flokkur:601	Categoria:601
Snið:GRD	Predefinição:GRD
Flokkur:605	Categoria:605
Flokkur:617	Categoria:617
Flokkur:644	Categoria:644
Flokkur:656	Categoria:656
Flokkur:660	Categoria:660
Flokkur:661	Categoria:661
Flokkur:Fylki í Kasakstan	Categoria:Províncias do Cazaquistão
Flokkur:683	Categoria:683
Flokkur:Pólskir rithöfundar	Categoria:Escritores da Polônia
